strategy,CAGR,Sharpe,Sortino,MaxDD,Calmar,Final Equity,annualized_vol,turnover,transaction_cost_drag,avg_weight_SPY,avg_weight_GOLD,avg_weight_CMDTY_FUT,avg_weight_IEF,avg_weight_CASH,stress_days,steep_low_spy_weight,steep_low_ief_weight,inverted_stress_cash_weight,Sharpe_rank,MaxDD_rank,Final_Equity_rank,composite_score
VCAIC_SLS_SPY60_IEF40_INVSTR_CASH10,0.19728661793830105,1.6596178590676114,2.124657822453772,-0.11579661539841035,1.703733889453641,37.541628664288,0.11887472580533598,123.2363498170275,0.06161817490851375,0.484968868242911,0.17279626139690077,0.12059513839329809,0.1455459203783997,0.07609381158849035,1484,0.6,0.4,0.1,15.0,1.0,6.0,7.6499999999999995
VCAIC_SLS_SPY50_IEF50_INVSTR_CASH20,0.19617523018177274,1.6793502703263554,2.1468533021547875,-0.11579661539841091,1.6941361326219289,36.84615923861204,0.1168161482736113,125.00258530323711,0.06250129265161855,0.47678860471785495,0.17086615834726243,0.12059513839329809,0.15226645644461967,0.07948364209696492,1484,0.5,0.5,0.2,6.0,6.0,11.0,7.749999999999999
VCAIC_SLS_SPY50_IEF50_INVSTR_CASH10,0.19647096611088632,1.671584925985551,2.1365425791509245,-0.11579661539841057,1.6966900581239535,37.030015758684776,0.11753573692646746,123.63634981702751,0.06181817490851375,0.4782483321766912,0.17279626139690077,0.12059513839329809,0.15226645644461967,0.07609381158849035,1484,0.5,0.5,0.1,10.0,3.0,10.0,7.9
VCAIC_SLS_SPY30_IEF70_INVSTR_CASH30,0.19406353078545657,1.6918672757470352,2.143464178705422,-0.11579661539841035,1.6758998535299217,35.55832343192609,0.11470375576581138,127.16882078944673,0.06358441039472337,0.46188780512657884,0.16893605529762404,0.12059513839329809,0.16570752857705956,0.0828734726054395,1484,0.3,0.7,0.3,2.0,1.0,20.0,8.0
VCAIC_SLS_SPY60_IEF40_INVSTR_CASH00,0.19757076475721425,1.6510338778718376,2.112145698508334,-0.11579661539841057,1.706187733358622,37.72143049422002,0.11966487629671205,121.8701143308179,0.060935057165408944,0.4864285957017473,0.17472636444653922,0.12059513839329809,0.1455459203783997,0.07270398108001576,1484,0.6,0.4,0.0,17.0,3.0,4.0,8.25
VCAIC_SLS_SPY40_IEF60_INVSTR_CASH30,0.19499450276751484,1.6921990432017977,2.1538974771489197,-0.11579661539841113,1.6839395702250413,36.12072062994522,0.11523142242095064,126.76882078944672,0.06338441039472337,0.46860834119279887,0.16893605529762404,0.12059513839329809,0.1589869925108396,0.0828734726054395,1484,0.4,0.6,0.3,1.0,9.0,16.0,8.649999999999999
VCAIC_SLS_SPY40_IEF60_INVSTR_CASH20,0.19530178836066536,1.6854487605859683,2.1462388459192114,-0.11579661539841102,1.6865932366736975,36.308199110027786,0.11587524517373411,125.40258530323712,0.06270129265161856,0.47006806865163503,0.17086615834726243,0.12059513839329809,0.1589869925108396,0.07948364209696492,1484,0.4,0.6,0.2,4.0,7.0,15.0,8.75
VCAIC_SLS_SPY60_IEF40_INVSTR_CASH20,0.19699068040166168,1.6671054280025401,2.1344881300717566,-0.11579661539841102,1.701178222903092,37.35523195171141,0.11816330094833183,124.6025853032371,0.06230129265161856,0.48350914078407486,0.17086615834726243,0.12059513839329809,0.1455459203783997,0.07948364209696492,1484,0.6,0.4,0.2,13.0,7.0,7.0,9.1
VCAIC_SLS_SPY50_IEF50_INVSTR_CASH30,0.1958677200460921,1.6859343400988056,2.15427763246565,-0.11579661539841135,1.691480527061927,36.65590298519674,0.11617754937871015,126.36882078944672,0.06318441039472336,0.47532887725901873,0.16893605529762404,0.12059513839329809,0.15226645644461967,0.0828734726054395,1484,0.5,0.5,0.3,3.0,14.0,13.0,9.8
VCAIC_SLS_SPY30_IEF70_INVSTR_CASH20,0.1943705769848041,1.6850427253124036,2.135746381851145,-0.11579661539841068,1.678551452614148,35.74288288464539,0.11535053329212656,125.80258530323711,0.06290129265161856,0.463347532585415,0.17086615834726243,0.12059513839329809,0.16570752857705956,0.07948364209696492,1484,0.3,0.7,0.2,5.0,5.0,19.0,9.899999999999999
