strategy,credit_variant,CAGR,Sharpe,Sortino,MaxDD,Calmar,Final Equity,turnover,transaction_cost_drag,time_in_credit_lock,false_recovery_count,missed_rebound_count,annualized_vol
FINAL_REGIME_HEDGE_TRIGGER_LOCK,CURRENT_FINAL,0.20196797918368836,1.4922093168411117,2.0133586261368372,-0.1593566070738817,1.2673963313617174,40.61039016831501,181.757113519815,0.09087855675990589,273,7,3,
FINAL_CHALLENGER_LEVEL_OR_PERCENTILE_LOCK,LEVEL_OR_PERCENTILE_LOCK,0.19353643558317857,1.4321760410829099,1.9023433651621648,-0.16905122540885387,1.1448389984462208,35.243606821004214,15.173407789214654,0.007586703894607327,745,7,6,0.13513452957699254
FINAL_CHALLENGER_WATCH_AS_PARTIAL_LOCK_DIAGNOSTIC,WATCH_AS_PARTIAL_LOCK_DIAGNOSTIC,0.2009801970789078,1.5055716426905443,2.033484203031576,-0.20686194084140652,0.9715668153427602,39.943669054406826,15.900650488351417,0.007950325244175707,402,20,6,0.1334909554484863
