credit_variant,window,cumulative_return,max_drawdown,Sharpe,time_in_credit_lock,time_in_credit_watch,number_credit_entries,number_credit_unlocks,number_relocks,false_recovery_count,missed_rebound_count
PEAK_RELIEF_UNLOCK,2022_RATE_WAR,-0.2096698333889141,-0.33263900492760134,-0.7726536609919057,55,0,3,3,0,3,1
PEAK_RELIEF_UNLOCK,2025_PULLBACK,0.24041161718812987,-0.1459905702079367,1.4114320680744281,10,0,1,1,0,0,0
LEVEL_LOCK_FAST_RELIEF,2008_GFC,0.11363140956424833,-0.17742845841376664,0.40988471077637084,105,0,1,1,0,1,1
LEVEL_LOCK_FAST_RELIEF,2011_EURO_DEBT,-0.08605524036905188,-0.13875716605213773,-0.7811755040246191,0,0,0,0,0,0,0
LEVEL_LOCK_FAST_RELIEF,2015_2016,0.06863935220018735,-0.04009484648768891,0.9865598130558724,0,0,0,0,0,0,0
LEVEL_LOCK_FAST_RELIEF,2018Q4,-0.031285439663443326,-0.07745459963519319,-1.0812483706307419,42,0,3,2,0,2,1
LEVEL_LOCK_FAST_RELIEF,COVID_2020,0.07301315158209065,-0.0698950637250666,0.9718508412654726,32,0,3,3,0,3,1
LEVEL_LOCK_FAST_RELIEF,2022_RATE_WAR,-0.08587768940397689,-0.22810794704557724,-0.366934634594426,92,0,3,3,0,3,2
LEVEL_LOCK_FAST_RELIEF,2025_PULLBACK,0.24041161718812987,-0.1459905702079367,1.4114320680744281,10,0,1,1,0,0,0
WATCH_LOCK_STATE_MACHINE,2008_GFC,0.12674539427964593,-0.16774195843627204,0.4640593507798853,110,374,1,1,0,1,1
WATCH_LOCK_STATE_MACHINE,2011_EURO_DEBT,-0.08605524036905188,-0.13875716605213773,-0.7811755040246191,0,121,0,0,0,0,0
WATCH_LOCK_STATE_MACHINE,2015_2016,0.06863935220018735,-0.04009484648768891,0.9865598130558724,0,208,0,0,0,0,0
WATCH_LOCK_STATE_MACHINE,2018Q4,-0.028448594452539555,-0.07745459963519319,-1.045303425780514,46,84,3,2,0,2,1
WATCH_LOCK_STATE_MACHINE,COVID_2020,0.07321544132155378,-0.06989506372506671,1.0333732021303974,36,83,5,5,0,5,1
WATCH_LOCK_STATE_MACHINE,2022_RATE_WAR,-0.08587768940397689,-0.22810794704557724,-0.366934634594426,92,259,3,3,0,3,2
WATCH_LOCK_STATE_MACHINE,2025_PULLBACK,0.24448862312979203,-0.1232078047062104,1.4880414145224146,43,123,5,5,0,3,1
WATCH_AS_PARTIAL_LOCK_DIAGNOSTIC,2008_GFC,0.09689803418452603,-0.05569719710962606,0.6742416010471239,110,374,1,1,0,1,1
WATCH_AS_PARTIAL_LOCK_DIAGNOSTIC,2011_EURO_DEBT,-0.04774647994562531,-0.03677840371276153,-1.3830865700646362,0,121,0,0,0,0,0
WATCH_AS_PARTIAL_LOCK_DIAGNOSTIC,2015_2016,0.05009062560081978,-0.014104099413538962,1.7762378480651526,0,208,0,0,0,0,0
WATCH_AS_PARTIAL_LOCK_DIAGNOSTIC,2018Q4,0.007691034720012091,0.0,626.6303320451427,46,84,3,2,0,3,1
WATCH_AS_PARTIAL_LOCK_DIAGNOSTIC,COVID_2020,-0.013714819074508,-0.05331561374981786,-0.3956981857665756,36,83,5,5,0,5,1
WATCH_AS_PARTIAL_LOCK_DIAGNOSTIC,2022_RATE_WAR,-0.049912871342284726,-0.09283655198848861,-0.4547200879999349,92,259,3,3,0,3,2
WATCH_AS_PARTIAL_LOCK_DIAGNOSTIC,2025_PULLBACK,0.12972125507434495,-0.0584599304595278,1.0350058102699808,43,123,5,5,0,5,1
FAST_RELOCK_AFTER_UNLOCK,2008_GFC,0.10848406252902976,-0.18123048945336817,0.3916435599286401,104,0,2,2,2,2,1
FAST_RELOCK_AFTER_UNLOCK,2011_EURO_DEBT,-0.08605524036905188,-0.13875716605213773,-0.7811755040246191,0,0,0,0,0,0,0
FAST_RELOCK_AFTER_UNLOCK,2015_2016,0.06863935220018735,-0.04009484648768891,0.9865598130558724,0,0,0,0,0,0,0
FAST_RELOCK_AFTER_UNLOCK,2018Q4,-0.05687053051360225,-0.10356432002031968,-1.659001765344848,33,0,2,1,2,1,1
FAST_RELOCK_AFTER_UNLOCK,COVID_2020,0.09434259169721715,-0.0698950637250666,1.2349080182691285,30,0,3,3,3,3,1
FAST_RELOCK_AFTER_UNLOCK,2022_RATE_WAR,-0.13484593397543376,-0.20682424074750094,-0.8459243072661852,183,0,8,8,8,7,1
FAST_RELOCK_AFTER_UNLOCK,2025_PULLBACK,0.24041161718812987,-0.1459905702079367,1.4114320680744281,10,0,1,1,1,0,0
LEVEL_LOCK_FAST_RELIEF_PLUS_RELOCK,2008_GFC,0.11363140956424833,-0.17742845841376664,0.40988471077637084,105,0,1,1,1,1,1
LEVEL_LOCK_FAST_RELIEF_PLUS_RELOCK,2011_EURO_DEBT,-0.08605524036905188,-0.13875716605213773,-0.7811755040246191,0,0,0,0,0,0,0
LEVEL_LOCK_FAST_RELIEF_PLUS_RELOCK,2015_2016,0.06863935220018735,-0.04009484648768891,0.9865598130558724,0,0,0,0,0,0,0
LEVEL_LOCK_FAST_RELIEF_PLUS_RELOCK,2018Q4,-0.029380404440536356,-0.0757248410718212,-1.0178254015973502,43,0,3,2,3,2,1
LEVEL_LOCK_FAST_RELIEF_PLUS_RELOCK,COVID_2020,0.07301315158209065,-0.0698950637250666,0.9718508412654726,32,0,3,3,3,3,1
LEVEL_LOCK_FAST_RELIEF_PLUS_RELOCK,2022_RATE_WAR,-0.09654165057041897,-0.17170676252538197,-0.5602087963616266,163,0,8,8,8,7,2
LEVEL_LOCK_FAST_RELIEF_PLUS_RELOCK,2025_PULLBACK,0.24041161718812987,-0.1459905702079367,1.4114320680744281,10,0,1,1,1,0,0
