credit_variant,episode_id,entry_date,unlock_date,duration_days,relock_episode,entry_type,unlock_type,macro_regime_at_entry,entry_SPY_DD,entry_CREDIT_SPREAD,entry_D_CREDIT_10D,entry_D_CREDIT_15D,entry_D_CREDIT_20D,entry_CREDIT_LEVEL_Z,entry_CREDIT_PERCENTILE,unlock_CREDIT_SPREAD,unlock_D_CREDIT_10D,unlock_D_CREDIT_20D,unlock_CREDIT_LEVEL_Z,unlock_CREDIT_DD_FROM_20D_PEAK,unlock_CREDIT_DD_FROM_60D_PEAK,SPY_return_during_lock,SPY_maxDD_during_lock,CASH_return_during_lock,next_21d_SPY_return_after_unlock,next_21d_SPY_maxDD_after_unlock,next_63d_SPY_return_after_unlock,next_63d_SPY_maxDD_after_unlock,false_recovery_flag,missed_rebound_flag
BASELINE_15D_ABS,1,2007-11-16,2007-12-28,28,False,,,FLAT,-0.0683158063225728,0.9500000000000002,0.10000000000000053,0.11000000000000032,0.1200000000000001,1.0542292923012464,0.866,1.1399999999999997,-0.03000000000000025,0.02999999999999936,2.4831225437931232,-0.042016806722689704,,0.020019690700583403,-0.04609405031815095,0.0033135642072994465,-0.08411389366565847,-0.10594354405877593,-0.06798191454384639,-0.12454687313324464,True,False
BASELINE_15D_ABS,2,2018-03-20,2018-04-17,19,False,,,FLAT,-0.0507525410358691,0.8099999999999996,0.05999999999999961,0.11999999999999966,0.1499999999999999,4.12629893858153,1.0,0.8200000000000003,4.440892098500626e-16,0.020000000000000018,2.658852379603569,-0.03529411764705914,-0.03529411764705914,-0.011682827809664675,-0.04975111981267488,0.001286232816962496,0.007587136461029154,-0.028736681836822098,0.04270840596129921,-0.02997488926998826,False,False
BASELINE_15D_ABS,3,2018-11-23,2019-01-08,29,True,,,FLAT,-0.0992516486121116,1.0500000000000007,0.05000000000000071,0.15000000000000124,0.13000000000000078,2.3384849039999565,1.0,1.15,0.020000000000000462,0.04999999999999938,2.2714595915636866,-0.008620689655172598,,-0.034542791308690646,-0.1560744774742674,0.0026918115242500207,0.05206996782040019,-0.013510623931932142,0.12386783856146688,-0.02125363921893575,True,True
BASELINE_15D_ABS,4,2019-01-28,2019-02-11,10,False,,,FLAT,-0.0922363227729098,1.2400000000000002,0.07000000000000028,0.10000000000000009,0.1200000000000001,2.5348378603982535,1.0,1.1900000000000004,-0.04999999999999982,0.020000000000000462,1.9288545540204816,-0.040322580645161143,-0.040322580645161143,0.017646122742233095,-0.010838736026719364,0.0009291605733874331,0.03961296222357613,-0.02125363921893575,0.04241029849255429,-0.04479180168549568,False,False
BASELINE_15D_ABS,5,2020-03-05,2020-04-07,23,True,,,FLAT,-0.1060472861636346,0.9199999999999999,0.1200000000000001,0.07999999999999963,0.08999999999999986,-0.11561385776786814,0.538,1.9900000000000002,0.3999999999999999,0.9700000000000002,4.935779674691206,0.0,0.0,-0.14844498496282954,-0.25854330918609647,0.00015807066312722995,0.08505263445233702,-0.047446260657181494,0.19779521250903076,-0.06989506372506638,True,True
BASELINE_15D_ABS,6,2020-04-08,2020-04-16,5,False,,,FLAT,-0.1853124632037285,1.9599999999999995,0.2899999999999996,0.8899999999999992,0.8199999999999994,4.5686465427177065,0.996,1.58,-0.25,0.5099999999999998,2.4421087636119774,-0.20603015075376885,-0.20603015075376885,0.047637123518524005,-0.02124783405605546,4.241404693350326e-05,0.02572544278443334,-0.047446260657181494,0.15443080615617877,-0.0698950637250666,False,False
BASELINE_15D_ABS,7,2020-10-01,2020-10-22,15,False,,,FLAT,-0.0539863837860659,1.1,0.06000000000000005,0.06999999999999984,0.06000000000000005,-0.019269384050832675,0.594,1.0499999999999998,-0.08000000000000007,0.009999999999999787,-0.2314793222560782,,,0.023410685731576564,-0.029566222511344553,6.068497780220561e-05,0.03110773733137706,-0.055642502652050285,0.1201895974197853,-0.055642502652050285,True,False
BASELINE_15D_ABS,8,2022-02-15,2022-04-06,35,False,,,FLAT,-0.0661698240827547,0.73,0.08000000000000007,0.08000000000000007,0.08000000000000007,1.8842081441796008,0.974,0.8700000000000001,0.03000000000000025,0.020000000000000462,2.5140980220254914,-0.13000000000000023,-0.13000000000000023,0.030547975528549376,-0.06795817824531591,0.0006075229314865815,-0.07878721912562148,-0.08340591564526822,-0.12579747208274383,-0.18298913507467618,True,False
BASELINE_15D_ABS,9,2022-05-19,2022-06-09,14,True,,,FLAT,-0.1822027998642352,1.0300000000000002,0.16000000000000014,0.11000000000000032,0.1200000000000001,2.989479536648042,1.0,0.9700000000000006,-0.05999999999999961,0.010000000000000675,1.8801853156622146,-0.07619047619047548,-0.07619047619047548,0.0494053832243162,-0.016411481183290166,0.0006161900182377611,-0.04724217779937201,-0.05938954178154454,0.01722903796765607,-0.09062131183276656,True,False
BASELINE_15D_ABS,10,2022-06-28,2022-08-02,24,False,,,FLAT,-0.197249476457731,1.12,0.15000000000000036,0.13999999999999968,0.07000000000000028,2.6518493389476703,1.0,1.1400000000000001,-0.01999999999999913,0.029999999999999805,1.912426001602344,-0.04999999999999971,-0.04999999999999971,0.057078313638813105,-0.02848401401816958,0.0020536521640015515,-0.031563926904705775,-0.08033507810834295,-0.04965825110941491,-0.1668030367649238,True,True
BASELINE_15D_ABS,11,2025-04-10,2025-04-25,10,False,,,FLAT,-0.1415690599518945,0.71,0.05000000000000071,0.07000000000000028,0.0600000000000005,0.692424976982093,0.652,0.75,0.040000000000000036,0.09000000000000075,1.4277494616024933,-0.025974025974025428,-0.025974025974025428,-0.0035179470663908585,-0.046817109636700605,0.0016415785224968005,0.07356887283705582,-0.02646041269613264,0.16014618858273533,-0.02646041269613264,False,False
SHOCK_10D_20D,1,2007-11-09,2008-04-21,110,False,,,FLAT,-0.0724698629952697,0.8900000000000006,0.05000000000000071,0.0600000000000005,0.08999999999999986,-0.14634828677598602,0.4760956175298805,1.37,-0.07000000000000028,-0.040000000000000036,1.5582839879454475,-0.05517241379310345,-0.05517241379310345,-0.04930574896667039,-0.15387059523373003,0.009872846875397467,0.02410704385948481,-0.022175431537789336,-0.08566954014278871,-0.1499815171238229,True,True
SHOCK_10D_20D,2,2018-03-20,2018-04-24,24,False,,,FLAT,-0.0507525410358691,0.8099999999999996,0.05999999999999961,0.11999999999999966,0.1499999999999999,4.12629893858153,1.0,0.8299999999999996,0.0,0.02999999999999936,2.6673588197179696,-0.02352941176470691,-0.02352941176470691,-0.0144923955842311,-0.04975111981267488,0.001639155019756977,0.03947042543088419,-0.014781076734155296,0.075650133104735,-0.02997488926998848,False,False
SHOCK_10D_20D,3,2018-11-15,2019-01-08,34,True,,,FLAT,-0.0658218749443748,0.9900000000000002,0.09000000000000075,0.07000000000000028,0.0600000000000005,1.8017599521978391,0.9880478087649402,1.15,0.020000000000000462,0.04999999999999938,2.2714595915636866,-0.008620689655172598,,-0.05305158708520019,-0.15607447747426717,0.0031509221147552058,0.05206996782040019,-0.013510623931932142,0.12386783856146688,-0.02125363921893575,True,True
SHOCK_10D_20D,4,2019-01-24,2019-02-11,12,False,,,FLAT,-0.0929590983059041,1.23,0.06000000000000005,0.06999999999999984,0.10000000000000009,2.533190178511137,0.9960159362549801,1.1900000000000004,-0.04999999999999982,0.020000000000000462,1.9288545540204816,-0.040322580645161143,-0.040322580645161143,0.026802182477824843,-0.010838736026719475,0.0011121463088648031,0.03961296222357613,-0.02125363921893575,0.04241029849255429,-0.04479180168549568,False,False
SHOCK_10D_20D,5,2020-03-03,2020-04-07,25,True,,,FLAT,-0.1126088046932622,0.8999999999999999,0.05999999999999961,0.04999999999999982,0.05999999999999961,-0.3844397297950155,0.444,1.9900000000000002,0.3999999999999999,0.9700000000000002,4.935779674691206,0.0,0.0,-0.13805876300198838,-0.2831904866202489,0.00022289227368199604,0.08505263445233702,-0.047446260657181494,0.19779521250903076,-0.06989506372506638,True,True
SHOCK_10D_20D,6,2020-04-08,2020-04-23,10,False,,,FLAT,-0.1853124632037285,1.9599999999999995,0.2899999999999996,0.8899999999999992,0.8199999999999994,4.5686465427177065,0.996,1.62,-0.3399999999999994,-0.04999999999999982,2.430265691361065,-0.18592964824120606,-0.18592964824120606,0.05269142585494535,-0.047446260657181494,6.66068659536112e-05,0.05862094479848845,-0.039596086224793825,0.1623236871494027,-0.0698950637250666,False,False
SHOCK_10D_20D,7,2020-09-09,2020-10-26,33,False,,,FLAT,-0.050070176810078,1.0099999999999998,0.04999999999999982,-4.440892098500626e-16,-0.07000000000000028,-0.29038804643017396,0.522,1.0500000000000003,,-0.020000000000000018,-0.23510689332971194,,,0.04187789690370658,-0.047736064106712384,0.0001352561995182633,0.07021391594374604,-0.03453409227844895,0.10788744231308156,-0.03453409227844895,True,False
SHOCK_10D_20D,8,2022-02-16,2022-03-29,28,False,,,FLAT,-0.06512294270439,0.73,0.08999999999999986,0.10999999999999988,0.08000000000000007,1.8782340227757524,0.972,0.8500000000000001,-0.029999999999999805,0.08000000000000007,2.498941584203952,-0.15000000000000024,-0.15000000000000024,0.025165477908904332,-0.06795817824531569,0.00045430229082166207,-0.07310144583635392,-0.09287132849206747,-0.1723908359349101,-0.20067592664658196,True,True
SHOCK_10D_20D,9,2022-05-13,2022-08-04,56,False,,,FLAT,-0.1564589581055124,0.9799999999999995,0.049999999999998934,0.07999999999999918,0.09999999999999964,2.7224899496152566,0.992,1.1099999999999999,-0.05999999999999961,-0.029999999999999805,1.7029746957973007,-0.07499999999999984,-0.07499999999999984,0.06091744337934624,-0.12156500198574893,0.0037840970784270844,-0.052949363424960816,-0.08717714793366949,-0.09117053685920085,-0.16680303676492436,True,True
SHOCK_10D_20D,10,2025-04-10,2025-04-25,10,False,,,FLAT,-0.1415690599518945,0.71,0.05000000000000071,0.07000000000000028,0.0600000000000005,0.692424976982093,0.652,0.75,0.040000000000000036,0.09000000000000075,1.4277494616024933,-0.025974025974025428,-0.025974025974025428,-0.0035179470663908585,-0.046817109636700605,0.0016415785224968005,0.07356887283705582,-0.02646041269613264,0.16014618858273533,-0.02646041269613264,False,False
SHOCK_OR_Z,1,2007-11-09,2008-04-21,110,False,,,FLAT,-0.0724698629952697,0.8900000000000006,0.05000000000000071,0.0600000000000005,0.08999999999999986,-0.14634828677598602,0.4760956175298805,1.37,-0.07000000000000028,-0.040000000000000036,1.5582839879454475,-0.05517241379310345,-0.05517241379310345,-0.04930574896667039,-0.15387059523373003,0.009872846875397467,0.02410704385948481,-0.022175431537789336,-0.08566954014278871,-0.1499815171238229,True,True
SHOCK_OR_Z,2,2018-03-20,2018-04-24,24,False,,,FLAT,-0.0507525410358691,0.8099999999999996,0.05999999999999961,0.11999999999999966,0.1499999999999999,4.12629893858153,1.0,0.8299999999999996,0.0,0.02999999999999936,2.6673588197179696,-0.02352941176470691,-0.02352941176470691,-0.0144923955842311,-0.04975111981267488,0.001639155019756977,0.03947042543088419,-0.014781076734155296,0.075650133104735,-0.02997488926998848,True,False
SHOCK_OR_Z,3,2018-05-30,2018-07-30,42,False,,,FLAT,-0.0449375282051653,0.8599999999999999,0.04000000000000048,0.03999999999999959,0.06000000000000005,2.4228635758227197,0.9960159362549801,0.9100000000000001,-0.029999999999999805,4.440892098500626e-16,1.820618975494677,-0.031914893617021045,-0.031914893617021045,0.05079061126616469,-0.02997488926998859,0.0031797667548252306,0.03561356635242796,-0.013306208753485427,-0.04793314430865181,-0.09216857720488647,True,False
SHOCK_OR_Z,4,2018-11-15,2019-01-08,34,True,,,FLAT,-0.0658218749443748,0.9900000000000002,0.09000000000000075,0.07000000000000028,0.0600000000000005,1.8017599521978391,0.9880478087649402,1.15,0.020000000000000462,0.04999999999999938,2.2714595915636866,-0.008620689655172598,,-0.05305158708520019,-0.15607447747426717,0.0031509221147552058,0.05206996782040019,-0.013510623931932142,0.12386783856146688,-0.02125363921893575,True,True
SHOCK_OR_Z,5,2019-01-22,2019-02-11,14,False,,,FLAT,-0.0953337063535856,1.2000000000000002,0.040000000000000036,0.05999999999999961,0.08000000000000007,2.3787287907156367,0.9960159362549801,1.1900000000000004,-0.04999999999999982,0.020000000000000462,1.9288545540204816,-0.040322580645161143,-0.040322580645161143,0.015048864947074803,-0.010838736026719364,0.0012982712320774858,0.03961296222357613,-0.02125363921893575,0.04241029849255429,-0.04479180168549568,False,False
SHOCK_OR_Z,6,2020-03-03,2020-04-07,25,True,,,FLAT,-0.1126088046932622,0.8999999999999999,0.05999999999999961,0.04999999999999982,0.05999999999999961,-0.3844397297950155,0.444,1.9900000000000002,0.3999999999999999,0.9700000000000002,4.935779674691206,0.0,0.0,-0.13805876300198838,-0.2831904866202489,0.00022289227368199604,0.08505263445233702,-0.047446260657181494,0.19779521250903076,-0.06989506372506638,True,True
SHOCK_OR_Z,7,2020-04-08,2020-04-23,10,False,,,FLAT,-0.1853124632037285,1.9599999999999995,0.2899999999999996,0.8899999999999992,0.8199999999999994,4.5686465427177065,0.996,1.62,-0.3399999999999994,-0.04999999999999982,2.430265691361065,-0.18592964824120606,-0.18592964824120606,0.05269142585494535,-0.047446260657181494,6.66068659536112e-05,0.05862094479848845,-0.039596086224793825,0.1623236871494027,-0.0698950637250666,False,False
SHOCK_OR_Z,8,2020-09-09,2020-10-26,33,False,,,FLAT,-0.050070176810078,1.0099999999999998,0.04999999999999982,-4.440892098500626e-16,-0.07000000000000028,-0.29038804643017396,0.522,1.0500000000000003,,-0.020000000000000018,-0.23510689332971194,,,0.04187789690370658,-0.047736064106712384,0.0001352561995182633,0.07021391594374604,-0.03453409227844895,0.10788744231308156,-0.03453409227844895,True,False
SHOCK_OR_Z,9,2022-02-15,2022-03-29,29,False,,,FLAT,-0.0661698240827547,0.73,0.08000000000000007,0.08000000000000007,0.08000000000000007,1.8842081441796008,0.974,0.8500000000000001,-0.029999999999999805,0.08000000000000007,2.498941584203952,-0.15000000000000024,-0.15000000000000024,0.041698131393161475,-0.06795817824531591,0.0004705463779917096,-0.07310144583635392,-0.09287132849206747,-0.1723908359349101,-0.20067592664658196,True,True
SHOCK_OR_Z,10,2022-05-13,2022-08-04,56,False,,,FLAT,-0.1564589581055124,0.9799999999999995,0.049999999999998934,0.07999999999999918,0.09999999999999964,2.7224899496152566,0.992,1.1099999999999999,-0.05999999999999961,-0.029999999999999805,1.7029746957973007,-0.07499999999999984,-0.07499999999999984,0.06091744337934624,-0.12156500198574893,0.0037840970784270844,-0.052949363424960816,-0.08717714793366949,-0.09117053685920085,-0.16680303676492436,True,True
SHOCK_OR_Z,11,2025-03-10,2025-03-25,11,True,VIX,,FLAT,-0.085409398632319,0.6299999999999999,0.040000000000000036,0.020000000000000462,0.019999999999999574,-0.9653916351020665,0.278,0.6499999999999995,0.009999999999999787,0.05999999999999961,-0.5195828505363486,-0.015151515151516137,-0.015151515151516137,-0.00019621649442036482,-0.01634027248883385,0.0017963473982200995,-0.049994850603122365,-0.12682242301657587,0.05813561794908195,-0.12682242301657587,True,False
SHOCK_OR_Z,12,2025-03-27,2025-04-25,20,True,,,FLAT,-0.0720214154390501,0.6599999999999993,0.009999999999999787,0.03999999999999915,0.05999999999999961,-0.31410585059848434,0.374,0.75,0.040000000000000036,0.09000000000000075,1.4277494616024933,-0.025974025974025428,-0.025974025974025428,-0.03851633140963162,-0.12449740020888878,0.003277828266126326,0.07356887283705582,-0.02646041269613264,0.16014618858273533,-0.02646041269613264,True,True
SHOCK_OR_Z,13,2025-04-29,2025-05-09,8,False,,,FLAT,-0.0929022362941704,0.7400000000000002,-0.009999999999999787,0.020000000000000462,0.05999999999999961,1.2253127692801304,0.898,0.7599999999999998,0.009999999999999787,0.04999999999999982,1.5642003254937,-0.01298701298701277,-0.01298701298701277,0.025796610249271712,-0.014044795118028808,0.0013111409126316254,0.06864661405739203,-0.02646041269613264,0.130169556938722,-0.02646041269613264,False,False
SHOCK_OR_Z,14,2026-03-23,2026-04-07,10,False,,,FLAT,-0.0550980286386516,0.5899999999999999,0.05999999999999961,0.04999999999999982,0.07000000000000028,-0.49148444420882303,0.288,0.5999999999999996,0.009999999999999787,0.0699999999999994,-0.3061271653551408,-0.03225806451612978,-0.03225806451612978,0.015973580699953027,-0.037833860637602745,0.001413264472929887,0.11317928719170922,-0.008533524986046204,0.1260429455237002,-0.008533524986046204,False,False
LEVEL_CONFIRMED_LOCK,1,2007-11-16,2008-11-04,243,False,,,FLAT,-0.0683158063225728,0.9500000000000002,0.10000000000000053,0.11000000000000032,0.1200000000000001,1.0542292923012464,0.866,3.009999999999999,0.08999999999999986,0.9299999999999979,3.510561862583873,,,-0.3186057490321954,-0.43627720910037115,0.017100808036295767,-0.1504831706494184,-0.21561521545836726,-0.15091613202457088,-0.21561521545836726,True,True
LEVEL_CONFIRMED_LOCK,2,2018-03-20,2018-08-31,115,False,,,FLAT,-0.0507525410358691,0.8099999999999996,0.05999999999999961,0.11999999999999966,0.1499999999999999,4.12629893858153,1.0,0.8700000000000001,-0.019999999999999574,-0.029999999999999805,1.071813357085932,-0.033333333333333104,-0.07446808510638281,0.07805691947350746,-0.04975111981267488,0.008582835703605518,0.008852238319545958,-0.008132981329625588,-0.046199506122075684,-0.09925164861211044,True,True
LEVEL_CONFIRMED_LOCK,3,2018-11-05,2018-11-08,3,True,,,FLAT,-0.0645561980226959,0.9699999999999998,0.040000000000000036,0.05999999999999961,0.05999999999999961,1.6914849322413883,0.9960159362549801,1.0,0.08000000000000007,0.07000000000000028,1.9726100882875972,0.0,0.0,0.033542844332094424,0.0,0.0002726846973803987,-0.05835989781084905,-0.05631946191038828,-0.017109654697988752,-0.1560744774742674,True,False
LEVEL_CONFIRMED_LOCK,4,2018-11-14,2019-01-08,35,True,,,FLAT,-0.075470963441517,1.0,0.08999999999999986,0.07000000000000028,0.05999999999999961,1.9275020128720597,0.9940239043824701,1.15,0.020000000000000462,0.04999999999999938,2.2714595915636866,-0.008620689655172598,,-0.05952551080740309,-0.15607447747426717,0.0032426138976526797,0.05206996782040019,-0.013510623931932142,0.12386783856146688,-0.02125363921893575,True,True
LEVEL_CONFIRMED_LOCK,5,2019-01-28,2019-03-04,24,False,,,FLAT,-0.0922363227729098,1.2400000000000002,0.07000000000000028,0.10000000000000009,0.1200000000000001,2.5348378603982535,1.0,1.0700000000000003,-0.11000000000000032,-0.12999999999999945,0.9162543337105746,-0.1157024793388427,-0.13709677419354827,0.055083410190402526,-0.010838736026719364,0.002247284873183375,0.028023341692327675,-0.019983887818669666,-0.012958155121428283,-0.06618391134353996,False,False
LEVEL_CONFIRMED_LOCK,6,2020-03-05,2020-04-07,23,True,,,FLAT,-0.1060472861636346,0.9199999999999999,0.1200000000000001,0.07999999999999963,0.08999999999999986,-0.11561385776786814,0.538,1.9900000000000002,0.3999999999999999,0.9700000000000002,4.935779674691206,0.0,0.0,-0.14844498496282954,-0.25854330918609647,0.00015807066312722995,0.08505263445233702,-0.047446260657181494,0.19779521250903076,-0.06989506372506638,True,True
LEVEL_CONFIRMED_LOCK,7,2020-04-08,2020-05-28,34,False,,,FLAT,-0.1853124632037285,1.9599999999999995,0.2899999999999996,0.8899999999999992,0.8199999999999994,4.5686465427177065,0.996,1.3399999999999999,-0.1900000000000004,-0.15000000000000036,1.005160052582849,-0.13548387096774217,-0.3266331658291459,0.14483475895475006,-0.047446260657181494,0.00018202676689704766,-0.005279984939687399,-0.06989506372506649,0.15225762776199447,-0.06989506372506649,True,True
LEVEL_CONFIRMED_LOCK,8,2020-10-01,2020-10-22,15,False,,,FLAT,-0.0539863837860659,1.1,0.06000000000000005,0.06999999999999984,0.06000000000000005,-0.019269384050832675,0.594,1.0499999999999998,-0.08000000000000007,0.009999999999999787,-0.2314793222560782,,,0.023410685731576564,-0.029566222511344553,6.068497780220561e-05,0.03110773733137706,-0.055642502652050285,0.1201895974197853,-0.055642502652050285,True,False
LEVEL_CONFIRMED_LOCK,9,2022-02-15,2023-01-10,226,False,,,FLAT,-0.0661698240827547,0.73,0.08000000000000007,0.08000000000000007,0.08000000000000007,1.8842081441796008,0.974,1.12,-0.03000000000000025,-0.040000000000000036,0.6481114325739953,-0.050847457627119064,,-0.1021994949137619,-0.2209482591947477,0.020843317505494507,0.042270485530108814,-0.024742729724675505,0.048715612257291374,-0.0753873462931226,False,True
LEVEL_CONFIRMED_LOCK,10,2025-04-10,2025-04-25,10,False,,,FLAT,-0.1415690599518945,0.71,0.05000000000000071,0.07000000000000028,0.0600000000000005,0.692424976982093,0.652,0.75,0.040000000000000036,0.09000000000000075,1.4277494616024933,-0.025974025974025428,-0.025974025974025428,-0.0035179470663908585,-0.046817109636700605,0.0016415785224968005,0.07356887283705582,-0.02646041269613264,0.16014618858273533,-0.02646041269613264,False,False
LEVEL_OR_PERCENTILE_LOCK,1,2007-11-16,2008-11-04,243,False,,,FLAT,-0.0683158063225728,0.9500000000000002,0.10000000000000053,0.11000000000000032,0.1200000000000001,1.0542292923012464,0.866,3.009999999999999,0.08999999999999986,0.9299999999999979,3.510561862583873,,,-0.3186057490321954,-0.43627720910037115,0.017100808036295767,-0.1504831706494184,-0.21561521545836726,-0.15091613202457088,-0.21561521545836726,True,True
