date,macro_regime,active_trigger,SPY_return,CASH_return,final_state,CURRENT_FINAL_return,CURRENT_FINAL_NAV,CURRENT_FINAL_drawdown,SPY_CASH_TRIGGER_LOCK_return,SPY_CASH_TRIGGER_LOCK_NAV,SPY_CASH_TRIGGER_LOCK_drawdown,REGIME_NORMAL_CASH_STRESS_return,REGIME_NORMAL_CASH_STRESS_NAV,REGIME_NORMAL_CASH_STRESS_drawdown,FINAL_WITH_CREDIT_STRESS_CASH_return,FINAL_WITH_CREDIT_STRESS_CASH_NAV,FINAL_WITH_CREDIT_STRESS_CASH_drawdown,weights_CURRENT_FINAL,weights_CASH_STRESS_variant
2018-10-01,FLAT_HIGH_RATE,,0.0034740543120301,8.597051920578025e-05,NORMAL,0.0061823312401488,8.100147910711858,0.0,0.0034740543120301,3.8413470589031573,-0.0018029572433535535,0.006182331240148853,5.5340089388770135,0.0,0.006182331240148853,7.886412247170685,0.0,GOLD:64%; CMDTY_FUT:36%,GOLD:64%; CMDTY_FUT:36%
2018-10-02,FLAT_HIGH_RATE,,-0.0005825966211742,8.597051920578025e-05,NORMAL,0.0083728221281019,8.167969008379565,0.0,-0.0005825966211742,3.839109103085883,-0.0023845034677295596,0.008372822128101937,5.5803442113775565,0.0,0.008372822128101937,7.952443774145129,0.0,GOLD:64%; CMDTY_FUT:36%,GOLD:64%; CMDTY_FUT:36%
2018-10-03,FLAT_HIGH_RATE,,0.0005483075245729,8.597051920578025e-05,NORMAL,0.0013147298675921,8.17870768119245,0.0,0.0005483075245729,3.841214115494761,-0.001837503384350403,0.001314729867592141,5.5876808565837,0.0,0.001314729867592141,7.9628990894953455,0.0,GOLD:64%; CMDTY_FUT:36%,GOLD:64%; CMDTY_FUT:36%
2018-10-04,FLAT_HIGH_RATE,,-0.0078152304662353,8.558214573084477e-05,NORMAL,-0.0049640790585501,8.138107929666239,-0.0049640790585501,-0.0078152304662353,3.8111941419120132,-0.009638373338154649,-0.004964079058550143,5.559943167057671,-0.004964079058550119,-0.004964079058550143,7.923370628879834,-0.004964079058550119,GOLD:64%; CMDTY_FUT:36%,GOLD:64%; CMDTY_FUT:36%
2018-10-05,FLAT_HIGH_RATE,,-0.0055972573722664,8.558214573084477e-05,NORMAL,0.0009911654324742,8.146174140931869,-0.0039778338496426,-0.0055972573722664,3.789861907404058,-0.01518168225419736,0.0009911654324742973,5.565453990531381,-0.003977833849642565,0.0009911654324742973,7.931223999955862,-0.003977833849642676,GOLD:64%; CMDTY_FUT:36%,GOLD:64%; CMDTY_FUT:36%
2018-10-08,FLAT_HIGH_RATE,,0.0,8.558214573084477e-05,NORMAL,-0.007637765974467,8.083955569256176,-0.0115852180600809,0.0,3.789861907404058,-0.01518168225419736,-0.0076377659744670265,5.522946355410038,-0.011585218060080837,-0.0076377659744670265,7.870647167153122,-0.011585218060080837,GOLD:64%; CMDTY_FUT:36%,GOLD:64%; CMDTY_FUT:36%
2018-10-09,FLAT_HIGH_RATE,,-0.0014591547842047,8.6747152605815e-05,NORMAL,0.002685870788806,8.105668029377647,-0.0089304636700444,-0.0014591547842047,3.7843319122703942,-0.016618684614108536,0.002685870788806099,5.5377802756941765,-0.008930463670044353,0.002685870788806099,7.891786708468378,-0.008930463670044353,GOLD:64%; CMDTY_FUT:36%,GOLD:64%; CMDTY_FUT:36%
2018-10-10,FLAT_HIGH_RATE,,-0.0316631639918679,8.75236346555841e-05,NORMAL,-0.0041258991725818,8.072224860362015,-0.0130195166499592,-0.0316631639918679,3.6645079903325177,-0.0477556484697107,-0.004125899172581828,5.51493195263675,-0.013019516649959262,-0.004125899172581828,7.8592259922177155,-0.013019516649959262,GOLD:64%; CMDTY_FUT:36%,GOLD:64%; CMDTY_FUT:36%
2018-10-11,FLAT_HIGH_RATE,VIX,-0.0220266140187596,8.713541254601331e-05,STRESS,0.0026987445067219,8.094009732860941,-0.0103559084922765,-0.0009128645874539867,3.661162790757701,-0.04862491861682583,-0.0009128645874539867,5.509897566554969,-0.013920496181717756,0.0026987445067219217,7.880436035191299,-0.010355908492276633,IEF:90%; CASH:10%,IEF:90%; CASH:10%
2018-10-12,FLAT_HIGH_RATE,VIX,0.0138882068790726,8.75236346555841e-05,STRESS,-0.001066886662387,8.08537434183172,-0.0114117465740163,8.75236346555841e-05,3.661483229032214,-0.04854165081178241,8.75236346555841e-05,5.5103798128165735,-0.013834190919484235,-0.0010668866623870818,7.872028503091559,-0.011411746574016335,IEF:90%; CASH:10%,IEF:90%; CASH:10%
2018-10-15,FLAT_HIGH_RATE,VIX,-0.0056166320572691,8.907614494035876e-05,STRESS,0.0005474526817308,8.089800701697953,-0.0108705412835506,8.907614494035876e-05,3.66180937984302,-0.04845689856996538,8.907614494035876e-05,5.510870656207456,-0.013746347070939469,0.0005474526817308459,7.876338066206238,-0.010870541283550694,IEF:90%; CASH:10%,IEF:90%; CASH:10%
2018-10-16,FLAT_HIGH_RATE,VIX,0.0218655243064811,8.868807407758084e-05,STRESS,-8.054817094497182e-05,8.089149083048122,-0.0109502138522781,8.868807407758084e-05,3.6621341386645576,-0.04837250804489768,8.868807407758084e-05,5.5113594047124455,-0.013658878133909202,-8.054817094497182e-05,7.875703641581262,-0.010950213852278012,IEF:90%; CASH:10%,IEF:90%; CASH:10%
2018-10-17,FLAT_HIGH_RATE,VIX,0.0001785090702746,8.907614494035876e-05,STRESS,-0.0025928850011099,8.068174849718945,-0.0135147062081314,8.907614494035876e-05,3.6624603474558843,-0.04828774073649511,8.907614494035876e-05,5.511850335361598,-0.013571018669177204,-0.0025928850011099243,7.855282847735819,-0.013514706208131333,IEF:90%; CASH:10%,IEF:90%; CASH:10%
2018-10-18,FLAT_HIGH_RATE,VIX,-0.0144410334788466,8.907614494035876e-05,STRESS,0.0016284188757369,8.081313217936973,-0.0119082949350839,8.907614494035876e-05,3.6627865853046324,-0.048202965877347514,8.907614494035876e-05,5.51234130974096,-0.013483151378262836,0.0016284188757369757,7.868074538599325,-0.011908294935083719,IEF:90%; CASH:10%,IEF:90%; CASH:10%
2018-10-19,FLAT_HIGH_RATE,VIX,-0.0005427199071221,8.868807407758084e-05,STRESS,-0.0010687839724416,8.072676039893361,-0.0129643515127598,8.868807407758084e-05,3.6631114307926405,-0.04811855283147837,8.868807407758084e-05,5.512830188675379,-0.013395659098913493,-0.001068783972441602,7.859665266638494,-0.012964351512759653,IEF:90%; CASH:10%,IEF:90%; CASH:10%
