strategy,window,cumulative_return,max_drawdown,Sharpe,time_in_stress,time_in_credit_stress,time_in_vix_stress,time_in_cmdty_stress,avg_weight_SPY,avg_weight_GOLD,avg_weight_IEF,avg_weight_CASH,avg_weight_CMDTY_FUT
SPY_BUY_HOLD,2008_GFC,-0.37161444441768987,-0.5518944093580835,-0.632437876733812,0,0,0,0,1.0,0.0,0.0,0.0,0.0
SPY_BUY_HOLD,2015_2016,0.006936483325802545,-0.13022918852006427,0.04428286891450826,0,0,0,0,1.0,0.0,0.0,0.0,0.0
SPY_BUY_HOLD,2018Q4,-0.0660901455288514,-0.19203234009564452,-0.8163878971615426,0,0,0,0,1.0,0.0,0.0,0.0,0.0
SPY_BUY_HOLD,COVID_2020,-0.03167845151604476,-0.3371727790547798,-0.15424226346781125,0,0,0,0,1.0,0.0,0.0,0.0,0.0
SPY_BUY_HOLD,2022_RATE_WAR,-0.08745430725697201,-0.24496374143038613,-0.28307768718177867,0,0,0,0,1.0,0.0,0.0,0.0,0.0
SPY_BUY_HOLD,2025_PULLBACK,0.3048626235542884,-0.18755233666641224,1.200700598753348,0,0,0,0,1.0,0.0,0.0,0.0,0.0
SPY_BUY_HOLD,FULL_SAMPLE,7.384514463464857,-0.551894409358084,0.5752440542564119,0,0,0,0,1.0,0.0,0.0,0.0,0.0
CURRENT_FINAL,2008_GFC,0.5462308664062008,-0.14317704805412101,1.6027837647504675,251,104,35,145,0.18999930103891297,0.19331698747275142,0.41655328798185937,0.009070294784580499,0.19106012872189568
CURRENT_FINAL,2015_2016,0.1427851997757199,-0.06357779582701306,1.5631070779145704,125,0,17,123,0.3821753092975958,0.16233766233766234,0.3787878787878788,0.0,0.07669914957686302
CURRENT_FINAL,2018Q4,0.07661891041531033,-0.05026465290037774,2.4710518024282853,51,30,27,0,0.07662047114000317,0.4459879026752557,0.2785714285714286,0.030952380952380953,0.16786781666093165
CURRENT_FINAL,COVID_2020,0.27479944506515963,-0.15469690070036746,2.964727799568118,42,27,29,0,0.3126256810181441,0.40384615384615385,0.0,0.0,0.2835281651357021
CURRENT_FINAL,2022_RATE_WAR,0.07326560180565633,-0.14020389236531094,0.32467707996472156,91,75,12,0,0.4026330353299627,0.45270358583937453,0.06544943820224719,0.004213483146067416,0.07500045748234827
CURRENT_FINAL,2025_PULLBACK,0.4814950149071746,-0.08797658983502676,2.1168968049063563,49,0,45,0,0.0,0.3878127027644576,0.12894736842105264,0.01432748538011696,0.4689124434343727
CURRENT_FINAL,FULL_SAMPLE,39.6103901683143,-0.15935660707388144,1.492209316841105,1029,273,296,526,0.506266203828631,0.20854174367475944,0.11955065037445803,0.0029365392195506504,0.1627048629026009
SPY_CASH_TRIGGER_LOCK,2008_GFC,0.0935864039903096,-0.1922344804013396,0.3355939775031991,0,0,0,0,0.4308390022675737,0.0,0.0,0.5691609977324263,0.0
SPY_CASH_TRIGGER_LOCK,2015_2016,0.06863935220018735,-0.04009484648768891,0.9865598130558724,0,0,0,0,0.4588744588744589,0.0,0.0,0.5411255411255411,0.0
SPY_CASH_TRIGGER_LOCK,2018Q4,-0.04822149266547515,-0.10651730587748287,-1.3518516849623747,0,0,0,0,0.39285714285714285,0.0,0.0,0.6071428571428571,0.0
SPY_CASH_TRIGGER_LOCK,COVID_2020,0.09423755712371307,-0.06989506372506649,1.3412870294717838,0,0,0,0,0.5961538461538461,0.0,0.0,0.40384615384615385,0.0
SPY_CASH_TRIGGER_LOCK,2022_RATE_WAR,-0.16456183254566958,-0.29454945501511787,-0.6319550597402706,0,0,0,0,0.7443820224719101,0.0,0.0,0.2556179775280899,0.0
