date,macro_regime,active_trigger,SPY_return,CASH_return,final_state,CURRENT_FINAL_return,CURRENT_FINAL_NAV,CURRENT_FINAL_drawdown,SPY_CASH_TRIGGER_LOCK_return,SPY_CASH_TRIGGER_LOCK_NAV,SPY_CASH_TRIGGER_LOCK_drawdown,REGIME_NORMAL_CASH_STRESS_return,REGIME_NORMAL_CASH_STRESS_NAV,REGIME_NORMAL_CASH_STRESS_drawdown,FINAL_WITH_CREDIT_STRESS_CASH_return,FINAL_WITH_CREDIT_STRESS_CASH_NAV,FINAL_WITH_CREDIT_STRESS_CASH_drawdown,weights_CURRENT_FINAL,weights_CASH_STRESS_variant
2007-10-01,FLAT_HIGH_RATE,,0.011272831351567,0.0001491569971134,NORMAL,-0.0004436333278268,1.5137833321257197,-0.0004436333278269,0.011272831351567,1.1872484871020232,-0.009863357737486589,-0.0004436333278268357,1.48130390007899,-0.00044363332782670906,-0.0004436333278268357,1.5137833321257197,-0.0004436333278269311,GOLD:56%; CMDTY_FUT:44%,GOLD:56%; CMDTY_FUT:44%
2007-10-02,FLAT_HIGH_RATE,,-0.0013607676263573,0.0001503035659893,NORMAL,-0.0133644110103666,1.4935525094945492,-0.0138021154400626,-0.0013607676263573,1.1856329177963332,-0.01121070362594756,-0.013364411010366646,1.4615071459270752,-0.01380211544006249,-0.013364411010366646,1.4935525094945492,-0.013802115440062601,GOLD:56%; CMDTY_FUT:44%,GOLD:56%; CMDTY_FUT:44%
2007-10-03,FLAT_HIGH_RATE,,-0.002011695169457,0.0001503035659893,NORMAL,-0.0042266873862106,1.4872397299420252,-0.0179704655990396,-0.002011695169457,1.1832477857828532,-0.013199846277073934,-0.004226687386210662,1.4553298121085285,-0.017970465599039587,-0.004226687386210662,1.4872397299420252,-0.017970465599039698,GOLD:56%; CMDTY_FUT:44%,GOLD:56%; CMDTY_FUT:44%
2007-10-04,FLAT_HIGH_RATE,,0.0015603713042542,0.0001499214130207,NORMAL,0.0128783697830238,1.5063929531402234,-0.0053235261171733,0.0015603713042542,1.185094091673611,-0.011660071634171043,0.012878369783023853,1.474072087585121,-0.005323526117173127,0.012878369783023853,1.5063929531402234,-0.0053235261171733494,GOLD:56%; CMDTY_FUT:44%,GOLD:56%; CMDTY_FUT:44%
2007-10-05,FLAT_HIGH_RATE,,0.0118819362811397,0.0001514498050398,NORMAL,0.001508210686249,1.5086649110898396,-0.0038233444299028,0.0118819362811397,1.199175304158032,0.0,0.0015082106862490128,1.476295298859918,-0.003823344429902731,0.0015082106862490128,1.5086649110898396,-0.003823344429902842,GOLD:56%; CMDTY_FUT:44%,GOLD:56%; CMDTY_FUT:44%
2007-10-08,FLAT_HIGH_RATE,,-0.00532553207252,0.0001514498050398,NORMAL,-0.0175979734624339,1.4821154660207754,-0.0213540347785214,-0.00532553207252,1.1927890576151645,-0.005325532072519956,-0.017597973462433976,1.4503154933678652,-0.02135403477852149,-0.017597973462433976,1.4821154660207754,-0.02135403477852149,GOLD:56%; CMDTY_FUT:44%,GOLD:56%; CMDTY_FUT:44%
2007-10-09,FLAT_HIGH_RATE,,0.0094180784176813,0.0001541230812387,NORMAL,0.0087420738464904,1.4950722288737546,-0.0127986394809854,0.0094180784176813,1.2040228384955365,0.0,0.00874207384649042,1.4629942585115965,-0.012798639480985363,0.00874207384649042,1.4950722288737546,-0.012798639480985474,GOLD:56%; CMDTY_FUT:44%,GOLD:56%; CMDTY_FUT:44%
2007-10-10,FLAT_HIGH_RATE,,-0.0016617324903089,0.0001537412944259,NORMAL,0.0077525593262946,1.506662865025194,-0.005145302366563,-0.0016617324903089,1.2020220746257346,-0.001661732490308765,0.007752559326294611,1.474336208294736,-0.005145302366562965,0.007752559326294611,1.5066628650251939,-0.005145302366563076,GOLD:56%; CMDTY_FUT:44%,GOLD:56%; CMDTY_FUT:44%
2007-10-11,FLAT_HIGH_RATE,,-0.0048009882761832,0.0001560314667898,NORMAL,0.0109130496665016,1.5231051517018876,0.0,-0.0048009882761832,1.196251180737743,-0.00645474280828795,0.010913049666501683,1.4904257125609783,0.0,0.010913049666501683,1.5231051517018876,0.0,GOLD:56%; CMDTY_FUT:44%,GOLD:56%; CMDTY_FUT:44%
2007-10-12,FLAT_HIGH_RATE,,0.0055317092285147,0.0001590829838611,NORMAL,0.0068086152926259,1.5334753887300423,0.0,0.0055317092285147,1.2028684944338517,-0.0009587393401334632,0.0068086152926259335,1.5005734478600439,0.0,0.0068086152926259335,1.5334753887300423,0.0,GOLD:56%; CMDTY_FUT:44%,GOLD:56%; CMDTY_FUT:44%
2007-10-15,FLAT_HIGH_RATE,,-0.0084433263685658,0.000162894096898,NORMAL,0.0131091983878096,1.5535780218237278,0.0,-0.0084433263685658,1.1927122831568813,-0.009393970759548176,0.013109198387809646,1.5202447628835205,0.0,0.013109198387809646,1.5535780218237278,0.0,GOLD:56%; CMDTY_FUT:44%,GOLD:56%; CMDTY_FUT:44%
2007-10-16,FLAT_HIGH_RATE,,-0.0079352728295687,0.000160988996015,NORMAL,0.0038730021274042,1.5595950328073396,0.0,-0.0079352728295687,1.1832477857828536,-0.01725469986818684,0.0038730021274042785,1.5261326740843435,0.0,0.0038730021274042785,1.5595950328073396,0.0,GOLD:56%; CMDTY_FUT:44%,GOLD:56%; CMDTY_FUT:44%
2007-10-17,FLAT_HIGH_RATE,,0.0030564168410307,0.0001522137812646,NORMAL,-0.0076551434297853,1.5476561091388186,-0.0076551434297853,0.0030564168410307,1.1868642842424326,-0.014251020582420226,-0.0076551434297853806,1.514449909571346,-0.007655143429785349,-0.0076551434297853806,1.5476561091388186,-0.007655143429785349,GOLD:56%; CMDTY_FUT:44%,GOLD:56%; CMDTY_FUT:44%
2007-10-18,FLAT_HIGH_RATE,,-0.0036305382158013,0.0001426535342601,NORMAL,0.0192602384438499,1.577464334829913,0.0,-0.0036305382158013,1.1825553281015209,-0.01782981992338284,0.019260238443849956,1.5436185759409573,0.0,0.019260238443849956,1.5774643348299133,0.0,GOLD:56%; CMDTY_FUT:44%,GOLD:56%; CMDTY_FUT:44%
2007-10-19,FLAT_HIGH_RATE,,-0.0261568523611142,0.0001460978661853,NORMAL,-0.0053558904130959,1.569015608721997,-0.0053558904130959,-0.0261568523611142,1.1516234029755203,-0.04352030031713583,-0.005355890413095956,1.5353511240085984,-0.005355890413095921,-0.005355890413095956,1.569015608721997,-0.005355890413095921,GOLD:56%; CMDTY_FUT:44%,GOLD:56%; CMDTY_FUT:44%
2007-10-22,FLAT_HIGH_RATE,,0.0058128123995564,0.0001518318114617,NORMAL,-0.0125577977168583,1.549312228093073,-0.0178464299415529,0.0058128123995564,1.1583175737719558,-0.03796046325889535,-0.012557797716858304,1.5160704951689474,-0.017846429941552833,-0.012557797716858304,1.549312228093073,-0.017846429941552944,GOLD:56%; CMDTY_FUT:44%,GOLD:56%; CMDTY_FUT:44%
2007-10-23,FLAT_HIGH_RATE,,0.0081042625253093,0.0001510677619918,NORMAL,0.0014734528924002,1.5515950666767877,-0.016399272922969,0.0081042625253093,1.167704883477483,-0.030163842293418508,0.0014734528924002198,1.5183043536251368,-0.016399272922968944,0.0014734528924002198,1.5515950666767877,-0.016399272922969055,GOLD:56%; CMDTY_FUT:44%,GOLD:56%; CMDTY_FUT:44%
2007-10-24,FLAT_HIGH_RATE,,-0.001844912029445,0.0001460978661853,NORMAL,0.0064810114832542,1.5616509721212808,-0.0100245453158455,-0.001844912029445,1.1655505706911138,-0.03195310468736201,0.006481011483254288,1.5281445015760564,-0.010024545315845401,0.006481011483254288,1.5616509721212808,-0.010024545315845512,GOLD:56%; CMDTY_FUT:44%,GOLD:56%; CMDTY_FUT:44%
2007-10-25,FLAT_HIGH_RATE,,0.002376201315366,0.0001495392233976,NORMAL,0.0154485406804459,1.5857762006927545,0.0,0.002376201315366,1.1683201534903158,-0.029652830381384,0.015448540680445983,1.551752104074254,0.0,0.015448540680445983,1.5857762006927543,0.0,GOLD:56%; CMDTY_FUT:44%,GOLD:56%; CMDTY_FUT:44%
2007-10-26,FLAT_HIGH_RATE,,0.0117231831442847,0.0001503035659893,NORMAL,0.0171852453224323,1.613028153728134,0.0,0.0117231831442847,1.1820165846208417,-0.01827727279840663,0.01718524532243235,1.5784193446623707,0.0,0.01718524532243235,1.613028153728134,0.0,GOLD:56%; CMDTY_FUT:44%,GOLD:56%; CMDTY_FUT:44%
