trigger,n_episodes,time_in_trigger,SPY_return_during_trigger,SPY_maxDD_during_trigger,CASH_return_during_trigger,final_hedge_return_during_trigger,final_hedge_maxDD_during_trigger,drawdown_avoided_vs_SPY,final_hedge_excess_vs_CASH,cash_better_episode_ratio,final_hedge_better_episode_ratio
VIX,24,296,-0.4046116263133057,-0.5068572065386211,0.015986255654891535,0.01842602720740638,-0.12527726112612358,0.3815799454124975,0.0024397715525148467,0.5416666666666666,0.4583333333333333
Credit,8,273,0.020350014353693435,-0.2028427471101215,0.018580463330047703,0.22936997724965402,-0.0977765374443148,0.10506620966580671,0.21078951391960632,0.125,0.875
Commodity,8,526,-0.3556000169854395,-0.4827761195456918,0.004189424903147776,0.39227870385812813,-0.07799559082018925,0.4047805287255025,0.38808927895498035,0.125,0.875
Combined,35,1029,-0.1764861030132212,-0.506584599429672,0.03911118345986386,0.6822038858479098,-0.1252772611261237,0.38130733830354835,0.643092702388046,0.4,0.6
