date,macro_regime,active_trigger,SPY_return,CASH_return,final_state,CURRENT_FINAL_return,CURRENT_FINAL_NAV,CURRENT_FINAL_drawdown,SPY_CASH_TRIGGER_LOCK_return,SPY_CASH_TRIGGER_LOCK_NAV,SPY_CASH_TRIGGER_LOCK_drawdown,REGIME_NORMAL_CASH_STRESS_return,REGIME_NORMAL_CASH_STRESS_NAV,REGIME_NORMAL_CASH_STRESS_drawdown,FINAL_WITH_CREDIT_STRESS_CASH_return,FINAL_WITH_CREDIT_STRESS_CASH_NAV,FINAL_WITH_CREDIT_STRESS_CASH_drawdown,weights_CURRENT_FINAL,weights_CASH_STRESS_variant
2025-01-02,FLAT_HIGH_RATE,,-0.0024570437313847,0.000164036720381,NORMAL,0.012478652373795,27.753824816322844,-0.0202607141356023,-0.0024570437313847,7.933025103630693,-0.03488302561198009,0.012478652373795024,16.062259358147077,-0.020260714135601265,0.012478652373795024,22.630712993684686,-0.02026071413560082,GOLD:54%; CMDTY_FUT:46%,GOLD:54%; CMDTY_FUT:46%
2025-01-03,FLAT_HIGH_RATE,,0.0125033666861651,0.0001632750077988,NORMAL,-0.0059515737418049,27.58864588131136,-0.0260917047431676,0.0125033666861651,8.03221462543194,-0.022815814186164518,-0.005951573741804984,15.966663637117067,-0.026091704743166688,-0.005951573741804984,22.496024636473148,-0.026091704743166133,GOLD:54%; CMDTY_FUT:46%,GOLD:54%; CMDTY_FUT:46%
2025-01-06,FLAT_HIGH_RATE,,0.0057606666896099,0.000163655882291,NORMAL,0.0013160434739457,27.62495373867846,-0.0248099990869733,0.0057606666896099,8.078485536668465,-0.01718658179733301,0.0013160434739457301,15.987676460597381,-0.024809999086972345,0.0013160434739457301,22.525630382885698,-0.0248099990869719,GOLD:54%; CMDTY_FUT:46%,GOLD:54%; CMDTY_FUT:46%
2025-01-07,FLAT_HIGH_RATE,,-0.0113039113659192,0.000163655882291,NORMAL,0.0042474407474871,27.74228909283557,-0.0206679373405532,-0.0113039113659192,7.987167052191104,-0.028296217565932036,0.00424744074748716,16.05558316905376,-0.02066793734055239,0.00424744074748716,22.621306663236798,-0.020667937340552056,GOLD:54%; CMDTY_FUT:46%,GOLD:54%; CMDTY_FUT:46%
2025-01-08,FLAT_HIGH_RATE,,0.0014607284328485,0.000163655882291,NORMAL,0.0009113476587104,27.7675719630476,-0.0197754253581484,0.0014607284328485,7.99883413420215,-0.02687682222262422,0.0009113476587104849,16.070215387184113,-0.01977542535814747,0.0009113476587104849,22.641922538101312,-0.019775425358147136,GOLD:54%; CMDTY_FUT:46%,GOLD:54%; CMDTY_FUT:46%
2025-01-09,FLAT_HIGH_RATE,,0.0,0.000163655882291,NORMAL,0.0030919116665039,27.853426842750636,-0.0167446575600194,0.0,7.99883413420215,-0.02687682222262422,0.0030919116665039767,16.11990307362298,-0.016744657560018417,0.0030919116665039767,22.711929362548947,-0.016744657560018084,GOLD:54%; CMDTY_FUT:46%,GOLD:54%; CMDTY_FUT:46%
2025-01-10,FLAT_HIGH_RATE,,0.0,0.000164036720381,NORMAL,0.0020884380174469,27.91159699828521,-0.0146911897220098,0.0,7.99883413420215,-0.02687682222262422,0.00208843801744697,16.153568492039494,-0.01469118972200889,0.00208843801744697,22.759361819279267,-0.014691189722008446,GOLD:54%; CMDTY_FUT:46%,GOLD:54%; CMDTY_FUT:46%
2025-01-13,FLAT_HIGH_RATE,,0.0015505471876331,0.000164417522076,NORMAL,0.0100137468303413,28.191096664256555,-0.0048245567461812,0.0015505471876331,8.011236703973282,-0.025367948816100827,0.010013746830341348,16.31532623732536,-0.0048245567461800976,0.010013746830341348,22.987268306557667,-0.0048245567461798755,GOLD:54%; CMDTY_FUT:46%,GOLD:54%; CMDTY_FUT:46%
2025-01-14,FLAT_HIGH_RATE,,0.0013759292368293,0.000164036720381,NORMAL,-0.0001119436204745,28.18794085083081,-0.0049359602883064,0.0013759292368293,8.02225959877744,-0.024026924081725798,-0.00011194362047458987,16.313499840637128,-0.004935960288305341,-0.00011194362047458987,22.98469502851861,-0.004935960288305119,GOLD:54%; CMDTY_FUT:46%,GOLD:54%; CMDTY_FUT:46%
2025-01-15,FLAT_HIGH_RATE,,0.0181900850970144,0.000163655882291,NORMAL,0.0125143472460993,28.540694530790617,0.0,0.0181900850970144,8.168185183549543,-0.006273890778377478,0.012514347246099386,16.517652642442048,0.0,0.012514347246099386,23.272333483451185,0.0,GOLD:54%; CMDTY_FUT:46%,GOLD:54%; CMDTY_FUT:46%
2025-01-16,FLAT_HIGH_RATE,,-0.0019231739483729,0.000163655882291,NORMAL,0.0009871884700531,28.568869575358725,0.0,-0.0019231739483729,8.152476342599055,-0.008184998943450483,0.0009871884700531162,16.53395867868301,0.0,0.0009871884700531162,23.29530766273728,0.0,GOLD:54%; CMDTY_FUT:46%,GOLD:54%; CMDTY_FUT:46%
2025-01-17,FLAT_HIGH_RATE,,0.0100398479260637,0.0001632750077988,NORMAL,-0.0083349897586562,28.330748340031725,-0.0083349897586562,0.0100398479260637,8.23432596529958,0.0,-0.008334989758656208,16.39614830242614,-0.00833498975865632,-0.008334989758656208,23.10114151194362,-0.008334989758656097,GOLD:54%; CMDTY_FUT:46%,GOLD:54%; CMDTY_FUT:46%
2025-01-21,FLAT_HIGH_RATE,,0.0091534807380355,0.000164036720381,NORMAL,0.0060137445249043,28.50112222274804,-0.0023713697327779,0.0091534807380355,8.309698709413656,0.0,0.006013744524904333,16.494750549509376,-0.0023713697327781835,0.006013744524904333,23.240065875230115,-0.0023713697327778505,GOLD:54%; CMDTY_FUT:46%,GOLD:54%; CMDTY_FUT:46%
2025-01-22,FLAT_HIGH_RATE,,0.005621365357123,0.000164036720381,NORMAL,0.0015873963080325,28.546364798939216,-0.000787737728304,0.005621365357123,8.356410561866884,0.0,0.0015873963080325873,16.520934255633588,-0.0007877377283043163,0.0015873963080325873,23.27695706999889,-0.0007877377283040943,GOLD:54%; CMDTY_FUT:46%,GOLD:54%; CMDTY_FUT:46%
2025-01-23,FLAT_HIGH_RATE,,0.0054583289087835,0.000164036720381,NORMAL,-0.0019268492414386,28.49136025758055,-0.0027130691178984,0.0054583289087835,8.402022599210385,0.0,-0.0019268492414386512,16.48910090599526,-0.002713069117898703,-0.0019268492414386512,23.232105882925563,-0.002713069117898481,GOLD:54%; CMDTY_FUT:46%,GOLD:54%; CMDTY_FUT:46%
2025-01-24,FLAT_HIGH_RATE,,-0.002919379508978,0.000163655882291,NORMAL,0.0032910416723056,28.585126511488923,0.0,-0.002919379508978,8.37749390660028,-0.002919379508977915,0.0032910416723056523,16.543367224215746,0.0,0.0032910416723056523,23.30856371152169,0.0,GOLD:54%; CMDTY_FUT:46%,GOLD:54%; CMDTY_FUT:46%
2025-01-27,FLAT_HIGH_RATE,,-0.014145469544892,0.0001632750077988,NORMAL,-0.0116960650125791,28.25079301341775,-0.0116960650125791,-0.014145469544892,8.258990321681948,-0.017023553059935748,-0.01169606501257913,16.34987492563435,-0.011696065012579027,-0.01169606501257913,23.03594523500189,-0.011696065012579027,GOLD:54%; CMDTY_FUT:46%,GOLD:54%; CMDTY_FUT:46%
2025-01-28,FLAT_HIGH_RATE,,0.0085924487859183,0.0001632750077988,NORMAL,0.0055868287760453,28.40862535677121,-0.0061745801491125,0.0085924487859183,8.329955273044396,-0.008577378281839132,0.005586828776045398,16.441218877353627,-0.00617458014911243,0.005586828776045398,23.164643116724204,-0.006174580149112541,GOLD:54%; CMDTY_FUT:46%,GOLD:54%; CMDTY_FUT:46%
2025-01-29,FLAT_HIGH_RATE,,-0.0044829196112522,0.0001632750077988,NORMAL,-0.0026092297180531,28.334500727241288,-0.008767698969144,-0.0044829196112522,8.292612753190012,-0.013021846195778508,-0.0026092297180531957,16.39831996045782,-0.008767698969143978,-0.0026092297180531957,23.10420124149595,-0.008767698969144089,GOLD:54%; CMDTY_FUT:46%,GOLD:54%; CMDTY_FUT:46%
