strategy,window,cumulative_return,max_drawdown,Sharpe,time_in_credit_lock,number_credit_unlocks,false_recovery_count,avg_weight_SPY,avg_weight_GOLD,avg_weight_IEF,avg_weight_CASH,avg_weight_CMDTY
FINAL_BASELINE,2008_GFC,0.5462308664061997,-0.14317704805412257,1.6027837647504588,105,1,1,0.18999930103891297,0.19331698747275142,0.41655328798185937,0.009070294784580499,0.19106012872189568
FINAL_BASELINE,2015_2016,0.34491533391042806,-0.06357779582701362,1.497976935687244,0,0,0,0.46452032255877634,0.11011904761904762,0.2569444444444444,0.0,0.1684161853777316
FINAL_BASELINE,2018Q4,0.07661891041531188,-0.05026465290037763,2.4710518024283323,31,1,1,0.07662047114000317,0.4459879026752557,0.2785714285714286,0.030952380952380953,0.16786781666093165
FINAL_BASELINE,COVID_2020,0.27479944506516096,-0.15469690070036735,2.964727799568132,28,2,1,0.3126256810181441,0.40384615384615385,0.0,0.0,0.2835281651357021
FINAL_BASELINE,2022_RATE_WAR,0.07326560180565656,-0.14020389236531017,0.3246770799647222,77,2,2,0.4026330353299627,0.45270358583937453,0.06544943820224719,0.004213483146067416,0.07500045748234827
FINAL_BASELINE,2025_PULLBACK,0.4814950149071824,-0.08797658983502687,2.116896804906381,0,0,0,0.0,0.3878127027644576,0.12894736842105264,0.01432748538011696,0.4689124434343727
CREDIT_UNLOCK_2D_CONFIRM,2008_GFC,0.5475354486128616,-0.1424541314433807,1.6058123568336493,106,1,1,0.18877548173730246,0.19399725958159497,0.41814058956916095,0.009070294784580499,0.19001637432736104
CREDIT_UNLOCK_2D_CONFIRM,2015_2016,0.34491533391042806,-0.06357779582701362,1.497976935687244,0,0,0,0.46452032255877634,0.11011904761904762,0.2569444444444444,0.0,0.1684161853777316
CREDIT_UNLOCK_2D_CONFIRM,2018Q4,0.07661891041531188,-0.05026465290037763,2.4710518024283323,31,1,1,0.07662047114000317,0.4459879026752557,0.2785714285714286,0.030952380952380953,0.16786781666093165
CREDIT_UNLOCK_2D_CONFIRM,COVID_2020,0.28300899678588154,-0.15469690070036735,3.078162822335562,29,2,1,0.308273864391861,0.41346153846153844,0.0,0.0,0.27826459714660057
CREDIT_UNLOCK_2D_CONFIRM,2022_RATE_WAR,0.03495873561445495,-0.17089163116124884,0.1691775802785717,112,1,1,0.3428702941927202,0.5482092038169026,0.06544943820224719,0.004213483146067416,0.03925758064206268
CREDIT_UNLOCK_2D_CONFIRM,2025_PULLBACK,0.4814950149071824,-0.08797658983502687,2.116896804906381,0,0,0,0.0,0.3878127027644576,0.12894736842105264,0.01432748538011696,0.4689124434343727
CREDIT_UNLOCK_3D_CONFIRM,2008_GFC,0.5601618776554917,-0.13545736631607075,1.6423618440989842,107,1,1,0.18755166243569193,0.19467753169043853,0.4197278911564626,0.009070294784580499,0.1889726199328265
CREDIT_UNLOCK_3D_CONFIRM,2015_2016,0.34491533391042806,-0.06357779582701362,1.497976935687244,0,0,0,0.46452032255877634,0.11011904761904762,0.2569444444444444,0.0,0.1684161853777316
CREDIT_UNLOCK_3D_CONFIRM,2018Q4,0.07661891041531188,-0.05026465290037763,2.4710518024283323,31,1,1,0.07662047114000317,0.4459879026752557,0.2785714285714286,0.030952380952380953,0.16786781666093165
CREDIT_UNLOCK_3D_CONFIRM,COVID_2020,0.2834731458407156,-0.15469690070036735,3.087524983279571,30,2,1,0.30392204776557785,0.4230769230769231,0.0,0.0,0.2730010291574991
CREDIT_UNLOCK_3D_CONFIRM,2022_RATE_WAR,0.03495873561445495,-0.17089163116124884,0.1691775802785717,113,1,1,0.3428702941927202,0.5482092038169026,0.06544943820224719,0.004213483146067416,0.03925758064206268
CREDIT_UNLOCK_3D_CONFIRM,2025_PULLBACK,0.4814950149071824,-0.08797658983502687,2.116896804906381,0,0,0,0.0,0.3878127027644576,0.12894736842105264,0.01432748538011696,0.4689124434343727
CREDIT_UNLOCK_MA50,2008_GFC,0.5462308664061997,-0.14317704805412257,1.6027837647504588,105,1,1,0.18999930103891297,0.19331698747275142,0.41655328798185937,0.009070294784580499,0.19106012872189568
CREDIT_UNLOCK_MA50,2015_2016,0.34491533391042806,-0.06357779582701362,1.497976935687244,0,0,0,0.46452032255877634,0.11011904761904762,0.2569444444444444,0.0,0.1684161853777316
CREDIT_UNLOCK_MA50,2018Q4,0.07661891041531188,-0.05026465290037763,2.4710518024283323,31,1,1,0.07662047114000317,0.4459879026752557,0.2785714285714286,0.030952380952380953,0.16786781666093165
CREDIT_UNLOCK_MA50,COVID_2020,0.27479944506516096,-0.15469690070036735,2.964727799568132,28,2,1,0.3126256810181441,0.40384615384615385,0.0,0.0,0.2835281651357021
CREDIT_UNLOCK_MA50,2022_RATE_WAR,0.07326560180565656,-0.14020389236531017,0.3246770799647222,77,2,2,0.4026330353299627,0.45270358583937453,0.06544943820224719,0.004213483146067416,0.07500045748234827
CREDIT_UNLOCK_MA50,2025_PULLBACK,0.4814950149071824,-0.08797658983502687,2.116896804906381,0,0,0,0.0,0.3878127027644576,0.12894736842105264,0.01432748538011696,0.4689124434343727
CREDIT_UNLOCK_MA20_MA50,2008_GFC,0.5462308664061997,-0.14317704805412257,1.6027837647504588,105,1,1,0.18999930103891297,0.19331698747275142,0.41655328798185937,0.009070294784580499,0.19106012872189568
CREDIT_UNLOCK_MA20_MA50,2015_2016,0.34491533391042806,-0.06357779582701362,1.497976935687244,0,0,0,0.46452032255877634,0.11011904761904762,0.2569444444444444,0.0,0.1684161853777316
