strategy,episode_id,entry_date,unlock_date,duration_days,macro_regime_at_entry,macro_regime_dominant,final_regime_at_entry,entry_SPY_drawdown,entry_credit_spread,entry_D_CREDIT_15D,entry_D_CREDIT_20D,entry_VIX_Z,entry_SPY_vs_MA20,unlock_credit_spread,unlock_D_CREDIT_15D,unlock_D_CREDIT_20D,unlock_SPY_vs_MA20,unlock_SPY_vs_MA50,unlock_VIX_Z,SPY_return_during_lock,SPY_maxDD_during_lock,hedge_return_during_lock,strategy_return_during_lock,next_21d_SPY_return_after_unlock,next_21d_SPY_maxDD_after_unlock,next_63d_SPY_return_after_unlock,next_63d_SPY_maxDD_after_unlock,next_21d_strategy_return_after_unlock,next_63d_strategy_return_after_unlock,relock_within_21d,relock_within_63d,false_recovery_flag,missed_rebound_flag
FINAL_BASELINE,1,2007-11-26,2008-04-28,105,FLAT,STEEP_HIGH_RATE,FLAT_HIGH_RATE,-0.0992462694414464,0.9899999999999993,0.1399999999999996,0.1599999999999992,1.7655622878275814,-0.045164323402258844,1.4000000000000004,-0.0299999999999993,-0.0199999999999995,0.020478630873018266,0.038805032472558176,-1.69304828040241,-0.02146918623571048,-0.15387059523373026,0.03466133367831725,0.03332953194516408,-0.00236363510389459,-0.03781899682944734,-0.1100884139927728,-0.14998151712382268,0.033625815498999456,-0.04889473925073351,False,False,True,True
FINAL_BASELINE,2,2018-03-20,2018-04-30,28,FLAT,FLAT_LOW_RATE,FLAT_LOW_RATE,-0.0507525410358691,0.7799999999999998,0.1099999999999998,0.1099999999999994,0.926896213384826,-0.00557124423757549,0.8200000000000003,-0.0099999999999997,0.0100000000000006,-0.0027241778651458937,-0.012629027910790014,0.1057145578358032,-0.014529293025239975,-0.04975111981267488,0.005045224950435578,0.004035652088519637,0.030622475147395134,-0.01591262363618906,0.06312461174944572,-0.02997488926998826,0.029546257801458697,0.030790595385778774,False,False,False,False
FINAL_BASELINE,3,2018-11-27,2019-01-08,27,FLAT,FLAT_LOW_RATE,FLAT_HIGH_RATE,-0.0816298377479007,1.0300000000000002,0.1100000000000003,0.0999999999999996,0.9895182386185284,-0.011517971731754728,1.1399999999999997,0.0199999999999995,0.0599999999999996,0.018980644035736738,-0.022163211046602793,0.5521354463363547,-0.04349359184932744,-0.15607447747426728,0.05202610344554803,0.04992422573710753,0.05206996782040019,-0.013510623931932142,0.12386783856146688,-0.02125363921893575,0.04424296428209806,0.0856761381953679,True,True,True,True
FINAL_BASELINE,4,2019-01-28,2019-02-19,15,FLAT,FLAT_LOW_RATE,FLAT_LOW_RATE,-0.0922363227729098,1.2300000000000004,0.0900000000000007,0.1000000000000005,0.1358079587739399,0.022535514422852954,1.19,-0.0400000000000004,4.440892098500626e-16,0.029443982572217475,0.06438855870505678,-0.7866056768249374,0.043607723738566806,-0.010838736026719364,0.015790350250436846,0.014778102686765937,0.01777959784289629,-0.021253639218935638,0.02645563844362986,-0.04479180168549535,0.027333310894547935,0.013654019304258691,False,False,False,False
FINAL_BASELINE,5,2020-03-16,2020-04-07,16,FLAT,FLAT_LOW_RATE,FLAT_LOW_RATE,-0.2910978512112505,1.1099999999999999,0.2999999999999998,0.27,5.32060584424074,-0.2007984298476556,1.8900000000000001,0.7800000000000002,0.9699999999999998,0.059142569155753666,-0.08940713325837601,1.1949313147171703,-0.010777125517919761,-0.112891625859458,0.09491908304985808,0.09491908304985808,0.08505263445233702,-0.047446260657181494,0.19779521250903076,-0.06989506372506638,0.1036692096385301,0.2998078778754798,True,True,True,True
FINAL_BASELINE,6,2020-04-08,2020-04-27,12,FLAT,FLAT_LOW_RATE,FLAT_LOW_RATE,-0.1853124632037285,1.8900000000000001,0.7800000000000002,0.9699999999999998,1.0022446250762074,0.09441815288082167,1.5700000000000003,-0.3199999999999998,-0.1,0.05657951053380894,0.030945650031906746,0.3297598575467581,0.0672877907065923,-0.047446260657181494,0.04229688789727848,0.0412452228096063,0.057411883027371324,-0.039596086224793825,0.13096151904490627,-0.0698950637250666,0.16713604715470765,0.29567152799384355,False,False,False,False
FINAL_BASELINE,7,2022-02-28,2022-04-11,30,FLAT,FLAT_LOW_RATE,FLAT_LOW_RATE,-0.0859935276062733,0.77,0.1299999999999999,0.1299999999999999,1.9958853213637529,-0.014183412439151555,0.8799999999999999,-0.0300000000000002,0.04,-0.017557113771302868,-0.0017533385312519245,0.3371268585947761,0.02560914370511247,-0.04941900840318236,0.027867448790148908,0.026850126241358074,-0.10722392161525762,-0.11749510619128278,-0.13514629401257217,-0.17614160547941304,-0.045916133540909176,-0.025088139461001746,False,True,True,False
FINAL_BASELINE,8,2022-05-31,2022-08-08,47,FLAT,INVERTED,FLAT_LOW_RATE,-0.1329200074004267,1.04,0.1400000000000005,0.1200000000000001,0.2171786100942933,0.025187002056935803,1.12,-0.0499999999999998,-0.0200000000000004,0.037006755527130286,0.05067206703003846,-1.3079261434570433,-9.47486493019234e-06,-0.12156500198574871,0.01743937700393361,0.013948882348759684,-0.03682903116248748,-0.09062131183276678,-0.08497544223264009,-0.16680303676492425,-0.03897612735887812,-0.06744002440548702,False,False,True,True
