episode_id,strategy,entry_date,unlock_date,duration_days,SPY_return_during_lock,strategy_return_during_lock,next_21d_SPY_return_after_unlock,next_21d_SPY_maxDD_after_unlock,false_recovery_flag,missed_rebound_flag
1,FINAL_BASELINE,2007-11-26,2008-04-28,105,-0.02146918623571048,0.03332953194516408,-0.00236363510389459,-0.03781899682944734,True,True
1,CREDIT_UNLOCK_2D_CONFIRM,2007-11-26,2008-04-29,106,-0.02125837014044929,0.036127753365899906,0.006614908562866395,-0.03781899682944723,True,True
1,CREDIT_UNLOCK_3D_CONFIRM,2007-11-26,2008-04-30,107,-0.025114016930414595,0.030772000177017977,0.015116492849400087,-0.03781899682944745,True,True
1,CREDIT_UNLOCK_MA50,2007-11-26,2008-04-28,105,-0.02146918623571048,0.03332953194516408,-0.00236363510389459,-0.03781899682944734,True,True
1,CREDIT_UNLOCK_MA20_MA50,2007-11-26,2008-04-28,105,-0.02146918623571048,0.03332953194516408,-0.00236363510389459,-0.03781899682944734,True,True
1,CREDIT_UNLOCK_LEVEL_CONFIRM,2007-11-26,2008-11-04,238,-0.31193971002465537,-0.012211534422911785,-0.1504831706494184,-0.21561521545836726,True,True
1,CREDIT_UNLOCK_ZSCORE_CONFIRM,2007-11-26,2008-11-04,238,-0.31193971002465537,-0.012211534422911785,-0.1504831706494184,-0.21561521545836726,True,True
1,CREDIT_UNLOCK_COOLDOWN_10D,2007-11-26,2008-05-12,115,-0.026375858196252877,0.04017352834927568,-0.04641852947678993,-0.0636838014646286,True,True
1,CREDIT_UNLOCK_COOLDOWN_21D,2007-11-26,2008-11-04,238,-0.31193971002465537,-0.012211534422911785,-0.1504831706494184,-0.21561521545836726,True,True
1,CREDIT_UNLOCK_TRAILING_DD_REPAIR,2007-11-26,2008-05-16,119,-0.0009308994916905622,0.03519605674460924,-0.04969872604667902,-0.06368380146462893,True,True
1,CREDIT_UNLOCK_HYBRID_STRICT,2007-11-26,2008-11-04,238,-0.31193971002465537,-0.012211534422911785,-0.1504831706494184,-0.21561521545836726,True,True
1,CREDIT_UNLOCK_RATE_SHOCK_STRICT,2007-11-26,2008-11-04,238,-0.31193971002465537,-0.012211534422911785,-0.1504831706494184,-0.21561521545836726,True,True
1,CREDIT_RELOCK_FAST,2007-11-26,2008-04-28,105,-0.02146918623571048,0.03332953194516408,-0.00236363510389459,-0.03781899682944734,True,True
1,CREDIT_RELOCK_FAST_WITH_VIX,2007-11-26,2008-04-28,105,-0.02146918623571048,0.03332953194516408,-0.00236363510389459,-0.03781899682944734,True,True
1,CREDIT_UNLOCK_MA50_PLUS_RELOCK_FAST,2007-11-26,2008-04-28,105,-0.02146918623571048,0.03332953194516408,-0.00236363510389459,-0.03781899682944734,True,True
1,CREDIT_UNLOCK_HYBRID_PLUS_RELOCK_FAST,2007-11-26,2008-11-04,238,-0.31193971002465537,-0.012211534422911785,-0.1504831706494184,-0.21561521545836726,True,True
2,FINAL_BASELINE,2018-03-20,2018-04-30,28,-0.014529293025239975,0.004035652088519637,0.030622475147395134,-0.01591262363618906,False,False
2,CREDIT_UNLOCK_2D_CONFIRM,2018-03-20,2018-05-07,33,-0.016525776533136805,-0.003644613304172317,0.03926261965181066,-0.01591262363618906,False,False
2,CREDIT_UNLOCK_3D_CONFIRM,2018-03-20,2018-05-07,33,-0.016525776533136805,-0.003644613304172317,0.03926261965181066,-0.01591262363618906,False,False
2,CREDIT_UNLOCK_MA50,2018-03-20,2018-05-10,36,-0.003660187846275309,-0.005324665636574855,0.024042431314956758,-0.015912623636189283,False,False
2,CREDIT_UNLOCK_MA20_MA50,2018-03-20,2018-05-10,36,-0.003660187846275309,-0.005324665636574855,0.024042431314956758,-0.015912623636189283,False,False
2,CREDIT_UNLOCK_LEVEL_CONFIRM,2018-03-20,2018-11-08,163,0.048281131433858926,-0.09114552828471978,-0.05835989781084905,-0.05631946191038828,True,True
2,CREDIT_UNLOCK_ZSCORE_CONFIRM,2018-03-20,2018-11-08,163,0.048281131433858926,-0.09114552828471978,-0.05835989781084905,-0.05631946191038828,True,True
2,CREDIT_UNLOCK_COOLDOWN_10D,2018-03-20,2018-08-31,115,0.07805691947350746,-0.0874546660338873,0.008852238319545958,-0.008132981329625588,True,True
2,CREDIT_UNLOCK_COOLDOWN_21D,2018-03-20,2018-11-08,163,0.048281131433858926,-0.09114552828471978,-0.05835989781084905,-0.05631946191038828,True,True
2,CREDIT_UNLOCK_TRAILING_DD_REPAIR,2018-03-20,2018-04-30,28,-0.014529293025239975,0.004035652088519637,0.030622475147395134,-0.01591262363618906,False,False
2,CREDIT_UNLOCK_HYBRID_STRICT,2018-03-20,2018-11-08,163,0.048281131433858926,-0.09114552828471978,-0.05835989781084905,-0.05631946191038828,True,True
2,CREDIT_UNLOCK_RATE_SHOCK_STRICT,2018-03-20,2018-11-08,163,0.048281131433858926,-0.09114552828471978,-0.05835989781084905,-0.05631946191038828,True,True
2,CREDIT_RELOCK_FAST,2018-03-20,2018-04-30,28,-0.014529293025239975,0.004035652088519637,0.030622475147395134,-0.01591262363618906,True,False
2,CREDIT_RELOCK_FAST_WITH_VIX,2018-03-20,2018-04-30,28,-0.014529293025239975,0.004035652088519637,0.030622475147395134,-0.01591262363618906,True,False
2,CREDIT_UNLOCK_MA50_PLUS_RELOCK_FAST,2018-03-20,2018-05-10,36,-0.003660187846275309,-0.005324665636574855,0.024042431314956758,-0.015912623636189283,True,False
2,CREDIT_UNLOCK_HYBRID_PLUS_RELOCK_FAST,2018-03-20,2018-11-08,163,0.048281131433858926,-0.09114552828471978,-0.05835989781084905,-0.05631946191038828,True,True
3,FINAL_BASELINE,2018-11-27,2019-01-08,27,-0.04349359184932744,0.04992422573710753,0.05206996782040019,-0.013510623931932142,True,True
3,CREDIT_UNLOCK_2D_CONFIRM,2018-11-27,2019-01-08,27,-0.04349359184932744,0.04992422573710753,0.05206996782040019,-0.013510623931932142,True,True
3,CREDIT_UNLOCK_3D_CONFIRM,2018-11-27,2019-01-08,27,-0.04349359184932744,0.04992422573710753,0.05206996782040019,-0.013510623931932142,True,True
3,CREDIT_UNLOCK_MA50,2018-11-27,2019-01-08,27,-0.04349359184932744,0.04992422573710753,0.05206996782040019,-0.013510623931932142,True,True
3,CREDIT_UNLOCK_MA20_MA50,2018-11-27,2019-01-08,27,-0.04349359184932744,0.04992422573710753,0.05206996782040019,-0.013510623931932142,True,True
3,CREDIT_UNLOCK_LEVEL_CONFIRM,2018-11-27,2019-01-08,27,-0.04349359184932744,0.04992422573710753,0.05206996782040019,-0.013510623931932142,True,True
3,CREDIT_UNLOCK_ZSCORE_CONFIRM,2018-11-27,2019-01-08,27,-0.04349359184932744,0.04992422573710753,0.05206996782040019,-0.013510623931932142,True,True
3,CREDIT_UNLOCK_COOLDOWN_10D,2018-11-27,2019-01-08,27,-0.04349359184932744,0.04992422573710753,0.05206996782040019,-0.013510623931932142,True,True
3,CREDIT_UNLOCK_COOLDOWN_21D,2018-11-27,2019-01-08,27,-0.04349359184932744,0.04992422573710753,0.05206996782040019,-0.013510623931932142,True,True
3,CREDIT_UNLOCK_TRAILING_DD_REPAIR,2018-11-27,2019-01-08,27,-0.04349359184932744,0.04992422573710753,0.05206996782040019,-0.013510623931932142,True,True
3,CREDIT_UNLOCK_HYBRID_STRICT,2018-11-27,2019-01-08,27,-0.04349359184932744,0.04992422573710753,0.05206996782040019,-0.013510623931932142,True,True
3,CREDIT_UNLOCK_RATE_SHOCK_STRICT,2018-11-27,2019-01-08,27,-0.04349359184932744,0.04992422573710753,0.05206996782040019,-0.013510623931932142,True,True
3,CREDIT_RELOCK_FAST,2018-11-27,2019-01-08,27,-0.04349359184932744,0.04992422573710753,0.05206996782040019,-0.013510623931932142,True,True
3,CREDIT_RELOCK_FAST_WITH_VIX,2018-11-27,2019-01-08,27,-0.04349359184932744,0.04992422573710753,0.05206996782040019,-0.013510623931932142,True,True
3,CREDIT_UNLOCK_MA50_PLUS_RELOCK_FAST,2018-11-27,2019-01-08,27,-0.04349359184932744,0.04992422573710753,0.05206996782040019,-0.013510623931932142,True,True
3,CREDIT_UNLOCK_HYBRID_PLUS_RELOCK_FAST,2018-11-13,2019-01-08,36,-0.06128522165424766,0.057157798491692446,0.05206996782040019,-0.013510623931932142,True,True
4,FINAL_BASELINE,2019-01-28,2019-02-19,15,0.043607723738566806,0.014778102686765937,0.01777959784289629,-0.021253639218935638,False,False
4,CREDIT_UNLOCK_2D_CONFIRM,2019-01-28,2019-02-20,16,0.04541369416297658,0.030227398794484994,0.027205264487157432,-0.021253639218935527,False,False
4,CREDIT_UNLOCK_3D_CONFIRM,2019-01-28,2019-02-21,17,0.047520648989455516,0.028438579293424526,0.011030307081546953,-0.021253639218935416,False,False
4,CREDIT_UNLOCK_MA50,2019-01-28,2019-02-19,15,0.043607723738566806,0.014778102686765937,0.01777959784289629,-0.021253639218935638,False,False
4,CREDIT_UNLOCK_MA20_MA50,2019-01-28,2019-02-19,15,0.043607723738566806,0.014778102686765937,0.01777959784289629,-0.021253639218935638,False,False
4,CREDIT_UNLOCK_LEVEL_CONFIRM,2019-01-28,2019-03-18,34,0.06309419134670491,-0.00010207151692143146,0.027733341204727147,-0.019983887818669666,False,False
4,CREDIT_UNLOCK_ZSCORE_CONFIRM,2019-01-28,2019-03-12,30,0.04763363016122346,-0.006037900069720825,0.03602944815361053,-0.019983887818669666,False,False
4,CREDIT_UNLOCK_COOLDOWN_10D,2019-01-28,2019-03-05,25,0.05124537897405679,-0.011567142078044657,0.03104322019553818,-0.019983887818669666,False,False
4,CREDIT_UNLOCK_COOLDOWN_21D,2019-01-28,2019-04-10,51,0.08576852033456306,0.013293692677512015,-0.0006592317235930567,-0.025066062012743973,False,True
4,CREDIT_UNLOCK_TRAILING_DD_REPAIR,2019-01-28,2019-02-19,15,0.043607723738566806,0.014778102686765937,0.01777959784289629,-0.021253639218935638,False,False
