credit_variant,window,cumulative_return,max_drawdown,Sharpe,time_in_credit_lock,time_in_any_stress,number_credit_entries,number_credit_unlocks,false_recovery_count,missed_rebound_count
DZ_ONLY_15D_2P0,2015_2016,0.06863935220018735,-0.04009484648768891,0.9865598130558724,0,125,0,0,0,0
DZ_ONLY_15D_2P0,2018Q4,-0.04803093035849604,-0.10732773508777682,-1.3226276370537569,28,48,1,1,0,1
DZ_ONLY_15D_2P0,COVID_2020,0.09952957978160759,-0.07826426426464084,1.3404821394882929,24,38,2,2,1,1
DZ_ONLY_15D_2P0,2022_RATE_WAR,-0.16204084864035317,-0.2924207164211865,-0.6340921530067123,85,99,2,2,2,1
DZ_ONLY_15D_2P0,2025_PULLBACK,0.23448333123996834,-0.09864544510693396,1.576279270884767,37,71,3,3,2,1
LEVEL_Z_ENTRY,2008_GFC,0.1827131184975519,-0.09458072038883225,0.7443315620946924,238,326,1,1,1,1
LEVEL_Z_ENTRY,2015_2016,0.06863935220018735,-0.04009484648768891,0.9865598130558724,0,125,0,0,0,0
LEVEL_Z_ENTRY,2018Q4,-0.017683674484254563,-0.03188617981224684,-1.309701965962519,80,80,2,2,1,2
LEVEL_Z_ENTRY,COVID_2020,0.008618423846057821,-0.06674422642405908,0.21311502978138486,63,77,2,2,1,2
LEVEL_Z_ENTRY,2022_RATE_WAR,-0.06642715216912232,-0.14409770296941804,-0.5257327808994985,232,246,1,1,0,1
LEVEL_Z_ENTRY,2025_PULLBACK,0.14823400186070335,-0.1459905702079367,0.9484903367561902,34,83,1,1,0,1
ABS_ENTRY_LEVEL_Z_UNLOCK,2008_GFC,0.1827131184975519,-0.09458072038883225,0.7443315620946924,238,326,1,1,1,1
ABS_ENTRY_LEVEL_Z_UNLOCK,2015_2016,0.06863935220018735,-0.04009484648768891,0.9865598130558724,0,125,0,0,0,0
ABS_ENTRY_LEVEL_Z_UNLOCK,2018Q4,-0.004064350368946035,-0.06413914090077755,-0.14411016529518417,59,59,2,2,1,1
ABS_ENTRY_LEVEL_Z_UNLOCK,COVID_2020,-0.008029959379742269,-0.0844643769365021,-0.13440509653649244,55,69,2,2,2,2
ABS_ENTRY_LEVEL_Z_UNLOCK,2022_RATE_WAR,-0.03140583627150695,-0.1536608192201646,-0.22660369598318741,217,231,1,1,0,1
ABS_ENTRY_LEVEL_Z_UNLOCK,2025_PULLBACK,0.24041161718812987,-0.1459905702079367,1.4114320680744281,0,49,0,0,0,0
ABS_ENTRY_PERCENTILE_UNLOCK,2008_GFC,0.1827131184975519,-0.09458072038883225,0.7443315620946924,238,326,1,1,1,1
ABS_ENTRY_PERCENTILE_UNLOCK,2015_2016,0.06863935220018735,-0.04009484648768891,0.9865598130558724,0,125,0,0,0,0
ABS_ENTRY_PERCENTILE_UNLOCK,2018Q4,-0.004064350368946035,-0.06413914090077755,-0.14411016529518417,59,59,2,2,1,1
ABS_ENTRY_PERCENTILE_UNLOCK,COVID_2020,0.0009836790465698186,-0.048465578405205045,0.035756763777568486,74,88,2,1,2,2
ABS_ENTRY_PERCENTILE_UNLOCK,2022_RATE_WAR,-0.05590248341379489,-0.1536608192201646,-0.40845406933669415,222,236,1,1,0,1
ABS_ENTRY_PERCENTILE_UNLOCK,2025_PULLBACK,0.24041161718812987,-0.1459905702079367,1.4114320680744281,0,49,0,0,0,0
ABS_ENTRY_MA50_UNLOCK,2008_GFC,0.0935864039903096,-0.1922344804013396,0.3355939775031991,105,251,1,1,1,1
ABS_ENTRY_MA50_UNLOCK,2015_2016,0.06863935220018735,-0.04009484648768891,0.9865598130558724,0,125,0,0,0,0
ABS_ENTRY_MA50_UNLOCK,2018Q4,-0.04822149266547515,-0.10651730587748287,-1.3518516849623747,31,51,2,1,1,1
ABS_ENTRY_MA50_UNLOCK,COVID_2020,0.09423755712371307,-0.06989506372506649,1.3412870294717838,28,42,2,2,1,1
ABS_ENTRY_MA50_UNLOCK,2022_RATE_WAR,-0.16456183254566958,-0.29454945501511787,-0.6319550597402706,77,91,2,2,2,1
ABS_ENTRY_MA50_UNLOCK,2025_PULLBACK,0.24041161718812987,-0.1459905702079367,1.4114320680744281,0,49,0,0,0,0
ABS_ENTRY_MA20_MA50_UNLOCK,2008_GFC,0.0935864039903096,-0.1922344804013396,0.3355939775031991,105,251,1,1,1,1
ABS_ENTRY_MA20_MA50_UNLOCK,2015_2016,0.06863935220018735,-0.04009484648768891,0.9865598130558724,0,125,0,0,0,0
ABS_ENTRY_MA20_MA50_UNLOCK,2018Q4,-0.04822149266547515,-0.10651730587748287,-1.3518516849623747,31,51,2,1,1,1
ABS_ENTRY_MA20_MA50_UNLOCK,COVID_2020,0.09423755712371307,-0.06989506372506649,1.3412870294717838,28,42,2,2,1,1
ABS_ENTRY_MA20_MA50_UNLOCK,2022_RATE_WAR,-0.16456183254566958,-0.29454945501511787,-0.6319550597402706,77,91,2,2,2,1
ABS_ENTRY_MA20_MA50_UNLOCK,2025_PULLBACK,0.24041161718812987,-0.1459905702079367,1.4114320680744281,0,49,0,0,0,0
ABS_ENTRY_3D_CONFIRM_UNLOCK,2008_GFC,0.09779197062761091,-0.1891280850515158,0.3504013786481294,107,253,1,1,1,1
ABS_ENTRY_3D_CONFIRM_UNLOCK,2015_2016,0.06863935220018735,-0.04009484648768891,0.9865598130558724,0,125,0,0,0,0
ABS_ENTRY_3D_CONFIRM_UNLOCK,2018Q4,-0.04822149266547515,-0.10651730587748287,-1.3518516849623747,31,51,2,1,1,1
ABS_ENTRY_3D_CONFIRM_UNLOCK,COVID_2020,0.08368980439871287,-0.06989506372506671,1.1930128635601964,30,44,2,2,1,1
ABS_ENTRY_3D_CONFIRM_UNLOCK,2022_RATE_WAR,-0.09177939974343097,-0.23309139757190045,-0.4016848512871291,113,127,1,1,1,1
ABS_ENTRY_3D_CONFIRM_UNLOCK,2025_PULLBACK,0.24041161718812987,-0.1459905702079367,1.4114320680744281,0,49,0,0,0,0
ABS_ENTRY_COOLDOWN_10D_UNLOCK,2008_GFC,0.09976776373412455,-0.18766868729430153,0.36130423085788116,115,261,1,1,1,1
ABS_ENTRY_COOLDOWN_10D_UNLOCK,2015_2016,0.06863935220018735,-0.04009484648768891,0.9865598130558724,0,125,0,0,0,0
ABS_ENTRY_COOLDOWN_10D_UNLOCK,2018Q4,-0.04822149266547515,-0.10651730587748287,-1.3518516849623747,31,51,2,1,1,1
ABS_ENTRY_COOLDOWN_10D_UNLOCK,COVID_2020,0.05883656490843925,-0.08454947607763341,0.8923967911179048,38,52,2,2,1,1
ABS_ENTRY_COOLDOWN_10D_UNLOCK,2022_RATE_WAR,-0.11431308040539112,-0.25211901436361717,-0.5082788772623671,121,135,1,1,1,1
ABS_ENTRY_COOLDOWN_10D_UNLOCK,2025_PULLBACK,0.24041161718812987,-0.1459905702079367,1.4114320680744281,0,49,0,0,0,0
ABS_ENTRY_FAST_RELOCK,2008_GFC,0.1886886682798734,-0.09458072038883225,0.730235877374471,246,299,4,4,4,3
ABS_ENTRY_FAST_RELOCK,2015_2016,0.06863935220018735,-0.04009484648768891,0.9865598130558724,0,125,0,0,0,0
ABS_ENTRY_FAST_RELOCK,2018Q4,-0.07945967966007195,-0.10651730587748287,-2.443596860686886,43,63,2,1,1,1
ABS_ENTRY_FAST_RELOCK,COVID_2020,0.09423755712371307,-0.06989506372506649,1.3412870294717838,28,42,2,2,1,1
ABS_ENTRY_FAST_RELOCK,2022_RATE_WAR,-0.14206975201733063,-0.2755569657027025,-0.6116919788937489,102,116,2,2,2,1
ABS_ENTRY_FAST_RELOCK,2025_PULLBACK,0.24041161718812987,-0.1459905702079367,1.4114320680744281,0,49,0,0,0,0
ABS_ENTRY_FAST_RELOCK_WITH_VIX,2008_GFC,0.1886886682798734,-0.09458072038883225,0.730235877374471,242,299,4,4,4,3
ABS_ENTRY_FAST_RELOCK_WITH_VIX,2015_2016,0.06863935220018735,-0.04009484648768891,0.9865598130558724,0,125,0,0,0,0
ABS_ENTRY_FAST_RELOCK_WITH_VIX,2018Q4,-0.04822149266547515,-0.10651730587748287,-1.3518516849623747,31,51,2,1,1,1
ABS_ENTRY_FAST_RELOCK_WITH_VIX,COVID_2020,0.09423755712371307,-0.06989506372506649,1.3412870294717838,28,42,2,2,1,1
ABS_ENTRY_FAST_RELOCK_WITH_VIX,2022_RATE_WAR,-0.14206975201733063,-0.2755569657027025,-0.6116919788937489,102,116,2,2,2,1
ABS_ENTRY_FAST_RELOCK_WITH_VIX,2025_PULLBACK,0.24041161718812987,-0.1459905702079367,1.4114320680744281,0,49,0,0,0,0
HYBRID_BEST_EFFORT,2008_GFC,0.048813957159874466,-0.08167192115494515,0.30486651696057365,359,362,2,2,1,2
HYBRID_BEST_EFFORT,2015_2016,0.06863935220018735,-0.04009484648768891,0.9865598130558724,0,125,0,0,0,0
HYBRID_BEST_EFFORT,2018Q4,0.015650857840169063,-0.03188617981224684,0.7821889328780798,68,68,2,2,1,1
HYBRID_BEST_EFFORT,COVID_2020,-0.008029959379742269,-0.0844643769365021,-0.13440509653649244,60,69,2,2,2,2
HYBRID_BEST_EFFORT,2022_RATE_WAR,-0.0357625587629945,-0.1202883367537152,-0.2840939879302917,232,246,1,1,0,1
HYBRID_BEST_EFFORT,2025_PULLBACK,0.21951985148840159,-0.08617465944611524,1.530299157292751,58,87,3,3,2,2
