strategy,credit_variant,CAGR,Sharpe,Sortino,MaxDD,Calmar,Final Equity,annualized_vol,turnover,transaction_cost_drag,total_time_in_stress,time_in_credit_lock,time_in_vix_lock,time_in_cmdty_lock,number_credit_entries,number_credit_unlocks,avg_credit_lock_duration,false_recovery_count,missed_rebound_count,relock_count
SPY_BUY_HOLD,SPY_BUY_HOLD,0.11138490180956961,0.5752440542564119,0.7016046436312886,-0.551894409358084,0.20182284857555077,8.384514463464857,0.19363068768012054,1.0,0.0005,0,0,0,0,0,0,,0,0,0
SPY_CASH_FINAL_LOCKS,SPY_CASH_FINAL_LOCKS,0.1203935416968398,0.9482196052541987,1.100620170931085,-0.29454945501511776,0.40873795434678567,9.86445389258892,0.12696799457607155,141.0,0.07050000000000001,1029,273,296,526,8,8,34.125,5,4,2
SPY_CASH_NO_CREDIT,SPY_CASH_NO_CREDIT,0.11840226504769569,0.8669362271526974,1.0474994751196924,-0.2765381751334878,0.4281588427729434,9.517384987731297,0.13657551886667318,117.0,0.0585,773,0,316,534,0,0,,0,0,0
SPY_CASH_CREDIT_ONLY,SPY_CASH_CREDIT_ONLY,0.10707397249240924,0.5925001261635718,0.6961267031925908,-0.5389322447878623,0.19867798508615186,7.753417163744088,0.18071552690749854,25.0,0.0125,294,294,0,0,6,6,49.0,3,4,0
BASELINE_ABS,BASELINE_ABS,0.1203935416968398,0.9482196052541987,1.100620170931085,-0.29454945501511776,0.40873795434678567,9.86445389258892,0.12696799457607155,141.0,0.07050000000000001,1029,280,316,534,8,8,35.0,5,4,2
ABS_20D,ABS_20D,0.124336459868859,1.010720373666327,1.169722312423953,-0.23719401813291752,0.5241972830831847,10.587485859927279,0.12301766453745856,141.0,0.07050000000000001,1116,372,316,534,9,9,41.333333333333336,4,4,2
ABS_OR_DZ_15D,ABS_OR_DZ_15D,0.11654663026282353,0.9313480496042208,1.0786946193880746,-0.335954059149167,0.3469124039101895,9.204429613413744,0.12513756840136228,145.0,0.07250000000000001,1069,345,316,534,11,11,31.363636363636363,7,5,4
DZ_ONLY_15D_1P5,DZ_ONLY_15D_1P5,0.118594880229975,0.9446255956872848,1.0945208583247044,-0.33595405914916776,0.3530092195650995,9.550442928564745,0.12554696884291863,145.0,0.07250000000000001,1056,332,316,534,11,11,30.181818181818183,7,5,4
DZ_ONLY_15D_2P0,DZ_ONLY_15D_2P0,0.12252197842356671,0.9714146679755131,1.1306834698483648,-0.29242071642118683,0.41899212861202606,10.248714191591537,0.1261273712068914,141.0,0.07050000000000001,1036,302,316,534,10,10,30.2,6,5,3
LEVEL_Z_ENTRY,LEVEL_Z_ENTRY,0.1165068017343871,1.0347138328994507,1.1325864131617676,-0.18783440940318108,0.6202633591181297,9.197820914167998,0.11259809043812094,133.0,0.0665,1503,832,316,534,8,8,104.0,4,8,3
ABS_ENTRY_LEVEL_Z_UNLOCK,ABS_ENTRY_LEVEL_Z_UNLOCK,0.1251096243410743,1.0854279582402886,1.1959608802624695,-0.18783440940318108,0.6660633945537111,10.735049086169228,0.11526294618751468,129.0,0.0645,1401,730,316,534,7,7,104.28571428571429,5,6,3
ABS_ENTRY_PERCENTILE_UNLOCK,ABS_ENTRY_PERCENTILE_UNLOCK,0.12111883085183606,1.0672091264259385,1.1815677148565,-0.18783440940318108,0.6448170558135492,9.993830440986754,0.1134911872965897,129.0,0.0645,1446,775,316,534,7,7,110.71428571428571,5,6,3
ABS_ENTRY_MA50_UNLOCK,ABS_ENTRY_MA50_UNLOCK,0.11981620332836607,0.9442671202807722,1.0945837523831263,-0.29454945501511687,0.4067778815690454,9.762608106046802,0.12688803915224692,141.0,0.07050000000000001,1037,288,316,534,8,8,36.0,5,4,2
ABS_ENTRY_MA20_MA50_UNLOCK,ABS_ENTRY_MA20_MA50_UNLOCK,0.11981620332836607,0.9442671202807722,1.0945837523831263,-0.29454945501511687,0.4067778815690454,9.762608106046802,0.12688803915224692,141.0,0.07050000000000001,1037,288,316,534,8,8,36.0,5,4,2
ABS_ENTRY_3D_CONFIRM_UNLOCK,ABS_ENTRY_3D_CONFIRM_UNLOCK,0.12465953521026107,1.002358611802057,1.1663613041565792,-0.2330913975719009,0.534809677700816,10.648910790213451,0.12436620361463856,137.0,0.0685,1076,327,316,534,7,7,46.714285714285715,4,4,2
ABS_ENTRY_COOLDOWN_10D_UNLOCK,ABS_ENTRY_COOLDOWN_10D_UNLOCK,0.11715084059514291,0.9514441098786892,1.0897859700678512,-0.2521190143636175,0.46466483652907925,9.30524065826995,0.12312950322439839,137.0,0.0685,1190,441,316,534,7,7,63.0,5,5,2
ABS_ENTRY_FAST_RELOCK,ABS_ENTRY_FAST_RELOCK,0.12320112657654181,1.0002667654432282,1.157265505199338,-0.2755569657027035,0.44709857456284613,10.374289660166236,0.1231682695385267,149.0,0.07450000000000001,1132,476,316,534,12,12,39.666666666666664,9,6,7
ABS_ENTRY_FAST_RELOCK_WITH_VIX,ABS_ENTRY_FAST_RELOCK_WITH_VIX,0.12257705694955501,0.9951510773216973,1.1496422647849482,-0.27555696570270305,0.4448338173450594,10.258844219689085,0.1231743197017413,153.0,0.07650000000000001,1144,484,316,534,13,13,37.23076923076923,11,6,8
HYBRID_BEST_EFFORT,HYBRID_BEST_EFFORT,0.11831066763058606,1.0821636063338453,1.1727036703558342,-0.1878344094031804,0.6298668492450501,9.501702589396757,0.10932789361804453,133.0,0.0665,1499,938,316,534,11,11,85.27272727272727,7,9,6
