date,strategy_return,spy_return,strategy_nav,spy_nav,strategy_drawdown,spy_drawdown
2024-12-11,0.010679181750569583,0.0077306637810579115,1.0106791817505696,1.007730663781058,0.0,0.0
2024-12-12,-0.008208937863820947,-0.005152593115945736,1.0023825791473218,1.0025382377001322,-0.008208937863820931,-0.005152593115945736
2024-12-13,-0.005271525622750589,-0.00019862181953211877,0.9970984936975479,1.0023391117312097,-0.013437189860286747,-0.005350191518057823
2024-12-16,-0.0011649019514494978,0.004269983555946322,0.9959369717164522,1.0066190832557838,-0.014586438803046109,-0.0011030531919148379
2024-12-17,-0.007055686172202046,-0.004120052972255928,0.9889099529967277,1.0024717593098862,-0.021539207640683733,-0.0052185615265889496
2024-12-18,-0.010037933600889401,-0.029803576519657926,0.9789833405512878,0.9725945155224979,-0.031360932105460315,-0.0348666062484666
2024-12-19,-0.0022091577361629464,-0.0003069993520904424,0.9768206119309343,0.9722959296363858,-0.03350080859584914,-0.035162901575029104
2024-12-20,0.00788760554706671,0.012010996856451017,0.9845253876080898,0.9839741729907885,-0.02587744421249427,-0.023574246218859507
2024-12-23,-0.0035543592721309332,0.005988323763746806,0.9810260306679968,0.9898665289138223,-0.02933982575084948,-0.017727092673957556
2024-12-24,0.004646043617156969,0.011114857203426531,0.9855839203960466,1.000868754033151,-0.024830096243850797,-0.006809269574234
2024-12-26,0.002977308752342945,6.672962043419162e-05,0.9885183080284103,1.000935541625212,-0.021926714354375987,-0.006742994333774011
2024-12-27,-0.0025026796720052456,-0.010526616031051095,0.9860443633535027,0.9903990775066912,-0.024374518484092667,-0.017198629452573888
2024-12-30,0.002997517446665531,-0.011411505727450755,0.9890000485358409,0.9790971327612616,-0.02145006408183736,-0.02841387292152231
2024-12-31,0.0048697119841200716,-0.0036379453309209886,0.9938161939244913,0.9755352309186147,-0.01668480773183667,-0.031948450136115025
2025-01-02,0.012478652373795062,-0.002457149123817226,1.006217680731923,0.9731381953807102,-0.00441435927365097,-0.03432709715367288
2025-01-03,-0.005951573741804979,0.01250336668616514,1.000229102004739,0.9853056990738682,-0.010339660630716008,-0.022252934750491837
2025-01-06,0.0013160434739456508,0.00576066668960995,1.0015454469868827,0.9909817167936059,-0.009037224599666271,-0.016620459800845033
2025-01-07,0.004247440747487084,-0.011304119376359778,1.0057994519288749,0.979779541167181,-0.004828168928188159,-0.027736699515526153
2025-01-08,0.0009113476587107355,0.0014610443232185855,1.006716084904523,0.9812110425038091,-0.003921221409925901,-0.02631617973967948
2025-01-10,0.0020884380174469946,0.0,1.008818549049013,0.9812110425038091,-0.0018409726203462151,-0.02631617973967948
2025-01-13,0.010013746830341518,0.0015505471876331445,1.0189206025969424,0.982732456526238,0.0,-0.02480643703053087
2025-01-14,-0.00011194362047470133,0.0013759292368293874,1.0188065409357114,0.9840846268451536,-0.00011194362047473039,-0.02346463969567336
2025-01-15,0.012514347246099464,0.018189978739041157,1.0315562397655784,1.0019851052848843,0.0,-0.005701482253815726
2025-01-16,0.0009871884700530936,-0.0019231741492636845,1.0325745801916864,1.000058113432453,0.0,-0.007613691459796401
2025-01-17,-0.00833498975865626,0.01004005829515453,1.02396808164074,1.0100987551898573,-0.008334989758656208,0.0
2025-01-21,0.006013744524904334,0.009153272551911895,1.030125964085384,1.019344464400457,-0.0023713697327779615,0.0
2025-01-22,0.001587396308032555,0.00562167397124913,1.0317611822375816,1.025074886643714,-0.0007877377283040943,0.0
2025-01-23,-0.001926849241438701,0.005458021479211039,1.0297731339862413,1.0306697673928154,-0.002713069117898481,0.0
2025-01-24,0.0032910416723057373,-0.0029192782547332596,1.0331621602832108,1.0276609555530545,0.0,-0.0029192782547332596
2025-01-27,-0.011696065012579172,-0.014145469544892042,1.0210782284880018,1.0131242088038042,-0.011696065012579027,-0.017023453237979824
2025-01-28,0.005586828776045447,0.00859244878591836,1.026782817717512,1.021829426681725,-0.00617458014911243,-0.00857727760216831
2025-01-29,-0.0026092297180532547,-0.0044828171819780716,1.024103705475537,1.0172487521707454,-0.008767698969144089,-0.0130216444167367
2025-01-30,0.008372955116058452,0.005366872073857998,1.032678479835673,1.0227081960909374,-0.00046815540302536096,-0.007724657842654636
2025-01-31,-0.0005523058845133982,-0.005321847914745659,1.0321081254344493,1.0172654986101777,-0.0010202027225547639,-0.013005396303168104
2025-02-03,0.006571500820527738,-0.006729649028744955,1.0388906248276153,1.01041965883548,0.0,-0.019647523579313098
2025-02-04,0.006829045872777495,0.0067084311270706465,1.0459852565613617,1.017197989526216,0.0,-0.013070896510991692
2025-02-05,-0.0005625770475716479,0.004054500120593607,1.0453968092639219,1.0213222188974176,-0.0005625770475716774,-0.009069392341878202
2025-02-06,-0.002696638012950673,0.003475614030269414,1.0425777524894433,1.0248719407308433,-0.0032576979938707673,-0.005625300018878288
2025-02-07,0.0019058669214536638,-0.009153685448068716,1.0445647669409563,1.0154905853608414,-0.0013580398112638115,-0.014727493240023204
