reference_strategy,source_only_strategy,daily_return_max_abs_diff,daily_return_mean_abs_diff,reference_final_nav,source_only_final_nav,final_nav_diff
SPY_BUY_HOLD,SPY_BUY_HOLD,0.0,0.0,8.384514463464857,8.384514463464857,0.0
FLAT_RATE_REFINED_L50_H30,FLAT_RATE_REFINED_L50_H30,9.996344030316351e-17,2.8827347487798696e-17,30.084755040685597,30.084755040685593,-3.552713678800501e-15
