strategy_id,window,cumulative_return,max_drawdown,Sharpe,time_in_credit_lock,number_credit_entries,number_credit_unlocks,false_recovery_count,missed_rebound_count,avg_weight_SPY,avg_weight_GOLD,avg_weight_IEF,avg_weight_CASH,avg_weight_CMDTY_FUT
CW15_ABS05_ZW252_UZ1P5,2008_GFC,0.5814522559396489,-0.14072698266411143,1.74272549506067,116,1,1,1,1,0.5549999163076692,0.33059768223251174,0.7387832699619772,0.09999999999999999,0.4438571281912741
CW15_ABS05_ZW252_UZ1P5,2011_EURO_DEBT,0.019120574802459656,-0.12478603999535476,0.16368717381065512,0,0,0,0,0,1.0,0.30000000000000004,0.7,,
CW15_ABS05_ZW252_UZ1P5,2015_2016,0.147791812599936,-0.06357779582701362,1.6182198939594874,0,0,0,0,0,0.8328537400730626,0.3,0.7,,0.41203496633152
CW15_ABS05_ZW252_UZ1P5,2018Q4,0.09533271870402582,-0.04569042248481847,3.704550780779263,50,3,2,2,2,0.49508612121232815,0.8999945323820354,0.9000000000000001,0.09999999999999999,0.3946877551265817
CW15_ABS05_ZW252_UZ1P5,COVID_2020,0.1901155299673074,-0.15383533620823908,2.019851298250896,44,3,2,2,1,0.5312940383184089,1.0,,,0.46870596168159107
CW15_ABS05_ZW252_UZ1P5,2022_RATE_WAR,0.057994523068183756,-0.16905122540885398,0.283471362340152,119,1,1,1,1,0.4893162920482251,0.7204343140383593,0.8034482758620689,0.1,0.39265234628180323
CW15_ABS05_ZW252_UZ1P5,2025_PULLBACK,0.593964801173676,-0.08797658983502676,2.6216717041705917,27,4,4,2,1,,0.4522739422119501,0.9000000000000001,0.1,0.5477260577880497
CW15_ABS05_ZW504_UZ0P5,2008_GFC,0.6520176774148769,-0.10238566543315253,1.9869897834244183,248,1,1,1,1,0.5337118878049483,0.3233867634898179,0.7302670623145401,0.09999999999999999,0.4586005076059721
CW15_ABS05_ZW504_UZ0P5,2011_EURO_DEBT,0.019120574802459656,-0.12478603999535476,0.16368717381065512,0,0,0,0,0,1.0,0.30000000000000004,0.7,,
CW15_ABS05_ZW504_UZ0P5,2015_2016,0.147791812599936,-0.06357779582701362,1.6182198939594874,0,0,0,0,0,0.8328537400730626,0.3,0.7,,0.41203496633152
CW15_ABS05_ZW504_UZ0P5,2018Q4,0.0830366529316795,-0.043022277196462455,3.277032391880694,74,2,2,2,2,0.49508612121232815,0.9511293976854244,0.9000000000000001,0.09999999999999999,0.4336957161182547
CW15_ABS05_ZW504_UZ0P5,COVID_2020,0.07259946882452217,-0.15383533620823908,0.775305909573668,71,3,2,2,2,0.555479772380822,1.0,,,0.44452022761917787
CW15_ABS05_ZW504_UZ0P5,2022_RATE_WAR,0.022923587499497078,-0.19659593409983278,0.10603800089006718,258,2,1,2,2,0.5021589504712435,0.6944282037163463,0.8034482758620689,0.1,0.3817168728779299
CW15_ABS05_ZW504_UZ0P5,2025_PULLBACK,0.593964801173676,-0.08797658983502676,2.6216717041705917,27,4,4,2,1,,0.4522739422119501,0.9000000000000001,0.1,0.5477260577880497
