strategy_id,credit_change_window,credit_abs_threshold,credit_level_z_window,unlock_z_threshold,CAGR,Sharpe,Sortino,MaxDD,Calmar,Final_Equity,annualized_vol,turnover,transaction_cost_drag,time_in_credit_lock,number_credit_entries,number_credit_unlocks,avg_credit_lock_duration,false_recovery_count,missed_rebound_count,relock_within_21d_count,relock_within_63d_count,avg_weight_SPY,avg_weight_GOLD,avg_weight_IEF,avg_weight_CASH,avg_weight_CMDTY_FUT,rank_sharpe,rank_calmar,rank_maxdd,rank_final_equity,rank_false_recovery,rank_missed_rebound,composite_score,rank_composite,materially_better
CW20_ABS10_ZW504_UZ0P5,20,0.1,504,0.5,0.1900176809633305,1.4313739821271732,1.9342971887971978,-0.20009256282454935,0.9496488938969062,33.20947393097367,0.13275194556837208,16.15005352714303,0.008075026763571514,795,10,10,79.5,7,7,2,3,0.7269400240449694,0.48597453912345695,0.7353457738748628,0.1,0.4259778181661143,58.0,69.0,66.0,53.0,45.0,45.0,0.6984756097560976,68.0,False
CW20_ABS10_ZW504_UZ1P0,20,0.1,504,1.0,0.18951220072322927,1.4227986277628923,1.9088138062252609,-0.20009256282454935,0.9471226618722584,32.92659624816326,0.1331967834557198,16.176930559245314,0.008088465279622658,650,10,10,65.0,6,7,2,3,0.7256400667889613,0.48172639481869217,0.7353457738748628,0.1,0.42677132972885945,62.0,70.0,66.0,57.0,31.0,45.0,0.7,69.0,False
CW20_ABS10_ZW504_UZ1P5,20,0.1,504,1.5,0.19320525906145058,1.4510361676460966,1.9458132387481295,-0.20009256282454957,0.9655794115189674,35.04722485776863,0.13314985757720463,15.923333229145733,0.007961666614572866,501,10,10,50.1,7,6,2,3,0.7238464736891425,0.47565964693195445,0.7353457738748628,0.1,0.4278502085612194,42.0,66.0,68.0,42.0,45.0,28.0,0.598780487804878,49.0,False
CW20_ABS15_ZW126_UZ0P5,20,0.15,126,0.5,0.19704139582772462,1.4740702599502686,1.9833933037510116,-0.1690512254088543,1.1655721237818621,37.38711256930038,0.13367164454859315,16.194116192855176,0.008097058096427589,308,5,5,61.6,4,5,1,1,0.7164853760803607,0.4700485634125744,0.7361445783132532,0.1,0.43204905280309697,22.0,13.0,40.0,18.0,12.0,11.0,0.3076219512195122,16.0,False
CW20_ABS15_ZW126_UZ1P0,20,0.15,126,1.0,0.20379386617736017,1.5193778337599273,2.050234473925961,-0.1690512254088543,1.2055154624551225,41.87074282323975,0.13412981396012724,16.22094984735532,0.00811047492367766,276,5,5,55.2,3,4,1,1,0.7152168894489976,0.4674428629517289,0.7365408038976858,0.1,0.43263833018479114,4.0,4.0,40.0,5.0,1.0,1.0,0.17256097560975614,7.0,False
CW20_ABS15_ZW126_UZ1P5,20,0.15,126,1.5,0.2082192959239184,1.5473311855047955,2.094734069437646,-0.16905122540885287,1.2316935024891833,45.08151542061053,0.1345667287484998,16.322190509168003,0.008161095254584002,265,5,5,53.0,3,4,1,1,0.7146401222253219,0.4656245536521134,0.7365853658536586,0.1,0.43302289198491206,1.0,1.0,2.0,2.0,1.0,1.0,0.03231707317073171,1.0,True
CW20_ABS15_ZW252_UZ0P5,20,0.15,252,0.5,0.19632778639439108,1.4730126868191695,1.9805366398061326,-0.1690512254088542,1.1613508622582764,36.94089353902983,0.133283160526161,16.059324256341785,0.008029662128170894,549,5,5,109.8,3,5,1,1,0.7197864479973625,0.46702831086829266,0.7333333333333333,0.1,0.4321752790660178,24.0,18.0,33.0,25.0,1.0,11.0,0.29268292682926833,14.0,False
CW20_ABS15_ZW252_UZ1P0,20,0.15,252,1.0,0.20029108667702822,1.5034901990988128,2.0233235220039076,-0.16905122540885353,1.184795237021326,39.48471584571566,0.13321742090309738,16.078465018857738,0.00803923250942887,517,5,5,103.4,4,5,1,1,0.7192477525128713,0.46498974512150754,0.7333333333333333,0.1,0.4324562984429932,10.0,8.0,10.0,9.0,12.0,11.0,0.14878048780487804,6.0,False
CW20_ABS15_ZW252_UZ1P5,20,0.15,252,1.5,0.20232357021212977,1.5083244157578013,2.0355228889686305,-0.1690512254088533,1.1968181225708758,40.852981169012104,0.13413796667242825,16.22094984735532,0.00811047492367766,282,5,5,56.4,3,4,1,1,0.7154618818798166,0.4670732319076853,0.736319612590799,0.1,0.432566268283267,8.0,6.0,6.0,7.0,1.0,1.0,0.08536585365853659,3.0,False
CW20_ABS15_ZW504_UZ0P5,20,0.15,504,0.5,0.19505768919379673,1.454888105265246,1.9592346192347796,-0.2188000547335548,0.8914883016429292,36.15919609988605,0.13407057799694846,16.439971638547803,0.008219985819273901,615,6,6,102.5,4,6,1,1,0.7185218925965954,0.45734373272043893,0.7305084745762712,0.1,0.4295055258698038,39.0,76.0,76.0,31.0,12.0,28.0,0.5259146341463415,39.0,False
CW20_ABS15_ZW504_UZ1P0,20,0.15,504,1.0,0.19425641610640287,1.4441891500925441,1.9308766313848644,-0.21880005473355457,0.8878261769310803,35.674156958744526,0.13450898457030705,16.439971638547803,0.008219985819273901,483,6,6,80.5,4,6,1,1,0.7181151725290743,0.4557071132155027,0.7305084745762712,0.1,0.4297189457482122,50.0,77.0,75.0,37.0,12.0,28.0,0.5777439024390244,45.0,False
CW20_ABS15_ZW504_UZ1P5,20,0.15,504,1.5,0.1965189747564524,1.4614978004381995,1.9541545618048672,-0.21880005473355346,0.8981669359990146,37.0599444578447,0.13446409204141826,16.459112401063756,0.008229556200531877,358,6,6,59.666666666666664,5,6,1,1,0.717701965127047,0.4540605919503811,0.7305084745762712,0.1,0.4299459041873975,33.0,75.0,74.0,23.0,24.0,28.0,0.4957317073170731,38.0,False
CW30_ABS05_ZW126_UZ0P5,30,0.05,126,0.5,0.1901052099080791,1.4450105814756784,1.9489777126305348,-0.1690512254088542,1.1245420401319504,33.25869101090516,0.1315597355099914,15.196284811041439,0.007598142405520719,574,13,13,44.15384615384615,9,9,5,6,0.7269538109263015,0.5026890432435556,0.7471910112359551,0.1,0.4225856242842003,49.0,34.0,33.0,52.0,60.0,65.0,0.6167682926829268,51.0,False
CW30_ABS05_ZW126_UZ1P0,30,0.05,126,1.0,0.1979484251547028,1.4997164888284713,2.027967940799963,-0.16905122540885376,1.1709375349155888,37.96167263501421,0.13199056396941633,15.223118465541583,0.007611559232770791,537,13,13,41.30769230769231,8,8,5,6,0.7254242519822819,0.49997202792760287,0.7469783352337515,0.1,0.42379667764570433,12.0,12.0,21.0,16.0,56.0,59.0,0.33170731707317075,19.0,False
CW30_ABS05_ZW126_UZ1P5,30,0.05,126,1.5,0.19986793216816134,1.5128771121100342,2.0480025585661195,-0.16905122540885276,1.1822921229040366,39.20537970308846,0.13211114806899438,15.738831149863493,0.007869415574931746,507,14,14,36.214285714285715,9,6,6,7,0.7242677674183736,0.4965042376909482,0.7448554913294798,0.09999999999999999,0.4249517326851171,6.0,11.0,1.0,13.0,60.0,28.0,0.21310975609756097,10.0,False
CW30_ABS05_ZW252_UZ0P5,30,0.05,252,0.5,0.18484638981739598,1.4079491617725866,1.898673450614178,-0.1690512254088543,1.0934341905557958,30.42142284112966,0.13128768767806728,15.106272425204818,0.007553136212602409,888,12,12,74.0,7,9,5,5,0.7336230901245836,0.508882913641339,0.7458376156217883,0.1,0.42218661356863346,70.0,51.0,40.0,72.0,45.0,65.0,0.7396341463414634,72.0,False
CW30_ABS05_ZW252_UZ1P0,30,0.05,252,1.0,0.19061355325609952,1.4521856370563344,1.9594405498661862,-0.1690512254088542,1.1275490774769383,33.54590304472337,0.13125977037101427,15.059046341834717,0.007529523170917358,800,13,13,61.53846153846154,9,9,5,6,0.731211931233373,0.5010664590046872,0.7430962343096235,0.1,0.42260363460199196,40.0,33.0,33.0,51.0,60.0,65.0,0.5814024390243903,47.0,False
CW30_ABS05_ZW252_UZ1P5,30,0.05,252,1.5,0.19670481745303725,1.488717698200281,2.015111496997345,-0.16905122540885453,1.1635811392511461,37.176016089126584,0.13213036809519682,15.335163226008811,0.007667581613004406,534,13,13,41.07692307692308,8,7,5,6,0.7256948229903997,0.4994548448327038,0.745308924485126,0.1,0.42417533397904617,15.0,15.0,47.0,21.0,56.0,45.0,0.4173780487804878,28.0,False
CW30_ABS05_ZW504_UZ0P5,30,0.05,504,0.5,0.18759207610548723,1.4322754556006987,1.9497402229151213,-0.16905122540885387,1.1096759319655443,31.872782763293657,0.13097485918084856,15.474390106346704,0.007737195053173352,1015,13,13,78.07692307692308,9,7,6,6,0.734431367774445,0.5116259260908623,0.7430962343096235,0.1,0.4226131393867977,57.0,40.0,25.0,63.0,60.0,45.0,0.6182926829268292,52.0,False
