ranking,strategy_id,credit_change_window,credit_abs_threshold,credit_level_z_window,unlock_z_threshold,CAGR,Sharpe,Sortino,MaxDD,Calmar,Final_Equity,annualized_vol,turnover,transaction_cost_drag,time_in_credit_lock,number_credit_entries,number_credit_unlocks,avg_credit_lock_duration,false_recovery_count,missed_rebound_count,relock_within_21d_count,relock_within_63d_count,avg_weight_SPY,avg_weight_GOLD,avg_weight_IEF,avg_weight_CASH,avg_weight_CMDTY_FUT,rank_sharpe,rank_calmar,rank_maxdd,rank_final_equity,rank_false_recovery,rank_missed_rebound,composite_score,rank_composite,materially_better
top_sharpe,CW20_ABS15_ZW126_UZ1P5,20,0.15,126,1.5,0.2082192959239184,1.5473311855047955,2.094734069437646,-0.16905122540885287,1.2316935024891833,45.08151542061053,0.1345667287484998,16.322190509168003,0.008161095254584002,265,5,5,53.0,3,4,1,1,0.7146401222253219,0.4656245536521134,0.7365853658536586,0.1,0.43302289198491206,1.0,1.0,2.0,2.0,1.0,1.0,0.03231707317073171,1.0,True
top_sharpe,CW20_ABS10_ZW126_UZ1P5,20,0.1,126,1.5,0.20661015808594563,1.5457387852885285,2.091807431288635,-0.16905122540885376,1.222174862005613,43.88788094460236,0.13366434228884258,16.0954645608019,0.008047732280400951,352,9,9,39.111111111111114,5,4,2,2,0.718674503765463,0.4797124947725727,0.738748495788207,0.1,0.4304169460652955,2.0,2.0,21.0,3.0,24.0,1.0,0.13932926829268294,5.0,False
top_sharpe,CW20_ABS05_ZW126_UZ1P5,20,0.05,126,1.5,0.20419211068517829,1.5360869440211664,2.0802968501813437,-0.16905122540885364,1.207871224780156,42.15053362808034,0.13293004766425814,15.856438230767228,0.007928219115383614,492,17,17,28.941176470588236,13,5,6,9,0.7225855200957115,0.4922798147105011,0.7440046565774157,0.09999999999999999,0.4266928990117337,3.0,3.0,14.0,4.0,73.0,11.0,0.23201219512195123,11.0,False
top_sharpe,CW20_ABS15_ZW126_UZ1P0,20,0.15,126,1.0,0.20379386617736017,1.5193778337599273,2.050234473925961,-0.1690512254088543,1.2055154624551225,41.87074282323975,0.13412981396012724,16.22094984735532,0.00811047492367766,276,5,5,55.2,3,4,1,1,0.7152168894489976,0.4674428629517289,0.7365408038976858,0.1,0.43263833018479114,4.0,4.0,40.0,5.0,1.0,1.0,0.17256097560975614,7.0,False
top_sharpe,CW15_ABS15_ZW126_UZ1P0,15,0.15,126,1.0,0.20343571181929976,1.5168166198660482,2.046689800564756,-0.16905122540885298,1.2033968480694972,41.62062598136758,0.1341201758702152,16.22094984735532,0.00811047492367766,278,5,5,55.6,3,4,1,1,0.7152168894489976,0.46736046306599965,0.7367396593673966,0.1,0.43268316769649096,5.0,5.0,3.0,6.0,1.0,1.0,0.06128048780487804,2.0,False
top_sharpe,CW30_ABS05_ZW126_UZ1P5,30,0.05,126,1.5,0.19986793216816134,1.5128771121100342,2.0480025585661195,-0.16905122540885276,1.1822921229040366,39.20537970308846,0.13211114806899438,15.738831149863493,0.007869415574931746,507,14,14,36.214285714285715,9,6,6,7,0.7242677674183736,0.4965042376909482,0.7448554913294798,0.09999999999999999,0.4249517326851171,6.0,11.0,1.0,13.0,60.0,28.0,0.21310975609756097,10.0,False
top_sharpe,BASELINE_ABS,15,0.1,252,,0.20931621042599757,1.5122993275509682,1.997268456533624,-0.21900496327357288,0.9557601220412869,45.91280448972686,0.13840924651138092,16.11300970833733,0.008056504854168665,203,11,11,18.454545454545453,7,4,3,4,0.7135866877979486,0.47438726864713854,0.7346883468834688,0.10000000000000002,0.4312775406311398,7.0,68.0,77.0,1.0,45.0,1.0,0.36250000000000004,23.0,False
top_sharpe,CW20_ABS15_ZW252_UZ1P5,20,0.15,252,1.5,0.20232357021212977,1.5083244157578013,2.0355228889686305,-0.1690512254088533,1.1968181225708758,40.852981169012104,0.13413796667242825,16.22094984735532,0.00811047492367766,282,5,5,56.4,3,4,1,1,0.7154618818798166,0.4670732319076853,0.736319612590799,0.1,0.432566268283267,8.0,6.0,6.0,7.0,1.0,1.0,0.08536585365853659,3.0,False
top_sharpe,CW15_ABS15_ZW252_UZ1P5,15,0.15,252,1.5,0.20196585329848782,1.505765939490287,2.031981565562152,-0.1690512254088542,1.1947020958294081,40.60894397401437,0.13412831835395,16.22094984735532,0.00811047492367766,284,5,5,56.8,3,4,1,1,0.7154618818798166,0.4669908507359069,0.7365175332527207,0.1,0.4326111851096993,9.0,7.0,33.0,8.0,1.0,1.0,0.17987804878048785,8.0,False
top_sharpe,CW20_ABS15_ZW252_UZ1P0,20,0.15,252,1.0,0.20029108667702822,1.5034901990988128,2.0233235220039076,-0.16905122540885353,1.184795237021326,39.48471584571566,0.13321742090309738,16.078465018857738,0.00803923250942887,517,5,5,103.4,4,5,1,1,0.7192477525128713,0.46498974512150754,0.7333333333333333,0.1,0.4324562984429932,10.0,8.0,10.0,9.0,12.0,11.0,0.14878048780487804,6.0,False
