strategy_id,episode_id,entry_date,unlock_date,duration_days,macro_regime_at_entry,dominant_regime,credit_change_window,credit_abs_threshold,credit_level_z_window,unlock_z_threshold,entry_SPY_DD,entry_CREDIT_SPREAD,entry_D_CREDIT,entry_CREDIT_LEVEL_Z,unlock_CREDIT_SPREAD,unlock_D_CREDIT,unlock_CREDIT_LEVEL_Z,unlock_SPY_vs_MA20,unlock_SPY_vs_MA50,SPY_return_during_lock,SPY_maxDD_during_lock,final_strategy_return_during_lock,next_21d_SPY_return_after_unlock,next_21d_SPY_maxDD_after_unlock,next_63d_SPY_return_after_unlock,next_63d_SPY_maxDD_after_unlock,false_recovery_flag,missed_rebound_flag,relock_within_21d,relock_within_63d
BASELINE_ABS,1,2007-11-16,2007-12-27,27,FLAT,FLAT_HIGH_RATE,15,0.1,252,,-0.0683158063225728,0.9500000000000002,0.11000000000000032,1.0542292923012464,1.1600000000000001,-0.019999999999999574,2.7574018519187726,0.000531796666695783,-0.0004983422756401623,0.033006166018686445,-0.04609405031815095,-0.001207481486222295,-0.07963652009497701,-0.11255960324390457,-0.10189340244715528,-0.13102526682154814,True,False,False,False
BASELINE_ABS,2,2018-03-20,2018-04-16,18,FLAT,FLAT_LOW_RATE,15,0.1,252,,-0.0507525410358691,0.8099999999999996,0.11999999999999966,4.12629893858153,0.8099999999999996,-8.881784197001252e-16,2.4668606956620516,0.013043153127601625,-0.0015048443725166338,-0.01974210986844993,-0.04975111981267488,0.02066144105799461,0.014102607080427987,-0.02873668183682221,0.049618360795170346,-0.02997488926998837,False,False,False,False
BASELINE_ABS,3,2018-11-23,2019-01-07,28,FLAT,FLAT_LOW_RATE,15,0.1,252,,-0.0992516486121116,1.0500000000000007,0.15000000000000124,2.3384849039999565,1.1600000000000001,0.009999999999999787,2.386571292876197,0.008441620375136516,-0.03178171811339481,-0.04209546544464937,-0.1560744774742674,0.04823361774432944,0.07217555214345217,-0.013510623931932364,0.14027058048815233,-0.021253639218935416,True,True,True,True
BASELINE_ABS,4,2019-01-28,2019-02-08,9,FLAT,FLAT_LOW_RATE,15,0.1,252,,-0.0922363227729098,1.2400000000000002,0.10000000000000009,2.5348378603982535,1.1599999999999997,-0.020000000000000018,1.7292711576683575,0.017592406591257825,0.03744311850380222,0.01640461009269467,-0.010838736026719364,0.007162601734057805,0.03334951802271835,-0.021253639218935527,0.06987477025824118,-0.02506606201274386,False,False,False,False
BASELINE_ABS,5,2020-03-04,2020-04-06,23,FLAT,FLAT_LOW_RATE,15,0.1,252,,-0.0753091182900256,0.9400000000000004,0.10000000000000009,0.13429298741487286,1.9500000000000002,0.7199999999999998,5.012185029809934,0.05351803575051828,-0.09384975641231097,-0.16850035997624657,-0.2831904866202487,-0.008057739281837506,0.07320837775216593,-0.047446260657181494,0.18991480984979447,-0.0698950637250666,True,True,True,True
BASELINE_ABS,6,2020-04-08,2020-04-15,4,FLAT,FLAT_LOW_RATE,15,0.1,252,,-0.1853124632037285,1.9599999999999995,0.8899999999999992,4.5686465427177065,1.5899999999999999,-4.440892098500626e-16,2.5234082881788096,0.08520967317865846,-0.0308449029495933,0.0703803883878451,-0.009129692033472359,0.04255318940877295,0.025957782514998362,-0.047446260657181605,0.16383330896064363,-0.06989506372506671,False,False,False,False
BASELINE_ABS,7,2020-10-01,2020-10-21,14,FLAT,FLAT_LOW_RATE,15,0.1,252,,-0.0539863837860659,1.1,0.06999999999999984,-0.019269384050832675,1.06,-0.06000000000000005,-0.19419288840404067,0.007430925720393278,0.010574703717500578,0.02535162281175185,-0.029566222511344553,0.012025773156798092,0.04391209339680424,-0.055642502652050285,0.12190942091526691,-0.055642502652050285,True,False,False,False
BASELINE_ABS,8,2022-02-15,2022-04-05,34,FLAT,FLAT_LOW_RATE,15,0.1,252,,-0.0661698240827547,0.73,0.08000000000000007,1.8842081441796008,0.8699999999999997,-0.010000000000000231,2.557276435498611,0.01840440485027317,0.025650811901502202,0.043731695929600134,-0.06795817824531591,0.032219236849250876,-0.08252215485233005,-0.08193515366897086,-0.13382641258388783,-0.18298913507467585,True,True,False,True
BASELINE_ABS,9,2022-05-19,2022-06-08,13,FLAT,FLAT_LOW_RATE,15,0.1,252,,-0.1822027998642352,1.0300000000000002,0.11000000000000032,2.989479536648042,0.9699999999999998,-0.020000000000000462,1.9019227986252336,0.01987576546297687,-0.024378367449295668,0.060940040898394665,-0.016411481183290166,0.020776793238722613,-0.06159790709741031,-0.08666287799912076,-0.022154742910775904,-0.09062131183276656,True,False,True,True
BASELINE_ABS,10,2022-06-28,2022-08-01,23,FLAT,INVERTED,15,0.1,252,,-0.197249476457731,1.12,0.13999999999999968,2.6518493389476703,1.1800000000000006,-0.019999999999998685,2.1677326210564223,0.049355017987350536,0.05060138323428931,0.060217989032704144,-0.02848401401816958,0.025080669087262697,-0.030576682090404428,-0.07328361435736852,-0.04905913631754688,-0.16680303676492403,True,True,False,False
BASELINE_ABS,11,2025-04-09,2025-04-24,10,FLAT,FLAT_HIGH_RATE,15,0.1,252,,-0.1022296670062078,0.7600000000000007,0.120000000000001,1.6804743162830347,0.7599999999999998,0.08000000000000007,1.6272125684499883,0.02093066888432249,-0.027647745522800027,0.07843194673058052,-0.06332259708506482,-0.005422493950249518,0.05930232374308564,-0.02646041269613264,0.16882228737228067,-0.02646041269613264,False,False,False,False
CW15_ABS05_ZW126_UZ0P5,1,2006-05-22,2006-06-02,8,FLAT,FLAT_HIGH_RATE,15,0.05,126,0.5,-0.0986288679319551,0.8200000000000003,0.05000000000000071,,0.8399999999999999,0.05999999999999961,,0.0022802009864002493,-0.004910827933138351,0.01282456458029091,-0.017759887151137854,-0.0003616752971611348,-0.004923335207275503,-0.0359501568128171,0.017189530906793316,-0.0359501568128171,True,False,True,True
CW15_ABS05_ZW126_UZ0P5,2,2006-06-06,2006-07-28,37,FLAT,INVERTED,15,0.05,126,0.5,-0.0937695557516952,0.8399999999999999,0.05999999999999961,,0.8799999999999999,-0.03000000000000025,0.36934333838140915,0.01563378909927171,0.018688394348834958,0.0011801556023582904,-0.03489811251182684,0.011582222815429866,0.019143812072612176,-0.011212730204729127,0.08915743286166977,-0.013367022774509518,False,False,False,False
CW15_ABS05_ZW126_UZ0P5,3,2007-11-08,2008-05-02,120,FLAT,STEEP_HIGH_RATE,15,0.05,126,0.5,-0.0595607205700382,0.8900000000000006,0.07000000000000028,0.2469624386449688,1.2800000000000002,-0.16000000000000014,0.24918867932949385,0.029429451149006303,0.04947039075235149,-0.036093988234729646,-0.1538705952337298,0.046922312353128826,-0.024167969552036594,-0.03781899682944745,-0.10401363820663012,-0.1499815171238229,True,True,False,False
CW15_ABS05_ZW126_UZ0P5,4,2018-03-20,2018-08-08,98,FLAT,FLAT_LOW_RATE,15,0.05,126,0.5,-0.0507525410358691,0.8099999999999996,0.11999999999999966,3.4159162422078926,0.8599999999999999,-0.05999999999999961,0.42662094428651737,0.013365389048072496,0.029304440426089817,0.060528336883597156,-0.04975111981267488,-0.07705520120107479,0.007496700035649839,-0.013311397919115509,-0.03185928903833579,-0.09716441761529881,True,True,False,True
CW15_ABS05_ZW126_UZ0P5,5,2018-11-02,2018-11-07,3,FLAT,FLAT_HIGH_RATE,15,0.05,126,0.5,-0.0696884664136561,0.9700000000000006,0.0600000000000005,2.3967610339956256,0.9499999999999993,0.009999999999998899,1.6942669681890379,0.02886004746176818,-0.005781342699414549,0.005886344290639611,0.0,-0.0054341680143317195,-0.06028230654825373,-0.061497243338097474,-0.03134988319183252,-0.15968457921403867,True,False,True,True
CW15_ABS05_ZW126_UZ0P5,6,2018-11-15,2019-01-07,33,FLAT,FLAT_LOW_RATE,15,0.05,126,0.5,-0.0658218749443748,0.9900000000000002,0.07000000000000028,2.58463891953233,1.1600000000000001,0.009999999999999787,2.20680037890582,0.008441620375136516,-0.03178171811339481,-0.060459468783036874,-0.15607447747426717,0.052869148865488214,0.07217555214345217,-0.013510623931932364,0.14027058048815233,-0.021253639218935416,True,True,True,True
CW15_ABS05_ZW126_UZ0P5,7,2019-01-11,2019-02-22,28,FLAT,FLAT_LOW_RATE,15,0.05,126,0.5,-0.1086870780101048,1.17,0.020000000000000018,2.0760843216761358,1.0900000000000003,-0.12999999999999945,0.44201081456416136,0.025644846844385283,0.0658905955996365,0.07161631399588875,-0.013510623931932253,0.028456343597973444,0.004045015917255146,-0.021253639218935638,0.015199161936674255,-0.04479180168549568,False,True,False,False
CW15_ABS05_ZW126_UZ0P5,8,2020-03-02,2020-04-06,25,FLAT,FLAT_LOW_RATE,15,0.05,126,0.5,-0.0864514610975877,0.9300000000000002,0.06000000000000005,1.6512981009683094,1.9500000000000002,0.7199999999999998,3.593365863720465,0.05351803575051828,-0.09384975641231097,-0.15732982915199745,-0.2831904866202487,0.028777388281152838,0.07320837775216593,-0.047446260657181494,0.18991480984979447,-0.0698950637250666,True,True,True,True
CW15_ABS05_ZW126_UZ0P5,9,2020-04-08,2020-05-27,33,FLAT,FLAT_LOW_RATE,15,0.05,126,0.5,-0.1853124632037285,1.9599999999999995,0.8899999999999992,3.2347195001641182,1.3199999999999998,-0.20999999999999996,0.4462459602356636,0.04495084582544484,0.10663537388409816,0.12805048579941336,-0.047446260657181494,0.03108181435654278,0.017041311338565235,-0.06989506372506649,0.13871541679440824,-0.06989506372506649,True,True,False,True
CW15_ABS05_ZW126_UZ0P5,10,2020-07-01,2020-07-06,2,FLAT,FLAT_LOW_RATE,15,0.05,126,0.5,-0.0727659376649817,1.1800000000000002,0.04000000000000048,-0.11114616965641948,1.19,-0.010000000000000231,-0.09842008751452035,0.023672841463204808,0.05791330426304753,0.012550806869741526,0.0,-0.002330163117799988,0.041034228742485857,-0.01829524924192827,0.05717165162966209,-0.0944045117188198,True,False,True,True
CW15_ABS05_ZW126_UZ0P5,11,2020-07-14,2020-07-16,2,FLAT,FLAT_LOW_RATE,15,0.05,126,0.5,-0.0476827367612134,1.21,0.040000000000000036,-0.09415217321162327,1.17,-0.010000000000000231,-0.23323815173882892,0.0274875075130665,0.05238669018379527,0.022265347366211108,0.0,0.00554901107009842,0.050032539042730306,-0.01829524924192838,0.08894523631711793,-0.09440451171881958,True,False,False,True
