window,strategy,cumulative_return,max_drawdown,volatility
2008_GFC,SPY_BUY_HOLD,-0.37161444441768987,-0.5518944093580835,0.3686800023523123
2008_GFC,SPY_CASH_TIMING,0.0935864039903096,-0.1922344804013396,0.15629221956224773
2008_GFC,FINAL_REGIME_HEDGE_TRIGGER_LOCK,0.5462308664061997,-0.143177048054123,0.1764389858744337
2015_2016,SPY_BUY_HOLD,0.006936483325802545,-0.13022918852006427,0.1709341278930017
2015_2016,SPY_CASH_TIMING,0.06863935220018735,-0.04009484648768891,0.07613142896460368
2015_2016,FINAL_REGIME_HEDGE_TRIGGER_LOCK,0.14278519977571968,-0.0635777958270134,0.10027185128443143
COVID_2020,SPY_BUY_HOLD,-0.03167845151604476,-0.3371727790547798,0.4864872940036087
COVID_2020,SPY_CASH_TIMING,0.09423755712371307,-0.06989506372506649,0.18180821794920626
COVID_2020,FINAL_REGIME_HEDGE_TRIGGER_LOCK,0.27479944506516096,-0.15469690070036735,0.2701486537185673
2022_RATE_WAR,SPY_BUY_HOLD,-0.08745430725697201,-0.24496374143038613,0.22159298355456222
2022_RATE_WAR,SPY_CASH_TIMING,-0.16456183254566958,-0.29454945501511787,0.1891069492500007
2022_RATE_WAR,FINAL_REGIME_HEDGE_TRIGGER_LOCK,0.07326560180565656,-0.14020389236531017,0.15807696049651163
2025_PULLBACK,SPY_BUY_HOLD,0.1954418766006405,-0.18755233666641224,0.19381384540964547
2025_PULLBACK,SPY_CASH_TIMING,0.11578932194719394,-0.1459905702079365,0.12656922390434894
2025_PULLBACK,FINAL_REGIME_HEDGE_TRIGGER_LOCK,0.19444937570658816,-0.08120663086019297,0.12583803835693108
