event_reason,count,total_turnover,average_turnover,median_turnover,average_strategy_return_next_5d,average_strategy_return_next_20d,average_SPY_return_next_5d,average_SPY_return_next_20d,share_of_total_turnover
OTHER,4897,25.548481177320145,0.005217169936148692,0.0,0.004089674934762344,0.01627869165419177,0.002358888436078133,0.009310492586914616,0.4411395592628346
FULL_RISK_EXIT_TRIGGER_UNLOCK,21,13.020788753830027,0.6200375597061918,0.7,0.0018226754308247686,0.021532990789377073,0.007200379677827743,0.027198941536898065,0.22482686826871306
FULL_RISK_ENTRY_VIX,12,7.8,0.65,0.7,0.0010472306469578863,0.008040490648447121,0.008131674292941815,-0.0043359199433333495,0.13468074827495616
FULL_RISK_ENTRY_CREDIT,8,7.7,0.9625,1.0,0.009590659120993425,0.011293152719644345,-0.0350208443262532,0.00030878212157642304,0.13295407201502082
INVERSE_VOL_REBALANCE,135,3.7454662126970995,0.02774419416812666,0.020855327196802442,0.004165284985824888,0.016418348332002602,0.004823971338061171,0.012635177584154856,0.06467207591853992
FULL_RISK_ENTRY_MULTI_TRIGGER,1,0.10000000000000003,0.10000000000000003,0.10000000000000003,0.004483214489144016,0.01563711269613477,-0.009027620314912332,0.02218992524057728,0.0017266762599353357
