date,FINAL_REGIME_HEDGE_TRIGGER_LOCK_return,FINAL_REGIME_HEDGE_TRIGGER_LOCK_nav,FINAL_REGIME_HEDGE_TRIGGER_LOCK_drawdown,FINAL_REGIME_HEDGE_TRIGGER_LOCK_turnover,FINAL_REGIME_HEDGE_TRIGGER_LOCK_transaction_cost,final_state,final_allocation_state,trigger_lock_active_locks,final_regime_confirmed,heatmap_cross_state,pure_cross_state
2007-01-08,0.0043884643587169,1.0043884643587169,0.0,1.0,0.0005,NON_RISK,INVERTED_NORMAL,,INVERTED,INVERTED_NORMAL,INVERTED_NORMAL
2007-01-09,0.00263375679116345,1.0070337792976878,0.0,0.0,0.0,NON_RISK,INVERTED_NORMAL,,INVERTED,INVERTED_NORMAL,INVERTED_NORMAL
2007-01-10,-0.00047049639763005013,1.0065599735322364,-0.00047049639763008244,0.0,0.0,NON_RISK,INVERTED_NORMAL,,INVERTED,INVERTED_NORMAL,INVERTED_NORMAL
2007-01-11,0.0025204342109914,1.0090969417249416,0.0,0.0,0.0,NON_RISK,INVERTED_NORMAL,,INVERTED,INVERTED_NORMAL,INVERTED_NORMAL
2007-01-12,0.0164985772861071,1.0257456056071648,0.0,0.0,0.0,NON_RISK,INVERTED_NORMAL,,INVERTED,INVERTED_NORMAL,INVERTED_NORMAL
2007-01-16,-0.00258596250758725,1.0230930659287423,-0.002585962507587247,0.0,0.0,NON_RISK,INVERTED_NORMAL,,INVERTED,INVERTED_NORMAL,INVERTED_NORMAL
2007-01-17,0.00561559125919015,1.0288383384071098,0.0,0.0,0.0,NON_RISK,INVERTED_NORMAL,,INVERTED,INVERTED_NORMAL,INVERTED_NORMAL
2007-01-18,-0.0047115402370270995,1.0239909251783086,-0.004711540237027134,0.0,0.0,NON_RISK,INVERTED_NORMAL,,INVERTED,INVERTED_NORMAL,INVERTED_NORMAL
2007-01-19,0.00692535847926305,1.0310824294146805,0.0,0.0,0.0,NON_RISK,INVERTED_NORMAL,,INVERTED,INVERTED_NORMAL,INVERTED_NORMAL
2007-01-22,-0.0037625147403664997,1.027202966575475,-0.003762514740366485,0.0,0.0,NON_RISK,INVERTED_NORMAL,,INVERTED,INVERTED_NORMAL,INVERTED_NORMAL
2007-01-23,0.0135122069758438,1.0410827456660434,0.0,0.0,0.0,NON_RISK,INVERTED_NORMAL,,INVERTED,INVERTED_NORMAL,INVERTED_NORMAL
2007-01-24,0.0048051245044489505,1.0460852778784022,0.0,0.0,0.0,NON_RISK,INVERTED_NORMAL,,INVERTED,INVERTED_NORMAL,INVERTED_NORMAL
2007-01-25,-0.00796871863888925,1.037749318626705,-0.00796871863888915,0.0,0.0,NON_RISK,INVERTED_NORMAL,,INVERTED,INVERTED_NORMAL,INVERTED_NORMAL
2007-01-26,0.00040168265231565006,1.0381661645254499,-0.007570236882611825,0.0,0.0,NON_RISK,INVERTED_NORMAL,,INVERTED,INVERTED_NORMAL,INVERTED_NORMAL
2007-01-29,-0.0033978188492034002,1.03463866396302,-0.01094233343824258,0.0,0.0,NON_RISK,INVERTED_NORMAL,,INVERTED,INVERTED_NORMAL,INVERTED_NORMAL
2007-01-30,0.00613292509742535,1.0409840253920055,-0.004876516852185042,0.0,0.0,NON_RISK,INVERTED_NORMAL,,INVERTED,INVERTED_NORMAL,INVERTED_NORMAL
2007-01-31,0.008110828679994849,1.0494272684805714,0.0,0.0,0.0,NON_RISK,INVERTED_NORMAL,,INVERTED,INVERTED_NORMAL,INVERTED_NORMAL
2007-02-01,0.005999163216675,1.0557229539482158,0.0,0.0,0.0,NON_RISK,INVERTED_NORMAL,,INVERTED,INVERTED_NORMAL,INVERTED_NORMAL
2007-02-02,-0.0065151345669724,1.0488447768378015,-0.0065151345669723915,0.0,0.0,NON_RISK,INVERTED_NORMAL,,INVERTED,INVERTED_NORMAL,INVERTED_NORMAL
2007-02-05,0.0003718645487409,1.0492348050274396,-0.006145692765807231,0.0,0.0,NON_RISK,INVERTED_NORMAL,,INVERTED,INVERTED_NORMAL,INVERTED_NORMAL
2007-02-06,0.00386990550358455,1.0532952445739676,-0.002299570512480531,0.0,0.0,NON_RISK,INVERTED_NORMAL,,INVERTED,INVERTED_NORMAL,INVERTED_NORMAL
2007-02-07,-0.00013050625866974997,1.0531577829523238,-0.0024297766628060824,0.0,0.0,NON_RISK,INVERTED_NORMAL,,INVERTED,INVERTED_NORMAL,INVERTED_NORMAL
2007-02-08,0.00623110609154255,1.0597201208290334,0.0,0.0,0.0,NON_RISK,INVERTED_NORMAL,,INVERTED,INVERTED_NORMAL,INVERTED_NORMAL
2007-02-09,0.0008552097979631999,1.0606264038594653,0.0,0.0,0.0,NON_RISK,INVERTED_NORMAL,,INVERTED,INVERTED_NORMAL,INVERTED_NORMAL
2007-02-12,-0.0051051210486332,1.0552117776803862,-0.005105121048633143,0.0,0.0,NON_RISK,INVERTED_NORMAL,,INVERTED,INVERTED_NORMAL,INVERTED_NORMAL
2007-02-13,0.00551182161360805,1.0610279167635388,0.0,0.0,0.0,NON_RISK,INVERTED_NORMAL,,INVERTED,INVERTED_NORMAL,INVERTED_NORMAL
2007-02-14,0.00730839152758795,1.0687823242009478,0.0,0.0,0.0,NON_RISK,INVERTED_NORMAL,,INVERTED,INVERTED_NORMAL,INVERTED_NORMAL
2007-02-15,0.0009538624543493,1.0698017955318753,0.0,0.0,0.0,NON_RISK,INVERTED_NORMAL,,INVERTED,INVERTED_NORMAL,INVERTED_NORMAL
2007-02-16,-0.0006164058954649,1.0691423633981305,-0.0006164058954648555,0.0,0.0,NON_RISK,INVERTED_NORMAL,,INVERTED,INVERTED_NORMAL,INVERTED_NORMAL
2007-02-20,-0.006847808740478749,1.0618210809772366,-0.007459993606265036,0.0,0.0,NON_RISK,INVERTED_NORMAL,,INVERTED,INVERTED_NORMAL,INVERTED_NORMAL
2007-02-21,0.015412415132994649,1.078186308274223,0.0,0.0,0.0,NON_RISK,INVERTED_NORMAL,,INVERTED,INVERTED_NORMAL,INVERTED_NORMAL
2007-02-22,-0.0018615821346431001,1.0761791759049228,-0.0018615821346430472,0.0,0.0,NON_RISK,INVERTED_NORMAL,,INVERTED,INVERTED_NORMAL,INVERTED_NORMAL
2007-02-23,0.002290396680157,1.0786440531166697,0.0,0.0,0.0,NON_RISK,INVERTED_NORMAL,,INVERTED,INVERTED_NORMAL,INVERTED_NORMAL
2007-02-26,0.00235835459813955,1.0811878782790934,0.0,0.0,0.0,NON_RISK,INVERTED_NORMAL,,INVERTED,INVERTED_NORMAL,INVERTED_NORMAL
2007-02-27,-0.0392791835886583,1.0387197011143368,-0.03927918358865845,0.0,0.0,NON_RISK,INVERTED_NORMAL,,INVERTED,INVERTED_NORMAL,INVERTED_NORMAL
2007-02-28,0.0002996729489358114,1.0390309773102873,-0.03899128154850051,1.8,0.0009,FULL_RISK,INVERTED_STRESS,VIX,INVERTED,INVERTED_STRESS,INVERTED_STRESS
2007-03-01,-0.00012370270586497376,1.0389024463669165,-0.03911016092733277,0.0,0.0,FULL_RISK,INVERTED_STRESS,VIX,INVERTED,INVERTED_STRESS,INVERTED_STRESS
2007-03-02,-0.0011359157567397958,1.0377223407083729,-0.04020165083602656,0.0,0.0,FULL_RISK,INVERTED_STRESS,VIX,INVERTED,INVERTED_STRESS,INVERTED_STRESS
2007-03-05,-0.0007786945355402724,1.0369142719922553,-0.040949040565741,0.0,0.0,FULL_RISK,INVERTED_STRESS,VIX,INVERTED,INVERTED_STRESS,INVERTED_STRESS
2007-03-06,0.0018848973148940659,1.038868748919309,-0.03914132798745673,0.0,0.0,FULL_RISK,INVERTED_STRESS,VIX,INVERTED,INVERTED_STRESS,INVERTED_STRESS
2007-03-07,7.302029196332749e-05,1.0389446074186668,-0.03907116580669068,0.0,0.0,FULL_RISK,INVERTED_STRESS,VIX,INVERTED,INVERTED_STRESS,INVERTED_STRESS
2007-03-08,0.001018063215228077,1.0400023187061394,-0.03809287950814644,0.0,0.0,FULL_RISK,INVERTED_STRESS,VIX,INVERTED,INVERTED_STRESS,INVERTED_STRESS
2007-03-09,0.00020134968512373013,1.0402117228455388,-0.03789919981231715,0.0,0.0,FULL_RISK,INVERTED_STRESS,VIX,INVERTED,INVERTED_STRESS,INVERTED_STRESS
2007-03-12,0.0003220617661771901,1.0405467352701967,-0.03758934392936808,0.0,0.0,FULL_RISK,INVERTED_STRESS,VIX,INVERTED,INVERTED_STRESS,INVERTED_STRESS
2007-03-13,-0.0017711917470662971,1.0387037274802493,-0.03929395774068911,0.0,0.0,FULL_RISK,INVERTED_STRESS,VIX,INVERTED,INVERTED_STRESS,INVERTED_STRESS
2007-03-14,0.0009165982346980924,1.039655801483232,-0.038413376278290445,0.0,0.0,FULL_RISK,INVERTED_STRESS,VIX,INVERTED,INVERTED_STRESS,INVERTED_STRESS
2007-03-15,0.00030763831346868525,1.0399756394405881,-0.03811755539111483,0.0,0.0,FULL_RISK,INVERTED_STRESS,VIX,INVERTED,INVERTED_STRESS,INVERTED_STRESS
2007-03-16,-0.00010921557374276287,1.0398620579044482,-0.038222607934175756,0.0,0.0,FULL_RISK,INVERTED_STRESS,VIX,INVERTED,INVERTED_STRESS,INVERTED_STRESS
2007-03-19,0.0013774421118310331,1.0412944076935011,-0.0368978152521372,0.0,0.0,FULL_RISK,INVERTED_STRESS,CREDIT+VIX,INVERTED,INVERTED_STRESS,INVERTED_STRESS
2007-03-20,0.0007208187050464523,1.042044992180027,-0.03620359318249977,0.0,0.0,FULL_RISK,INVERTED_STRESS,CREDIT+VIX,INVERTED,INVERTED_STRESS,INVERTED_STRESS
2007-03-21,0.0115416810899754,1.0540719431611747,-0.02507976241934806,1.8,0.0009,NON_RISK,INVERTED_NORMAL,,INVERTED,INVERTED_NORMAL,INVERTED_NORMAL
2007-03-22,-0.00083958840577415,1.0531869565788448,-0.025898294147375323,0.0,0.0,NON_RISK,INVERTED_NORMAL,,INVERTED,INVERTED_NORMAL,INVERTED_NORMAL
2007-03-23,-0.0039047889118382995,1.049074483828703,-0.029701955687391424,0.0,0.0,NON_RISK,INVERTED_NORMAL,,INVERTED,INVERTED_NORMAL,INVERTED_NORMAL
2007-03-26,0.0046329764658331,1.0539348212231874,-0.02520658768324724,0.0,0.0,NON_RISK,INVERTED_NORMAL,,INVERTED,INVERTED_NORMAL,INVERTED_NORMAL
2007-03-27,-0.0022505131128068004,1.051562927087981,-0.027400373039943693,0.0,0.0,NON_RISK,INVERTED_NORMAL,,INVERTED,INVERTED_NORMAL,INVERTED_NORMAL
2007-03-28,-0.0009761902289712999,1.0505364016334091,-0.02834981529248337,0.0,0.0,NON_RISK,INVERTED_NORMAL,,INVERTED,INVERTED_NORMAL,INVERTED_NORMAL
2007-03-29,-0.00249918921753205,1.0479109123858221,-0.03077815295731723,0.0,0.0,NON_RISK,INVERTED_NORMAL,,INVERTED,INVERTED_NORMAL,INVERTED_NORMAL
2007-03-30,0.000791003422334,1.0487398135038204,-0.03001149515930568,0.0,0.0,NON_RISK,INVERTED_NORMAL,,INVERTED,INVERTED_NORMAL,INVERTED_NORMAL
