trigger_A,trigger_B,overlap_count,overlap_rate_over_all_days,A_count,B_count,conditional_prob_A_given_B,conditional_prob_B_given_A
VIX_FULL_RISK_TRIGGER,VIX_FULL_RISK_TRIGGER,84,0.016554986204178165,84,84,1.0,1.0
VIX_FULL_RISK_TRIGGER,CREDIT_FULL_RISK_TRIGGER,15,0.0029562475364603865,84,189,0.07936507936507936,0.17857142857142858
CREDIT_FULL_RISK_TRIGGER,VIX_FULL_RISK_TRIGGER,15,0.0029562475364603865,189,84,0.17857142857142858,0.07936507936507936
CREDIT_FULL_RISK_TRIGGER,CREDIT_FULL_RISK_TRIGGER,189,0.037248718959400864,189,189,1.0,1.0
