date,GS10,final_regime_confirmed,hmm_state_name
2007-08-31,4.54,FLAT_HIGH_RATE,HIGH
2007-09-04,4.56,FLAT_HIGH_RATE,HIGH
2007-09-05,4.48,FLAT_HIGH_RATE,HIGH
2007-09-06,4.51,FLAT_HIGH_RATE,HIGH
2007-09-07,4.38,FLAT_HIGH_RATE,HIGH
2007-09-10,4.34,FLAT_HIGH_RATE,HIGH
2007-09-11,4.37,FLAT_HIGH_RATE,HIGH
2007-09-12,4.41,FLAT_HIGH_RATE,HIGH
2007-09-13,4.49,FLAT_HIGH_RATE,HIGH
2007-09-14,4.47,FLAT_HIGH_RATE,HIGH
2007-09-17,4.48,FLAT_HIGH_RATE,HIGH
2007-09-18,4.5,FLAT_HIGH_RATE,HIGH
2007-09-19,4.53,FLAT_HIGH_RATE,HIGH
2007-09-20,4.69,FLAT_HIGH_RATE,HIGH
2007-09-21,4.64,FLAT_HIGH_RATE,HIGH
2007-09-24,4.63,FLAT_HIGH_RATE,HIGH
2007-09-25,4.63,FLAT_HIGH_RATE,HIGH
2007-09-26,4.63,FLAT_HIGH_RATE,HIGH
2007-09-27,4.58,FLAT_HIGH_RATE,HIGH
2007-09-28,4.59,FLAT_HIGH_RATE,HIGH
2007-10-01,4.56,FLAT_HIGH_RATE,HIGH
2007-10-02,4.54,FLAT_HIGH_RATE,HIGH
2007-10-03,4.55,FLAT_HIGH_RATE,HIGH
2007-10-04,4.54,FLAT_HIGH_RATE,HIGH
2007-10-05,4.65,FLAT_HIGH_RATE,HIGH
2007-10-08,4.65,FLAT_HIGH_RATE,HIGH
2007-10-09,4.67,FLAT_HIGH_RATE,HIGH
2007-10-10,4.65,FLAT_HIGH_RATE,HIGH
2007-10-11,4.66,FLAT_HIGH_RATE,HIGH
2007-10-12,4.7,FLAT_HIGH_RATE,HIGH
2007-10-15,4.69,FLAT_HIGH_RATE,HIGH
2007-10-16,4.66,FLAT_HIGH_RATE,HIGH
2007-10-17,4.57,FLAT_HIGH_RATE,HIGH
2007-10-18,4.52,FLAT_HIGH_RATE,HIGH
2007-10-19,4.41,FLAT_HIGH_RATE,HIGH
2007-10-22,4.42,FLAT_HIGH_RATE,HIGH
2007-10-23,4.41,FLAT_HIGH_RATE,HIGH
2007-10-24,4.36,FLAT_HIGH_RATE,HIGH
2007-10-25,4.37,FLAT_HIGH_RATE,HIGH
2007-10-26,4.41,FLAT_HIGH_RATE,HIGH
2007-10-29,4.39,FLAT_HIGH_RATE,HIGH
2007-10-30,4.4,FLAT_HIGH_RATE,HIGH
2007-10-31,4.48,FLAT_HIGH_RATE,HIGH
2007-11-01,4.36,FLAT_HIGH_RATE,HIGH
2007-11-02,4.31,FLAT_HIGH_RATE,HIGH
2007-11-05,4.35,FLAT_HIGH_RATE,HIGH
2007-11-06,4.38,FLAT_HIGH_RATE,HIGH
2007-11-07,4.34,FLAT_HIGH_RATE,HIGH
2007-11-08,4.28,FLAT_HIGH_RATE,HIGH
2007-11-09,4.23,FLAT_HIGH_RATE,HIGH
2007-11-12,4.23,FLAT_HIGH_RATE,HIGH
2007-11-13,4.26,FLAT_HIGH_RATE,HIGH
2007-11-14,4.28,FLAT_HIGH_RATE,HIGH
2007-11-15,4.17,FLAT_HIGH_RATE,HIGH
2007-11-16,4.15,FLAT_HIGH_RATE,HIGH
2007-11-19,4.07,FLAT_HIGH_RATE,HIGH
2007-11-20,4.06,FLAT_HIGH_RATE,HIGH
2007-11-21,4.0,FLAT_HIGH_RATE,HIGH
2007-11-23,4.01,FLAT_HIGH_RATE,HIGH
2007-11-26,3.83,FLAT_HIGH_RATE,HIGH
2007-11-27,3.95,FLAT_HIGH_RATE,HIGH
2007-11-28,4.03,FLAT_HIGH_RATE,HIGH
2007-11-29,3.94,FLAT_HIGH_RATE,HIGH
2007-11-30,3.97,FLAT_HIGH_RATE,HIGH
2007-12-03,3.89,FLAT_HIGH_RATE,HIGH
2007-12-04,3.89,FLAT_HIGH_RATE,HIGH
2007-12-05,3.92,FLAT_HIGH_RATE,HIGH
2007-12-06,4.02,FLAT_HIGH_RATE,HIGH
2007-12-07,4.12,FLAT_HIGH_RATE,HIGH
2007-12-10,4.15,FLAT_HIGH_RATE,HIGH
2007-12-11,3.98,FLAT_HIGH_RATE,HIGH
2007-12-12,4.05,FLAT_HIGH_RATE,HIGH
2007-12-13,4.18,FLAT_HIGH_RATE,HIGH
2007-12-14,4.24,FLAT_HIGH_RATE,HIGH
2007-12-17,4.2,FLAT_HIGH_RATE,HIGH
2007-12-18,4.14,FLAT_HIGH_RATE,HIGH
2007-12-19,4.06,FLAT_HIGH_RATE,HIGH
2007-12-20,4.04,FLAT_HIGH_RATE,HIGH
2007-12-21,4.18,FLAT_HIGH_RATE,HIGH
2007-12-24,4.23,FLAT_HIGH_RATE,HIGH
2007-12-26,4.3,FLAT_HIGH_RATE,HIGH
2007-12-27,4.21,FLAT_HIGH_RATE,HIGH
2007-12-28,4.11,FLAT_HIGH_RATE,HIGH
2007-12-31,4.04,FLAT_HIGH_RATE,HIGH
2008-01-02,3.91,FLAT_HIGH_RATE,HIGH
2008-01-03,3.91,FLAT_HIGH_RATE,HIGH
2008-01-04,3.88,FLAT_HIGH_RATE,HIGH
2008-01-07,3.86,FLAT_HIGH_RATE,HIGH
2008-01-08,3.86,FLAT_HIGH_RATE,HIGH
2008-01-09,3.82,FLAT_HIGH_RATE,HIGH
2008-01-10,3.91,FLAT_HIGH_RATE,HIGH
2008-01-11,3.82,FLAT_HIGH_RATE,HIGH
2008-01-14,3.81,FLAT_HIGH_RATE,HIGH
2008-01-15,3.72,FLAT_HIGH_RATE,HIGH
2008-01-16,3.74,FLAT_HIGH_RATE,HIGH
2008-01-17,3.66,FLAT_HIGH_RATE,HIGH
2008-01-18,3.66,FLAT_HIGH_RATE,HIGH
2008-01-22,3.52,FLAT_HIGH_RATE,HIGH
2008-01-23,3.51,FLAT_HIGH_RATE,HIGH
2016-07-07,1.4,FLAT_MID_RATE,LOW
2016-07-08,1.37,FLAT_MID_RATE,LOW
2016-07-11,1.43,FLAT_MID_RATE,LOW
2016-07-12,1.53,FLAT_MID_RATE,LOW
2016-07-13,1.48,FLAT_MID_RATE,LOW
2016-07-14,1.53,FLAT_MID_RATE,LOW
2016-07-15,1.6,FLAT_MID_RATE,LOW
2016-07-18,1.59,FLAT_MID_RATE,LOW
2016-07-19,1.56,FLAT_MID_RATE,LOW
2016-07-20,1.59,FLAT_MID_RATE,LOW
2016-07-21,1.57,FLAT_MID_RATE,LOW
2016-07-29,1.46,FLAT_MID_RATE,LOW
2016-08-01,1.51,FLAT_MID_RATE,LOW
2016-08-02,1.55,FLAT_MID_RATE,LOW
