hmm_state_name,n_days,mean_gs10,median_gs10,min_gs10,max_gs10,model_mean,model_weight,family
HIGH,626,3.6017891373801914,3.6,3.1,4.27,3.589461708986999,0.24782264449722882,STEEP
LOW,923,1.7793716143011917,1.79,1.19,2.42,1.8088799232537056,0.3653998416468725,STEEP
MID,977,2.551637666325486,2.54,2.01,3.22,2.540179790999592,0.38677751385589865,STEEP
