pure_cross_state,asset,n_obs,annualized_return,annualized_volatility,annualized_excess_return_vs_cash,Sharpe,max_drawdown,cumulative_return
FLAT_HIGH_RATE_NORMAL,SPY,443,0.11574073688859654,0.1375692417003751,0.07218471155515327,0.5247154862739674,-0.14496103896861734,0.2123087612884338
FLAT_HIGH_RATE_NORMAL,GOLD,443,0.563759749038846,0.23433697034311443,0.502789828634816,2.145584744475594,-0.1386771322042546,1.1945151578864963
FLAT_HIGH_RATE_NORMAL,CMDTY_FUT,443,0.37122944867223806,0.20249685722582467,0.31773894399393354,1.5691055572264552,-0.126109899728291,0.7419308312492092
FLAT_HIGH_RATE_NORMAL,IEF,443,0.07476022827951478,0.05433849910231733,0.0327994060354837,0.6036126609556084,-0.027734006558376878,0.13512524321705555
FLAT_HIGH_RATE_NORMAL,CASH,443,0.04063308150900724,0.0002292298580287774,0.0,0.0,0.0,0.07252674710962426
FLAT_HIGH_RATE_STRESS,SPY,121,0.03893440968584416,0.27354085880770906,0.0022650372245309747,0.008280434719711205,-0.15921066887564572,0.018509151647517985
FLAT_HIGH_RATE_STRESS,GOLD,121,0.20563998360751756,0.2551506964129252,0.1631005535765293,0.6392322492922935,-0.16159539001013834,0.09394971643008576
FLAT_HIGH_RATE_STRESS,CMDTY_FUT,121,0.19751686606967223,0.26695281183925396,0.15527782337859009,0.5816676824220561,-0.15464788713861288,0.0904044426719599
FLAT_HIGH_RATE_STRESS,IEF,121,0.14793445673481775,0.07548139671728554,0.10743164088986057,1.4232863402388298,-0.03927006951093215,0.06848816179248574
FLAT_HIGH_RATE_STRESS,CASH,121,0.03658644427515512,0.00036955890040049486,0.0,0.0,0.0,0.017403269982753544
FLAT_LOWMID_RATE_STRESS,SPY,398,-0.1520414770169024,0.2946181548925691,-0.16566173381790983,-0.5622930259620881,-0.33243776350748067,-0.22931419528039654
FLAT_LOWMID_RATE_STRESS,GOLD,398,-0.050816556851682626,0.14791973312382262,-0.06606071704735528,-0.44659840612378804,-0.1602004780731464,-0.07906787172094243
FLAT_LOWMID_RATE_STRESS,CMDTY_FUT,398,-0.21337621591357703,0.30809920120485923,-0.2260169272450092,-0.7335849179781793,-0.47170871146231086,-0.31549258712562145
FLAT_LOWMID_RATE_STRESS,IEF,398,0.019509899878690007,0.07909012666010218,0.003144696291656146,0.03976092117250989,-0.1291376563282658,0.03098692803260339
FLAT_LOWMID_RATE_STRESS,CASH,398,0.01631513496196102,0.0004478856147753659,0.0,0.0,-3.5722359332801545e-06,0.025889060305087863
FLAT_LOW_RATE_NORMAL,SPY,193,0.47625764780378854,0.20279527747362097,0.4745684160669117,2.340135440918451,-0.0944045117188198,0.34758675577355724
FLAT_LOW_RATE_NORMAL,GOLD,193,0.115463016376806,0.17770666914475985,0.11418528428083063,0.6425492348169292,-0.15332007983823148,0.0872881091200004
FLAT_LOW_RATE_NORMAL,CMDTY_FUT,193,0.7789623733048856,0.28646781526557863,0.776926781631192,2.7120909932270005,-0.16889210400910226,0.5545187790958379
FLAT_LOW_RATE_NORMAL,IEF,193,-0.030672455295388312,0.03915672040247644,-0.03178369799703018,-0.8117048024027069,-0.04164888807956724,-0.02357663684473621
FLAT_LOW_RATE_NORMAL,CASH,193,0.0011476215154759828,1.9326276059188385e-05,0.0,0.0,0.0,0.00087881432704906
FLAT_MID_RATE_NORMAL,SPY,361,0.17654345493765344,0.10003516863534596,0.15936672707505894,1.5931069967602278,-0.060229993298922424,0.2622597155014208
FLAT_MID_RATE_NORMAL,GOLD,361,0.114488836845559,0.11002269528287281,0.09821852079391613,0.8927114586803416,-0.12312913856242413,0.1679865480950904
FLAT_MID_RATE_NORMAL,CMDTY_FUT,361,0.07076460460347689,0.15555794362585176,0.05512541685658734,0.3543722395120823,-0.14353153923225415,0.10290433271520838
FLAT_MID_RATE_NORMAL,IEF,361,0.012008232272090913,0.04647638156411959,-0.002772207572830254,-0.05964766359888991,-0.07762534528542053,0.01724684285891409
FLAT_MID_RATE_NORMAL,CASH,361,0.014824226689723607,0.0003687124615602453,0.0,0.0,0.0,0.021304187444141975
INVERTED_NORMAL,SPY,751,0.20933202655715144,0.11744559970326747,0.1538603811458954,1.310056583938707,-0.09974317142568712,0.7619713990976547
INVERTED_NORMAL,GOLD,751,0.1992381027203105,0.15431203811235203,0.14422646968422992,0.934641726261311,-0.14396354991506677,0.7185044943077523
INVERTED_NORMAL,CMDTY_FUT,751,-0.04077163195494671,0.19220544206434723,-0.08481176765228815,-0.44125580806340836,-0.23803207493783762,-0.11666643670697918
INVERTED_NORMAL,IEF,751,0.030162441534514972,0.0709152499509388,-0.01711972550576435,-0.24141105781349237,-0.10158170139230938,0.09259968317602296
INVERTED_NORMAL,CASH,751,0.048101735179032046,0.0004666135502035454,0.0,0.0,0.0,0.15028508808136087
INVERTED_STRESS,SPY,172,0.10688566760714635,0.2288078407635232,0.0673134974357894,0.2941922672368516,-0.16680303676492436,0.07177071586849282
INVERTED_STRESS,GOLD,172,0.0992487353214846,0.187769431621249,0.059951585550202635,0.31928298995510296,-0.0991243216396841,0.0667180244749328
INVERTED_STRESS,CMDTY_FUT,172,-0.14316003059933113,0.23110101355827142,-0.17382280107439174,-0.7521507517342102,-0.19092760832586964,-0.10008520025062784
