hmm_state_name,n_days,mean_value,median_value,min_value,max_value,model_mean,model_weight
LOW_POSITIVE,1589,0.5401384518565135,0.52,0.0,1.1700000000000002,0.5198415072403444,0.3275677832072439
HIGH_POSITIVE,2533,2.0909198578760364,1.92,1.04,3.53,1.9672197814350996,0.672432216792756
