final_regime_at_entry,trigger_combination,entry_count,avg_stress_duration_days,median_stress_duration_days,mean_strategy_return_during_stress,mean_SPY_return_during_stress,mean_max_drawdown_during_stress,mean_SPY_max_drawdown_during_stress,reentry_rate_5d_after_exit,reentry_rate_10d_after_exit,reentry_rate_20d_after_exit,avg_turnover_entry,avg_turnover_exit,mean_strategy_minus_SPY_during_stress,mean_drawdown_reduction_vs_SPY,avg_turnover_entry_exit
FLAT_HIGH_RATE,CREDIT,1,357.0,357.0,0.16025535044910533,-0.40561846931923196,-0.055412548581659005,-0.5389295836996048,0.0,0.0,0.0,1.0,1.0,0.5658738197683373,0.48351703511794575,2.0
FLAT_HIGH_RATE,VIX,5,12.0,11.0,-0.002978573733712642,0.013606336661243001,-0.01304788524267093,-0.035074514315091634,0.2,0.4,0.4,1.0,1.0,-0.016584910394955642,0.022026629072420704,2.0
FLAT_LOW_RATE,CREDIT,2,229.0,229.0,0.0499225954560113,-0.037041461466682135,-0.057636404746328196,-0.20721866521760618,0.0,0.0,0.0,1.0,0.55,0.08696405692269343,0.14958226047127798,1.55
FLAT_LOW_RATE,VIX,4,16.0,14.5,0.0034019379942522854,-0.029158585393858266,-0.003242515114513289,-0.10320335333840852,0.0,0.0,0.25,1.0,0.775,0.03256052338811055,0.09996083822389523,1.775
INVERTED,VIX,3,12.333333333333334,15.0,0.006461372842408071,0.016086237824354848,-0.02649610983610995,-0.018141150947645457,0.0,0.0,0.0,0.10000000000000002,0.10000000000000002,-0.009624864981946778,-0.008354958888464492,0.20000000000000004
INVERTED,VIX+CREDIT,1,27.0,27.0,0.017742555252131753,0.007161507411647117,-0.022283963791371764,-0.05866618919047939,0.0,0.0,0.0,0.10000000000000009,1.0,0.010581047840484636,0.036382225399107626,1.1
STEEP_HIGH_RATE,CREDIT,1,47.0,47.0,-0.015020155584289818,-0.03432465632589654,-0.05034324729680861,-0.09884873850128639,0.0,0.0,0.0,1.0,0.4,0.019304500741606723,0.04850549120447778,1.4
STEEP_LOW_RATE,CREDIT,5,97.8,97.0,0.06186978370407448,0.0494392098416675,-0.0267788166416405,-0.0741807937870127,0.0,0.0,0.0,0.4,0.52,0.01243057386240698,0.0474019771453722,0.92
