oil_stress_cross_state,asset,n_obs,annualized_return,annualized_volatility,annualized_excess_return_vs_cash,Sharpe,max_drawdown,cumulative_return
OIL_HIGH__FULL_RISK,SPY,532,-0.14267479747647394,0.21426314624878542,-0.15770552134333293,-0.7360366171428182,-0.40241409226590297,-0.2774583046356254
OIL_HIGH__FULL_RISK,GOLD,532,-0.06343879436937028,0.1946730109209253,-0.07985724216701251,-0.4102121901194096,-0.35877369419259897,-0.1292175242078627
OIL_HIGH__FULL_RISK,IEF,532,0.024412024987412906,0.08114485541579526,0.006461491018384002,0.07962909028889884,-0.12913765632826713,0.052236075896680445
OIL_HIGH__FULL_RISK,DBC,532,0.08826753149555144,0.24303025704254066,0.06920359157210099,0.28475298678545774,-0.3710226370565727,0.19550964907127044
OIL_HIGH__FULL_RISK,DBB,532,-0.23132523027663576,0.2731867018000564,-0.24480516340692526,-0.8961093706021481,-0.5727008113497134,-0.4261610950005821
OIL_HIGH__FULL_RISK,DBA,532,0.023728505072441175,0.22708104441291163,0.005799093694262236,0.025537550742093136,-0.34822008989304587,0.05075444586614175
OIL_HIGH__FULL_RISK,CASH,532,0.01783599453987228,0.00045101674958608064,0.0,0.0,0.0,0.038027118623833456
OIL_HIGH__NON_RISK,SPY,692,0.13995933601551913,0.1430492956806828,0.1330311501908641,0.9299671805991873,-0.1054995811450643,0.4329135442806913
OIL_HIGH__NON_RISK,GOLD,692,0.11636756605368248,0.1592272120587339,0.1095783448307166,0.6881885540412314,-0.17105666551596344,0.35294492350340056
OIL_HIGH__NON_RISK,IEF,692,0.017846188197478963,0.058978158885275286,0.0116572034408704,0.1976528881402702,-0.09703734951304077,0.049773100814925364
OIL_HIGH__NON_RISK,DBC,692,0.17626097171926625,0.19364708848436266,0.16911178375834424,0.8732988710646187,-0.15899856523819778,0.5617278813742763
OIL_HIGH__NON_RISK,DBB,692,0.1712254261137136,0.21989608342732805,0.16410321403030603,0.7462762022523215,-0.22096266321126812,0.5434372228043658
OIL_HIGH__NON_RISK,DBA,692,0.06012821197532481,0.15129441166571114,0.053681888714340875,0.354817392944773,-0.17890250522072437,0.17391039840035583
OIL_HIGH__NON_RISK,CASH,692,0.006118089476187638,0.0007425612540375452,0.0,0.0,0.0,0.01689033887668745
OIL_LOW__FULL_RISK,SPY,408,0.08919226378843836,0.32927919101406233,0.08492890903000916,0.25792370531662945,-0.3161745613117184,0.14834935318321363
OIL_LOW__FULL_RISK,GOLD,408,0.2766316540014342,0.2262190213149002,0.2716300032792205,1.200739008153994,-0.19210538000117494,0.4849959559626784
OIL_LOW__FULL_RISK,IEF,408,0.1365273008388126,0.08384544872190951,0.13207371585679617,1.5752043536059486,-0.06029337792694267,0.23023041596964156
OIL_LOW__FULL_RISK,DBC,408,-0.2868497029145183,0.2691246756790813,-0.28964286334856537,-1.0762404547918565,-0.563680861456128,-0.42151359528800214
OIL_LOW__FULL_RISK,DBB,408,-0.10192167649248829,0.3049824349071745,-0.10543742079731055,-0.3457163715982589,-0.37443395608865027,-0.159740387265217
OIL_LOW__FULL_RISK,DBA,408,-0.16449487325880296,0.21431059895535134,-0.16777191800950775,-0.7828447068288056,-0.3433520625365337,-0.2524643532299693
OIL_LOW__FULL_RISK,CASH,408,0.0039348581943796646,0.00045419425873507335,0.0,0.0,-3.57223593305811e-06,0.006378478028256085
OIL_LOW__NON_RISK,SPY,275,0.4239245961588263,0.17709639047862827,0.42086454056112177,2.3764715894190465,-0.0698950637250666,0.47060394023740293
OIL_LOW__NON_RISK,GOLD,275,0.22858577712636974,0.15933042768764402,0.22594546444082653,1.4180936291954012,-0.11676252170369938,0.2518880896809801
OIL_LOW__NON_RISK,IEF,275,-0.01912325740522669,0.06525909707884914,-0.02123334651704989,-0.32536990959888323,-0.0684290929835919,-0.020850315791911767
OIL_LOW__NON_RISK,DBC,275,0.42959016360538604,0.19548328268957166,0.42651795871567155,2.181864110564298,-0.10714283051497597,0.4769904422748876
OIL_LOW__NON_RISK,DBB,275,0.260842431147414,0.22511520772567897,0.2581315761286651,1.146664317957671,-0.2094716919383125,0.28779908558631706
OIL_LOW__NON_RISK,DBA,275,0.2230704840689801,0.15540733308904636,0.22044254361267313,1.4184822506822277,-0.14352915008754386,0.24575651996557357
OIL_LOW__NON_RISK,CASH,275,0.0021572261658642233,0.00029655666588665046,0.0,0.0,0.0,0.002354347454895267
OIL_MID__FULL_RISK,SPY,504,-0.14892464543074924,0.34359960829240366,-0.16294052126850822,-0.4742162602520945,-0.4030246815682018,-0.2756707408448241
OIL_MID__FULL_RISK,GOLD,504,-0.01285181685703507,0.24230047304906946,-0.029085720177315144,-0.12003988193380395,-0.3593288448795756,-0.02553846451754338
OIL_MID__FULL_RISK,IEF,504,0.04025874247237615,0.08910593509200057,0.023137193965097502,0.2596594036211919,-0.1446319614450685,0.08213825129020957
OIL_MID__FULL_RISK,DBC,504,-0.31183692025774823,0.23722506952546363,-0.32317524906070294,-1.362314909242817,-0.5704694480870781,-0.5264315756796593
OIL_MID__FULL_RISK,DBB,504,-0.26110751450582037,0.28835792848595426,-0.27328104121311336,-0.9477146775467445,-0.5292519388294619,-0.4540378948802336
OIL_MID__FULL_RISK,DBA,504,-0.2389878688059317,0.19374177008538965,-0.2515187642868878,-1.2982165083762451,-0.46974868920128376,-0.42086053617546226
OIL_MID__FULL_RISK,CASH,504,0.016732526444629414,0.0011299804487495222,0.0,0.0,0.0,0.03374503033047915
OIL_MID__NON_RISK,SPY,2475,0.20085979554654876,0.12332295211353607,0.1774640648786947,1.439018948519122,-0.14496103896861712,5.035704867972599
OIL_MID__NON_RISK,GOLD,2475,0.11765146299761908,0.16162153709877433,0.09588252764341698,0.5932534077114907,-0.39117821754758675,1.9815202831637233
OIL_MID__NON_RISK,IEF,2475,0.02710756479840315,0.06234151081170136,0.007086840535146743,0.11367771558427743,-0.10158170139230849,0.300424089462072
OIL_MID__NON_RISK,DBC,2475,0.0710082873108433,0.14914914659861936,0.05013484745365182,0.3361390165280095,-0.2847130640541812,0.9615896668198909
OIL_MID__NON_RISK,DBB,2475,0.10443687347780739,0.1855753479236837,0.08291325521540394,0.446790245272779,-0.3096420030973226,1.6528045076862123
OIL_MID__NON_RISK,DBA,2475,0.06690857430121921,0.13960586701346164,0.04611685535397658,0.33033608357970884,-0.3020751557345588,0.8890756003288094
OIL_MID__NON_RISK,CASH,2475,0.019879567651253094,0.0012948366663082678,0.0,0.0,0.0,0.2132835911617128
