heatmap_cross_state,asset,n_obs,annualized_return,annualized_volatility,annualized_excess_return_vs_cash,Sharpe,max_drawdown,cumulative_return
FLAT_HIGH_RATE_NORMAL,SPY,421,0.11146154021230914,0.14017441307810813,0.0688015126212631,0.49082789869022286,-0.1691361193298876,0.1930890317967897
FLAT_HIGH_RATE_NORMAL,GOLD,421,0.38766155395678403,0.23130622139202284,0.3344424715124108,1.4458861914725172,-0.16364403087523727,0.7286372901941593
FLAT_HIGH_RATE_NORMAL,IEF,421,0.10434542543782177,0.055347821307208105,0.061959522339984474,1.1194572952759625,-0.032668077186970734,0.1803549134722422
FLAT_HIGH_RATE_NORMAL,DBC,421,0.2702477940125252,0.17226156407468673,0.2215153688651732,1.2859245186531088,-0.10428963619520737,0.491281641043658
FLAT_HIGH_RATE_NORMAL,DBB,421,0.19665957947494572,0.18737851053860005,0.15074042448187108,0.8044701820319918,-0.19396398779058055,0.34977208925491565
FLAT_HIGH_RATE_NORMAL,DBA,421,0.07842977966130871,0.1429561716293629,0.03703259219753119,0.2590485725481248,-0.10787129780748272,0.1344444802393172
FLAT_HIGH_RATE_NORMAL,CASH,421,0.039922915408504345,0.00021536128215629747,0.0,0.0,0.0,0.06758561177761568
FLAT_HIGH_RATE_STRESS,SPY,120,-0.08982617702971019,0.2802401536136746,-0.12208967621290057,-0.4356608952663059,-0.1789335192978626,-0.04382936836675899
FLAT_HIGH_RATE_STRESS,GOLD,120,0.4519138489554064,0.24374584402621519,0.4005373875225766,1.6432583255839976,-0.16159539001013856,0.1943034569992237
FLAT_HIGH_RATE_STRESS,IEF,120,0.1301817919174557,0.076218650662544,0.09014971882920153,1.1827776803388577,-0.035304474608661374,0.06000696095579072
FLAT_HIGH_RATE_STRESS,DBC,120,0.23015928054058743,0.1926701603954526,0.18659710918219807,0.9684795445190387,-0.09566504188122782,0.10366872715705355
FLAT_HIGH_RATE_STRESS,DBB,120,-0.24082813022859617,0.2827826479955436,-0.2677639184254449,-0.946889493833669,-0.18290931505104724,-0.122960610520219
FLAT_HIGH_RATE_STRESS,DBA,120,0.7337812841762088,0.187558781660865,0.6724631181453875,3.5853459496303604,-0.10816518798380059,0.2995913574429614
FLAT_HIGH_RATE_STRESS,CASH,120,0.03673035513345413,0.0003637917449598602,0.0,0.0,0.0,0.017325456041556997
FLAT_LOWMID_RATE_STRESS,SPY,405,-0.13941975303412624,0.2927744485516352,-0.1532042463930352,-0.523284211279166,-0.3318114713366713,-0.2144019051299847
FLAT_LOWMID_RATE_STRESS,GOLD,405,-0.03874283060308026,0.14775549266990048,-0.05413768424986798,-0.3664004855021979,-0.1602004780731463,-0.06152918177926103
FLAT_LOWMID_RATE_STRESS,IEF,405,0.018016650701560666,0.07857608809094493,0.0017200427801276064,0.021890155413906678,-0.12913765632826624,0.029113326734833134
FLAT_LOWMID_RATE_STRESS,DBC,405,-0.1256899597943124,0.235351669741417,-0.13969903323551536,-0.5935757047698194,-0.3633282003248067,-0.1941613937039831
