oil_nonrisk_rate_cross_state,asset,n_obs,annualized_return,annualized_volatility,annualized_excess_return_vs_cash,Sharpe,max_drawdown,cumulative_return
FLAT_HIGH_RATE__OIL_HIGH,SPY,87,0.22758708508134817,0.1554895830796773,0.18418987401132147,1.184580152336876,-0.08167192115494537,0.07335714140260352
FLAT_HIGH_RATE__OIL_HIGH,GOLD,87,-0.03896168981649961,0.2350277149836953,-0.07296753095125197,-0.3104635168508275,-0.16978779872229155,-0.013626417455167128
FLAT_HIGH_RATE__OIL_HIGH,IEF,87,0.08106358255421475,0.06019943229029825,0.04282639318080017,0.7114085889428243,-0.029459004488592844,0.0272750417643981
FLAT_HIGH_RATE__OIL_HIGH,DBC,87,0.25223094558108716,0.22500683602289653,0.20796636274953628,0.9242668641781789,-0.09908492407952008,0.08074786744186335
FLAT_HIGH_RATE__OIL_HIGH,DBB,87,0.04532260857954573,0.20753648110193118,0.008344656723908495,0.04020814403136204,-0.09892239129812486,0.015420558344623414
FLAT_HIGH_RATE__OIL_HIGH,DBA,87,0.04603402465798645,0.1800372112970312,0.009031246362334988,0.050163220687944036,-0.08666898053574856,0.015659087383724124
FLAT_HIGH_RATE__OIL_HIGH,CASH,87,0.036672008884987894,0.00010972791828199556,0.0,0.0,0.0,0.012511576950162917
FLAT_HIGH_RATE__OIL_MID,SPY,334,0.08306050346533955,0.13610642881541749,0.040637368672975516,0.29857053062560635,-0.14496103896861734,0.11154897636188976
FLAT_HIGH_RATE__OIL_MID,GOLD,334,0.5270073456438868,0.23030189805551668,0.46726622072404433,2.028929091202735,-0.1386771322042547,0.7525178297398154
FLAT_HIGH_RATE__OIL_MID,IEF,334,0.11049173639576138,0.05410383173756031,0.06700067155624856,1.2383720229141353,-0.027225280573924038,0.1490154685788163
FLAT_HIGH_RATE__OIL_MID,DBC,334,0.2749832105395209,0.1560499428911813,0.22506948050823983,1.4422913353142852,-0.10327498469311602,0.37986082227812235
FLAT_HIGH_RATE__OIL_MID,DBB,334,0.23955563381574319,0.1820374829910792,0.1910243139231349,1.0493680245650074,-0.13946901612201068,0.3292739428630067
FLAT_HIGH_RATE__OIL_MID,DBA,334,0.087031659892425,0.13192384044578656,0.04445305869078564,0.33696001071961973,-0.10787129780748206,0.11695399995049649
FLAT_HIGH_RATE__OIL_MID,CASH,334,0.040771380711356775,0.00020633385390629336,0.0,0.0,0.0,0.05439348653507903
FLAT_LOW_RATE__OIL_HIGH,SPY,27,0.5794881985608713,0.15051954065221884,0.578414313932456,3.8427855375197058,-0.0372536320899054,0.050194193407807175
FLAT_LOW_RATE__OIL_HIGH,GOLD,27,-0.46496461879754203,0.16760919944111424,-0.4653298876647952,-2.776278922734659,-0.06312682249142842,-0.06481372317349543
FLAT_LOW_RATE__OIL_HIGH,IEF,27,-0.14516292514703155,0.03946957287793121,-0.1457452883657836,-3.6925985699550044,-0.017984962801199322,-0.016664343150300187
FLAT_LOW_RATE__OIL_HIGH,DBC,27,1.4135549522276918,0.1403078177926423,1.4119159861113126,10.062988708141345,-0.027706289993622124,0.09900327038704959
FLAT_LOW_RATE__OIL_HIGH,DBB,27,0.19256513923682284,0.1693222747246018,0.1917523412248492,1.1324696738023943,-0.06451615700315161,0.019047696882360077
FLAT_LOW_RATE__OIL_HIGH,DBA,27,0.5973040274976835,0.1130081133783019,0.5962180109461759,5.275886775937033,-0.021135266133981756,0.05145702544446129
FLAT_LOW_RATE__OIL_HIGH,CASH,27,0.0006814611101138013,1.295326623212483e-05,0.0,0.0,0.0,7.29914874195714e-05
FLAT_LOW_RATE__OIL_LOW,SPY,90,0.984464850011636,0.22899698072524305,0.9817775617586693,4.287294787247144,-0.0698950637250666,0.2773244288850585
FLAT_LOW_RATE__OIL_LOW,GOLD,90,0.5469086077177117,0.17962484336866433,0.5448120197888127,3.03305494702998,-0.07628033076842866,0.16860017927715076
