strategy,steep_high_normal_variant,window,cumulative_return,max_drawdown,Sharpe,avg_weight_SPY,avg_weight_GOLD,avg_weight_CMDTY_FUT,avg_weight_IEF,avg_weight_CASH,stress_days
FINAL_REGIME_HEDGE_TRIGGER_LOCK,MAINLINE_FINAL,2008_GFC,0.5462308664062008,-0.14317704805412101,1.6027837647504675,0.18999930103891297,0.19331698747275142,0.19106012872189568,0.41655328798185937,0.009070294784580499,
FINAL_REGIME_HEDGE_TRIGGER_LOCK,MAINLINE_FINAL,2011_EURO_DEBT,0.01505214227261531,-0.1274026475762069,0.12867516540697152,0.5503355704697986,0.13489932885906042,0.0,0.31476510067114094,0.0,
FINAL_REGIME_HEDGE_TRIGGER_LOCK,MAINLINE_FINAL,2015_2016,0.1427851997757199,-0.06357779582701306,1.5631070779145704,0.3821753092975958,0.16233766233766234,0.07669914957686302,0.3787878787878788,0.0,
FINAL_REGIME_HEDGE_TRIGGER_LOCK,MAINLINE_FINAL,2018Q4,0.07661891041531033,-0.05026465290037774,2.4710518024282853,0.07662047114000317,0.4459879026752557,0.16786781666093165,0.2785714285714286,0.030952380952380953,
FINAL_REGIME_HEDGE_TRIGGER_LOCK,MAINLINE_FINAL,COVID_2020,0.27479944506515963,-0.15469690070036746,2.964727799568118,0.3126256810181441,0.40384615384615385,0.2835281651357021,0.0,0.0,
FINAL_REGIME_HEDGE_TRIGGER_LOCK,MAINLINE_FINAL,2022_RATE_WAR,0.07326560180565633,-0.14020389236531094,0.32467707996472156,0.4026330353299627,0.45270358583937453,0.07500045748234827,0.06544943820224719,0.004213483146067416,
FINAL_REGIME_HEDGE_TRIGGER_LOCK,MAINLINE_FINAL,2025_PULLBACK,0.4814950149071746,-0.08797658983502676,2.1168968049063563,0.0,0.3878127027644576,0.4689124434343727,0.12894736842105264,0.01432748538011696,
VC_ANCHOR_SHN_SPY,SHN_SPY,2008_GFC,0.3768589953393917,-0.05569719710962595,1.5661040550939869,0.11337868480725624,0.04337950268643879,0.03371800298249545,0.7387755102040818,0.0707482993197279,357.0
VC_ANCHOR_SHN_SPY,SHN_SPY,2011_EURO_DEBT,-0.05427172628332955,-0.1836678929623884,-0.318203637047679,1.0,0.0,0.0,0.0,0.0,0.0
VC_ANCHOR_SHN_SPY,SHN_SPY,2015_2016,0.006936483325802545,-0.13022918852006427,0.04428286891450826,1.0,0.0,0.0,0.0,0.0,0.0
VC_ANCHOR_SHN_SPY,SHN_SPY,2018Q4,0.019692509964188032,-0.012379513765071515,1.994729054526319,0.0,0.0,0.0,0.5476190476190477,0.4523809523809524,84.0
VC_ANCHOR_SHN_SPY,SHN_SPY,COVID_2020,0.17919057247523362,-0.11089545495227993,1.9326568349906734,0.3648474805335412,0.0,0.3466909810049203,0.0,0.28846153846153844,30.0
VC_ANCHOR_SHN_SPY,SHN_SPY,2022_RATE_WAR,0.10076010805743119,-0.11410786571433307,0.5268505627512426,0.3977970864362696,0.31450133864836327,0.001184720982782874,0.042134831460674156,0.2443820224719101,215.0
VC_ANCHOR_SHN_SPY,SHN_SPY,2025_PULLBACK,0.47680140189488895,-0.08797658983502687,2.0917690574412537,0.0,0.3878127027644576,0.4689124434343727,0.14327485380116958,0.0,49.0
VC_ANCHOR_SHN_GOLD,SHN_GOLD,2008_GFC,0.30267158252739934,-0.06039850205437802,1.397724990419501,0.0,0.15675818749369502,0.03371800298249545,0.7387755102040818,0.0707482993197279,357.0
VC_ANCHOR_SHN_GOLD,SHN_GOLD,2011_EURO_DEBT,-0.05427172628332955,-0.1836678929623884,-0.318203637047679,1.0,0.0,0.0,0.0,0.0,0.0
VC_ANCHOR_SHN_GOLD,SHN_GOLD,2015_2016,0.18510933848982214,-0.08547702565762716,1.3568999768841723,0.3203463203463203,0.6796536796536796,0.0,0.0,0.0,0.0
VC_ANCHOR_SHN_GOLD,SHN_GOLD,2018Q4,0.019692509964188032,-0.012379513765071515,1.994729054526319,0.0,0.0,0.0,0.5476190476190477,0.4523809523809524,84.0
VC_ANCHOR_SHN_GOLD,SHN_GOLD,COVID_2020,0.17919057247523362,-0.11089545495227993,1.9326568349906734,0.3648474805335412,0.0,0.3466909810049203,0.0,0.28846153846153844,30.0
