date,MCL=F,USO,SPY,GLD,IEF,TLT,DBC,SHY,BIL,CL=F
2006-01-03,,,87.22505187988281,53.119998931884766,49.09079360961914,47.859737396240234,,54.9914436340332,,63.13999938964844
2006-01-04,,,87.63809204101562,53.29999923706055,49.17852020263672,47.97447204589844,,55.04624557495117,,63.41999816894531
2006-01-05,,,87.69322204589844,52.34000015258789,49.190269470214844,47.91712188720703,,54.99830627441406,,62.790000915527344
2006-01-06,,,88.42293548583984,53.720001220703125,49.12590026855469,47.828460693359375,,55.01197814941406,,64.20999908447266
2006-01-09,,,88.65013122558594,54.599998474121094,49.1492805480957,47.859737396240234,,55.018863677978516,,63.5
2006-01-10,,,88.73961639404297,54.060001373291016,48.950321197509766,47.47386169433594,,54.9640998840332,,63.369998931884766
2006-01-11,,,89.02188110351562,54.529998779296875,48.82750701904297,47.395633697509766,,54.9640998840332,,63.939998626708984
2006-01-12,,,88.67078399658203,54.43000030517578,49.003021240234375,47.713741302490234,,54.9914436340332,,63.939998626708984
2006-01-13,,,88.588134765625,55.439998626708984,49.2194938659668,47.990142822265625,,55.10101318359375,,63.91999816894531
2006-01-17,,,88.34720611572266,55.2599983215332,49.27801513671875,48.20390701293945,,55.080448150634766,,66.30999755859375
2006-01-18,,,87.99613952636719,54.06999969482422,49.295562744140625,48.18829345703125,,55.073631286621094,,65.7300033569336
2006-01-19,,,88.33342742919922,55.59000015258789,49.172733306884766,48.04750061035156,,55.080448150634766,,66.83000183105469
2006-01-20,,,86.7225112915039,55.20000076293945,49.254615783691406,48.17267990112305,,55.10101318359375,,68.3499984741211
2006-01-23,,,87.03230285644531,55.77000045776367,49.242889404296875,48.15702438354492,,55.10783004760742,,68.0999984741211
2006-01-24,,,87.12177276611328,55.72999954223633,49.160972595214844,47.9223747253418,,55.094146728515625,,67.05999755859375
2006-01-25,,,87.19752502441406,56.13999938964844,48.856712341308594,47.40086364746094,,55.018863677978516,,65.8499984741211
2006-01-26,,,87.67939758300781,55.880001068115234,48.75140380859375,47.19748306274414,,55.02569580078125,,66.26000213623047
2006-01-27,,,88.4917984008789,55.630001068115234,48.7865104675293,47.19748306274414,,54.98461151123047,,67.76000213623047
2006-01-30,,,88.42293548583984,56.68000030517578,48.68120574951172,47.15060043334961,,55.01197814941406,,68.3499984741211
2006-01-31,,,87.77580261230469,56.70000076293945,48.75140380859375,47.280948638916016,,55.01197814941406,,67.91999816894531
2006-02-01,,,88.38848876953125,56.70000076293945,48.601158142089844,47.11924743652344,,54.96185302734375,,66.55999755859375
