strategy,window,cumulative_return,max_drawdown,Sharpe,avg_weight_SPY,avg_weight_GOLD,avg_weight_CMDTY_FUT,avg_weight_IEF,avg_weight_CASH,stress_days,steep_stress_cash_weight,steep_stress_ief_weight
FINAL_REGIME_HEDGE_TRIGGER_LOCK,2008_GFC,0.5462308664062008,-0.14317704805412101,1.6027837647504675,0.18999930103891297,0.19331698747275142,0.19106012872189568,0.41655328798185937,0.009070294784580499,,,
FINAL_REGIME_HEDGE_TRIGGER_LOCK,2011_EURO_DEBT,0.01505214227261531,-0.1274026475762069,0.12867516540697152,0.5503355704697986,0.13489932885906042,0.0,0.31476510067114094,0.0,,,
FINAL_REGIME_HEDGE_TRIGGER_LOCK,2015_2016,0.1427851997757199,-0.06357779582701306,1.5631070779145704,0.3821753092975958,0.16233766233766234,0.07669914957686302,0.3787878787878788,0.0,,,
FINAL_REGIME_HEDGE_TRIGGER_LOCK,2018Q4,0.07661891041531033,-0.05026465290037774,2.4710518024282853,0.07662047114000317,0.4459879026752557,0.16786781666093165,0.2785714285714286,0.030952380952380953,,,
FINAL_REGIME_HEDGE_TRIGGER_LOCK,COVID_2020,0.27479944506515963,-0.15469690070036746,2.964727799568118,0.3126256810181441,0.40384615384615385,0.2835281651357021,0.0,0.0,,,
FINAL_REGIME_HEDGE_TRIGGER_LOCK,2022_RATE_WAR,0.07326560180565633,-0.14020389236531094,0.32467707996472156,0.4026330353299627,0.45270358583937453,0.07500045748234827,0.06544943820224719,0.004213483146067416,,,
FINAL_REGIME_HEDGE_TRIGGER_LOCK,2025_PULLBACK,0.4814950149071746,-0.08797658983502676,2.1168968049063563,0.0,0.3878127027644576,0.4689124434343727,0.12894736842105264,0.01432748538011696,,,
VC_ANCHOR_ALLOC_STEEP_CASH10_IEF90,2008_GFC,0.39078354776714486,-0.05541254858166034,1.7500320342765014,0.03433904015172899,0.09346810428487765,0.06266904603958384,0.7387755102040818,0.0707482993197279,357.0,0.1,0.9
VC_ANCHOR_ALLOC_STEEP_CASH10_IEF90,2011_EURO_DEBT,-0.05427172628332955,-0.1836678929623884,-0.318203637047679,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9
VC_ANCHOR_ALLOC_STEEP_CASH10_IEF90,2015_2016,0.04328407578916438,-0.11374914820553628,0.379245976805254,0.5586137576683438,0.28541260418826336,0.1559736381433927,0.0,0.0,0.0,0.1,0.9
VC_ANCHOR_ALLOC_STEEP_CASH10_IEF90,2018Q4,0.019692509964188032,-0.012379513765071515,1.994729054526319,0.0,0.0,0.0,0.5476190476190477,0.4523809523809524,84.0,0.1,0.9
VC_ANCHOR_ALLOC_STEEP_CASH10_IEF90,COVID_2020,0.17919057247523362,-0.11089545495227993,1.9326568349906734,0.3648474805335412,0.0,0.3466909810049203,0.0,0.28846153846153844,30.0,0.1,0.9
